Nome: CATANDUVA
Codigo Estacao: 83676
Latitude: -21.12222221
Longitude: -48.94694444
Altitude: 570
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;5,3;0;32,5;28,5;27;null;69;2;
2015-01-02;8,1;8,4;0;33;29,2;25,4;null;64;1;
2015-01-03;10,6;7,2;0;34,1;25,5;21,2;null;61;1,5;
2015-01-04;null;null;null;null;null;null;null;90;null;
2015-01-05;null;1,9;8;32,4;24,9;21,2;null;82;1,5;
2015-01-06;4,6;4,3;19,7;30,5;24,9;21,2;null;86;2;
2015-01-07;6,4;7,7;0;32,5;26,1;23;null;81;1,5;
2015-01-08;6,2;3,1;1,1;32,8;25,8;22;null;82;1,5;
2015-01-09;5,4;10,5;,2;33,7;29;22,5;null;81;1;
2015-01-10;7,4;10,2;0;34,4;29,6;23,4;null;72;1;
2015-01-11;null;null;null;null;null;null;null;74;null;
2015-01-12;null;4,9;0;35;28,8;23;null;78;1,5;
2015-01-13;9;4,4;0;33,2;27,5;21,8;null;69;1,5;
2015-01-14;9;1,7;0;34,1;27,7;24;null;70;1;
2015-01-15;6,6;10,2;0;35,1;29,2;22,5;null;69;1,5;
2015-01-16;9,5;10,6;0;35;29,2;22;null;69;1;
2015-01-17;10;10,1;0;36;30,4;23,4;null;64;1;
2015-01-18;null;null;null;null;null;null;null;59;null;
2015-01-19;null;9,4;0;38,4;31,6;25;null;75;1;
2015-01-20;13;10;0;37,5;29;24,3;null;66;1,5;
2015-01-21;13,5;4,8;5,1;33,8;28;22,1;null;69;1,5;
2015-01-22;8,6;9,2;0;33,4;24,2;21;null;68;2,5;
2015-01-23;6,4;8,5;,2;30;24,5;21;null;80;1,5;
2015-01-24;6,1;9,1;0;32,1;26,9;21;null;77;2;
2015-01-25;null;null;null;null;null;null;null;77;null;
2015-01-26;null;5;1,2;31,5;25,5;21;null;82;2,5;
2015-01-27;5,9;4,6;40,3;29,2;24,7;20;null;76;1;
2015-01-28;4,6;5,3;0;30,4;25,7;21;null;83;1;
2015-01-29;5,5;1,7;0;30;24,9;21,1;null;77;1;
2015-01-30;5,5;7,8;0;32,7;27,5;22,4;null;78;1;
2015-01-31;6,5;9,7;0;33,5;26,8;21,3;null;73;1,5;
2015-02-01;null;null;null;null;null;null;null;72;null;
2015-02-02;null;8;0;33,8;27,1;21,3;null;78;1;
2015-02-03;7,6;8,9;0;32,8;26,9;21;null;71;1,5;
2015-02-04;7,4;,1;2,4;28;23,2;21;null;69;1,5;
2015-02-05;3;3,1;0;29;23,4;20,3;null;83;2;
2015-02-06;3,5;7,4;14,9;29,2;24,1;19,7;null;91;1,5;
2015-02-07;6,5;8,2;0;29,5;23,9;20,2;null;82;1,5;
2015-02-08;null;null;null;null;null;null;null;84;null;
2015-02-09;null;1,8;7,3;29,2;24,2;21;null;84;1;
2015-02-10;3;6,6;13;31,8;26;22,4;null;80;2;
2015-02-11;6,5;3;0;30,5;24,7;21;null;79;1;
2015-02-12;4,6;8,2;6,2;32;27,1;23;null;89;1;
2015-02-13;5,4;1,4;24,2;29,5;24,8;21,4;null;82;1;
2015-02-14;3,5;4,5;0;30,4;26,1;22,5;null;81;2;
2015-02-15;null;null;null;null;null;null;null;84;null;
2015-02-16;null;2,5;6,4;29,5;25,1;22,8;null;90;2;
2015-02-17;4,9;1,6;0;28,2;24,1;22;null;81;2;
2015-02-18;3;,5;4;24,8;22,9;21;null;86;2;
2015-02-19;2,3;4,8;0;29,8;24,2;21,2;null;89;2,5;
2015-02-20;4,2;0;0;26,2;23,4;21,2;null;83;2;
2015-02-21;3;10,4;7,3;31,5;26,8;22;null;84;1,5;
2015-02-22;null;null;null;null;null;null;null;83;null;
2015-02-23;null;9,3;0;32;27,2;22,2;null;86;2;
2015-02-24;9,3;9,7;0;31,7;26,6;22,4;null;77;2,5;
2015-02-25;7,5;9,5;0;32,1;26,3;22;null;76;2;
2015-02-26;6,1;5;28,4;29,8;24,7;21,3;null;78;1,5;
2015-02-27;3,3;8,2;,2;30,7;25,6;21,5;null;83;1,5;
2015-02-28;6,5;10,1;0;32;26,2;22;null;82;2;
2015-03-01;null;null;null;null;null;null;null;78;null;
2015-03-02;null;4,8;0;31,7;26;20,5;null;82;2,5;
2015-03-03;7;4,8;0;32,7;26,6;23,2;null;75;1,5;
2015-03-04;6;6,4;0;32,2;27,4;23,5;null;75;2;
2015-03-05;6,5;4,9;0;33;26;21,2;null;74;1,5;
2015-03-06;5,5;2,5;0;32,5;24,7;20,3;null;76;1,5;
2015-03-07;4,8;1,3;12,8;28;24,4;21,4;null;85;1;
2015-03-08;null;null;null;null;null;null;null;86;null;
2015-03-09;null;0;14,3;28,4;23,2;20,8;null;90;1,5;
2015-03-10;1,1;4,6;18,6;29,3;24;20,4;null;93;1,5;
2015-03-11;3,2;4;1;29,8;23,8;20,7;null;83;1,5;
2015-03-12;2,2;2,1;8,4;28,7;23,8;20,4;null;90;1,5;
2015-03-13;2,5;,6;5,3;28,2;24,2;20,7;null;80;2;
2015-03-14;3;1,7;,2;27,7;23,2;21,4;null;82;2;
2015-03-15;null;null;null;null;null;null;null;89;null;
2015-03-16;null;6,2;0;32,9;24,8;20,9;null;88;1,5;
2015-03-17;5,4;2,7;19,4;28,7;22,6;19,8;null;85;2;
2015-03-18;2,6;,5;26,2;24,3;21,4;19,8;null;90;2;
2015-03-19;1,5;,7;9,3;25,2;21,6;19,7;null;91;2;
2015-03-20;2;,3;3,7;26,8;22,2;20;null;90;2,5;
2015-03-21;2;5,4;2;28,4;22,9;19,4;null;90;2,5;
2015-03-22;null;null;null;null;null;null;null;87;null;
2015-03-23;null;1;0;29,5;23,5;19,5;null;90;1,5;
2015-03-24;4;8,2;0;31,5;23,7;18,2;null;81;2;
2015-03-25;5,2;6,6;0;32,4;24,9;18,3;null;80;2;
2015-03-26;5,2;6,3;0;32,7;25,9;20,2;null;80;1,5;
2015-03-27;5,1;1,1;,4;30,5;24,4;22,2;null;81;1,5;
2015-03-28;2,7;6,7;0;32;25,7;20,5;null;85;1,5;
2015-03-29;null;null;null;null;null;null;null;84;null;
2015-03-30;null;,8;3,8;32;24,8;22;null;86;1,5;
2015-03-31;1,5;5,7;29,1;30,5;25;21;null;91;1;
2015-04-01;3;4,1;0;29,4;25;22,4;null;84;1,5;
2015-04-02;3,1;3,4;0;31;24,2;19,7;null;83;1,5;
2015-04-03;5;7,6;0;30,7;23,8;18,5;null;81;2,5;
2015-04-04;6;8,4;0;31,4;24;19,1;null;80;2,5;
2015-04-05;null;null;null;null;null;null;null;89;null;
2015-04-06;null;3,8;38,9;28,2;23;18,8;null;88;2;
2015-04-07;4,1;8,2;0;27,5;21,3;17,5;null;82;4;
2015-04-08;4,3;9,8;0;30,4;22,8;16;null;82;3,5;
2015-04-09;5,2;6,5;0;29,1;23;17,7;null;82;2,5;
2015-04-10;4,2;,8;0;27,6;22,4;17,8;null;83;2;
2015-04-11;4;9,7;0;30;24,2;17,6;null;81;2;
2015-04-12;null;null;null;null;null;null;null;81;null;
2015-04-13;null;7,1;0;30,5;24;18,1;null;86;2;
2015-04-14;5,9;5,1;0;29,4;23,3;19,5;null;80;2,5;
2015-04-15;3,7;2,8;,7;27;23,3;20;null;87;2;
2015-04-16;2,1;7,1;5,2;31,8;25;20,3;null;87;1,5;
2015-04-17;4;8,7;0;32,5;25,2;19,5;null;82;1,5;
2015-04-18;5,3;5,9;0;31,8;25,9;20,5;null;82;2;
2015-04-19;null;null;null;null;null;null;null;79;null;
2015-04-20;null;8,1;4,7;32,8;26,3;20,5;null;82;1,5;
2015-04-21;5;6,3;0;33;26,7;22,5;null;77;1,5;
2015-04-22;4;2;2;28,7;24,2;21,2;null;78;1,5;
2015-04-23;2,5;8,6;0;32,8;25,4;20;null;83;2;
2015-04-24;4,1;2;0;30,5;24,3;20;null;83;1,5;
2015-04-25;4;8,7;0;29,8;23,2;20;null;82;2,5;
2015-04-26;null;null;null;null;null;null;null;82;null;
2015-04-27;null;8,2;0;29,7;22,6;15,5;null;86;1,5;
2015-04-28;5,5;8,9;0;30,2;23,2;17,9;null;79;1,5;
2015-04-29;6,5;8,2;0;29,5;22,4;17,6;null;72;2,5;
2015-04-30;5,1;9,5;0;28,4;21,5;15,7;null;72;2,5;
2015-05-01;5,4;9,9;0;30;22,1;15,6;null;71;2,5;
2015-05-02;6,1;9,9;0;30,2;23,4;17;null;71;2;
2015-05-03;null;null;null;null;null;null;null;72;null;
2015-05-04;null;,2;32,2;29,4;22,9;19,8;null;96;2;
2015-05-05;1,5;3,8;5,1;28,5;23,4;20,4;null;90;1,5;
2015-05-06;2,5;3,2;0;27,5;21,9;18,6;null;87;1,5;
2015-05-07;2,8;9,5;0;27,7;21,3;18;null;87;2,5;
2015-05-08;5,7;9,5;0;27,4;20,4;16,1;null;83;3,5;
2015-05-09;4,8;9,4;0;29,7;23,1;16,2;null;81;1,5;
2015-05-10;null;null;null;null;null;null;null;81;null;
2015-05-11;null;1,2;8,1;28,8;21,7;19,6;null;90;1,5;
2015-05-12;2,5;7,7;0;25,5;19,9;16,5;null;83;1,5;
2015-05-13;4;5,3;0;25,4;19,6;16,4;null;81;1,5;
2015-05-14;3,6;9,4;0;27,7;20,7;15,6;null;81;1,5;
2015-05-15;5,4;,1;0;23,5;20,2;18,3;null;81;2;
2015-05-16;3,5;1,9;0;25;19,4;16,5;null;80;2,5;
2015-05-17;null;null;null;null;null;null;null;80;null;
2015-05-18;null;,7;0;27,4;20,9;15,8;null;88;1,5;
2015-05-19;3;3,4;0;25,5;20,6;18,3;null;80;2,5;
2015-05-20;2,2;,1;1;22,8;20;18,5;null;85;2;
2015-05-21;1,6;8,6;,4;27,5;22,3;18,7;null;80;1,5;
2015-05-22;5,4;9,6;0;28,7;23,1;19;null;82;2;
2015-05-23;6,3;1;0;26,7;22,1;19,4;null;78;2;
2015-05-24;null;null;null;null;null;null;null;82;null;
2015-05-25;null;8,1;0;31,6;24,9;19,2;null;84;2;
2015-05-26;6;9,1;0;31,4;25,6;21,4;null;72;1,5;
2015-05-27;6,5;9,2;0;31;24,8;20,3;null;74;2;
2015-05-28;5,1;0;0;25;19,4;17,3;null;74;1,5;
2015-05-29;2;6,8;4,6;24;18,7;16,8;null;93;1,5;
2015-05-30;4;7,7;0;27,7;19,7;15;null;88;2;
2015-05-31;null;null;null;null;null;null;null;88;null;
2015-06-01;null;2,9;25,1;25;20,4;null;null;90;2;
2015-06-02;2;0;0;20,4;18,5;null;null;81;1,5;
2015-06-03;,8;9,2;2,2;27,5;21,6;null;null;90;1,5;
2015-06-04;3;9;0;27,4;22,2;null;null;82;2;
2015-06-05;4,7;9,3;0;28;23,2;null;null;81;2,5;
2015-06-06;6,4;9,6;0;28,7;23,2;null;null;78;2;
2015-06-07;null;null;null;null;null;null;null;77;null;
2015-06-08;null;7,5;0;30;24,1;null;null;80;1,5;
2015-06-09;8,1;6,3;0;29,4;24;null;null;72;2,5;
2015-06-10;7,5;9,2;0;29,8;23,7;null;null;70;2;
2015-06-11;8;9,4;0;31;23,9;null;null;70;1,5;
2015-06-12;8,2;8,7;0;30,2;23,9;null;null;67;1,5;
2015-06-13;8,1;9,3;0;31;24,9;null;null;69;1,5;
2015-06-14;null;null;null;null;null;null;null;66;null;
2015-06-15;null;1,4;0;30;22;null;null;70;2,5;
2015-06-16;4,5;7,2;0;27;20,4;null;null;81;1,5;
2015-06-17;3,6;9,3;0;31,2;24,6;null;null;74;1,5;
2015-06-18;7,5;7,5;0;30,5;23,8;null;null;73;1,5;
2015-06-19;6,4;4,6;,1;24,8;19;null;null;77;3;
2015-06-20;4;9,2;0;26,7;20,2;null;null;78;3;
2015-06-21;null;null;null;null;null;null;null;73;null;
2015-06-22;null;7,5;0;27;21,1;null;null;74;2;
2015-06-23;6,5;7,4;0;27,7;21,1;null;null;68;1,5;
2015-06-24;6;5,1;0;25,4;19,2;null;null;65;4;
2015-06-25;6,1;7,3;0;26,4;19,7;null;null;68;2;
2015-06-26;5,7;6,8;0;25,3;19,3;null;null;67;2,5;
2015-06-27;5,7;9,3;0;25;18,5;null;null;67;4;
2015-06-28;null;null;null;null;null;null;null;66;null;
2015-06-29;null;7,3;0;26,8;20,7;null;null;69;3,5;
2015-06-30;8,5;2,4;0;27;21,4;null;null;68;3;
2015-07-01;6,4;,6;1;21,8;18,4;null;null;68;1,5;
2015-07-02;1,2;,2;6,4;23,7;18,5;null;null;89;3;
2015-07-03;2;3,6;0;28,4;21;null;null;84;2;
2015-07-04;5,1;0;0;23,5;20,2;null;90;83;2;
2015-07-05;null;null;null;null;null;null;null;90;null;
2015-07-06;null;,2;0;24,2;19,1;null;null;92;2;
2015-07-07;3,3;0;27,1;20,8;18,2;null;null;81;2;
2015-07-08;1,2;0;29,4;18,6;16,6;null;null;90;2,5;
2015-07-09;1,6;4,4;3,9;24,8;19,2;null;null;93;2;
2015-07-10;1,3;8,5;0;27,8;21,9;null;null;88;2;
2015-07-11;7,2;5,1;0;26;20,7;null;null;75;2;
2015-07-12;null;null;null;null;null;null;null;78;null;
2015-07-13;null;8,3;0;31,2;24,1;null;null;80;2,5;
2015-07-14;11,4;6,7;0;30,1;24,4;null;null;74;3;
2015-07-15;9,9;2,1;0;30,2;23,8;null;null;67;2,5;
2015-07-16;6,7;1;0;27;22,9;null;null;67;2,5;
2015-07-17;7,6;4,8;0;27,3;22;null;null;70;2,5;
2015-07-18;7,6;9,6;0;27,8;22,9;null;null;67;2;
2015-07-19;null;null;null;null;null;null;null;70;null;
2015-07-20;null;7,6;0;29,1;23,2;null;null;69;2;
2015-07-21;7,6;6;0;27,4;21,7;null;null;62;2,5;
2015-07-22;6;6,1;0;25,5;19,8;null;null;76;2;
2015-07-23;4;6,2;0;28,3;21,7;null;null;76;2;
2015-07-24;5,9;8,5;0;29,5;23,5;null;null;72;2;
2015-07-25;6,5;3,5;0;25,8;21,5;null;null;68;2;
2015-07-26;null;null;null;null;null;null;null;73;null;
2015-07-27;null;8,3;0;29;21,8;null;null;78;1,5;
2015-07-28;7,6;9,6;0;29,7;22,3;null;null;70;2;
2015-07-29;9,4;9,7;0;30,1;22,6;null;null;69;2,5;
2015-07-30;8,5;9,5;0;30,5;22,8;null;null;65;1,5;
2015-07-31;8,4;9,7;0;30,1;23,5;null;null;62;3;
2015-08-01;12;9,6;0;30,4;24,3;null;null;58;2;
2015-08-02;null;null;null;null;null;null;null;63;null;
2015-08-03;null;8,4;0;32;24,4;null;null;66;3;
2015-08-04;11,3;9,4;0;31,7;23,8;null;null;59;2;
2015-08-05;10;9,6;0;31,8;24,7;null;null;50;2;
2015-08-06;10,9;9,6;0;31,5;24,3;null;null;47;4;
2015-08-07;13,6;9,8;0;32;25,2;null;null;47;3;
2015-08-08;12,1;9,5;0;32,1;25,1;null;null;47;2,5;
2015-08-09;null;null;null;null;null;null;null;50;null;
2015-08-10;null;8,4;0;31;24,4;null;null;49;2;
2015-08-11;10,5;9,8;0;30,4;23,5;null;null;45;3,5;
2015-08-12;12,1;9,9;0;29,5;22,7;null;null;47;3;
2015-08-13;10,8;9,5;0;29,4;22,3;null;null;48;3;
2015-08-14;11,6;9,9;0;29,5;23;null;null;47;3;
2015-08-15;11,1;8,8;0;30,4;23,7;null;null;47;3;
2015-08-16;null;null;null;null;null;null;null;46;null;
2015-08-17;null;7,3;0;32;24,8;null;null;50;3,5;
2015-08-18;13;4,7;0;30,4;24,4;null;null;48;3,5;
2015-08-19;10,4;8,7;0;29,2;22,9;null;null;45;2,5;
