Nome: CALDAS(P. DE CALDAS)
Codigo Estacao: 83681
Latitude: -21.918139
Longitude: -46.382977
Altitude: 1077.08
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2015-09-16
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,1;8,7;0;30,6;23,3;17,3;74,5;64;null;
2015-01-02;4,3;7,3;0;31;24,4;17,2;67,8;50;null;
2015-01-03;3,8;6;0;30,6;22,7;17,3;83,8;66;null;
2015-01-04;2,1;4,9;19,9;28,4;21,9;17,6;77,8;60;null;
2015-01-05;2,2;2,6;0;27,6;21,7;16,7;81,3;65;null;
2015-01-06;2,4;1,9;39,2;26,8;21,5;16,9;83,3;64;null;
2015-01-07;2;6,8;0;29,2;22;17,5;75;50;null;
2015-01-08;2,7;10,2;1,7;29,6;22,6;15,4;72,3;47;null;
2015-01-09;3,4;10,2;0;30,6;22,6;15,5;67;41;null;
2015-01-10;4,3;8,7;0;32,2;24;16,9;74;57;null;
2015-01-11;3,6;9,9;4,5;31,6;25,4;18,5;69,8;55;null;
2015-01-12;4,4;5,6;22,3;31,4;24,1;18,2;78,5;66;null;
2015-01-13;3,3;8,8;0;32;24,4;17,7;66,5;46;null;
2015-01-14;4,6;6,6;0;30,6;24,5;17,5;66,8;55;null;
2015-01-15;4,2;9,7;0;31,6;24,6;18,7;63;40;null;
2015-01-16;4,4;10,7;0;31;24,3;17,8;62,8;41;null;
2015-01-17;4,6;10,4;0;32,6;24,7;16,9;60,8;42;null;
2015-01-18;4,7;10,3;0;32,8;24,6;16,9;62,8;44;null;
2015-01-19;5,2;10,9;0;33,6;24,6;16,1;55,8;31;null;
2015-01-20;5,9;10,9;0;32,6;24,6;15,9;58,3;37;null;
2015-01-21;5,6;3,5;0;31,8;23,1;18,7;74,8;62;null;
2015-01-22;3,1;,6;0;26,6;22;18,4;81;77;null;
2015-01-23;2,1;,6;,8;23;19,6;17,3;82;74;null;
2015-01-24;1,7;5,1;0;28;21;16,4;76,5;58;null;
2015-01-25;3,4;5,4;2;26,6;20,6;14,9;81,3;76;null;
2015-01-26;2,3;1,3;0;25,6;21;18,3;90,8;83;null;
2015-01-27;,8;,9;17,1;25;21,2;18,2;86,8;81;null;
2015-01-28;1,3;4,8;,6;28,2;22,4;18,2;77,5;59;null;
2015-01-29;2,4;4,1;0;28,6;22,1;17,3;74,3;57;null;
2015-01-30;2,9;9,6;0;30,6;23,5;16,6;66,5;54;null;
2015-01-31;3,6;5,8;0;30;22,8;17,2;82,3;69;null;
2015-02-01;2,8;8,2;3;29,6;22,9;16,6;81;62;null;
2015-02-02;2,6;3,6;10;27,6;20,1;16,5;81,8;70;null;
2015-02-03;2,6;7,9;3,5;27,4;20,9;14,1;84;68;null;
2015-02-04;1,4;,3;31,4;22,8;19,7;16,6;87;81;null;
2015-02-05;,8;,9;7,8;23,2;19,1;17,4;87,8;80;null;
2015-02-06;1,3;4,3;3,3;25,6;20,2;16,4;80;61;null;
2015-02-07;2,4;7,3;0;26,2;20,4;16,1;77,8;58;null;
2015-02-08;2,1;7,3;0;27,8;21;14,9;75;67;null;
2015-02-09;2,4;5,1;1,2;26,6;21,9;16,9;73,3;58;null;
2015-02-10;2,3;1,2;0;25,6;20,3;18;91;76;null;
2015-02-11;,8;5,7;33,1;28;22,3;18,6;84,5;73;null;
2015-02-12;2,1;7,9;0;30,4;22,8;17,9;74,5;50;null;
2015-02-13;3,5;6,8;0;30,4;23,9;17,3;69;51;null;
2015-02-14;4,2;5,5;0;29,2;22,2;18;78,3;64;null;
2015-02-15;2,7;3,1;3,1;28,2;21,1;18;85;74;null;
2015-02-16;2;1,6;10,9;24,6;20,6;17,2;81;72;null;
2015-02-17;2,2;1,4;2,9;25,2;21,7;19,2;83;81;null;
2015-02-18;1,6;,2;37,6;21,4;19,4;18,6;94,5;82;null;
2015-02-19;,6;,2;13,8;23,4;20;18;89;78;null;
2015-02-20;,8;3,5;4,5;25,8;21,7;18,4;78,5;65;null;
2015-02-21;2,4;10;0;28,8;22;15,5;69,3;48;null;
2015-02-22;3,5;8,3;0;28,4;21,7;14,9;73;50;null;
2015-02-23;3,1;9,6;0;27,8;21;13,7;72;53;null;
2015-02-24;3,5;9,9;0;29,4;21,2;13,9;74;47;null;
2015-02-25;3,5;3,8;0;26,6;20,4;15,9;81,8;58;null;
2015-02-26;2,3;8,5;1;28,8;22;18,4;75,3;50;null;
2015-02-27;3,3;8,2;0;27,6;21,3;15,2;78;67;null;
2015-02-28;2,6;5,3;0;28,4;20,9;15,4;87;75;null;
2015-03-01;2,3;9,6;3,6;27,6;21,1;15,9;74,8;56;null;
2015-03-02;3,4;8,4;0;26,7;20;12,8;71,8;54;null;
2015-03-03;3,1;7;0;28,4;21,6;15,6;76,3;57;null;
2015-03-04;3;8,6;3,6;28,6;22,5;18,4;75,8;58;null;
2015-03-05;3;5,8;0;28,2;20,9;14,8;80,3;66;null;
2015-03-06;2,3;1;0;26,6;20,9;15,4;83,3;78;null;
2015-03-07;1,7;4,6;1,1;27;20,6;17,8;87;79;null;
2015-03-08;2,1;1,2;4,6;26;20,3;16,5;91,5;84;null;
2015-03-09;1,3;,1;16,3;22;20,1;18,5;91,8;92;null;
2015-03-10;,7;2,8;8,4;23,4;20,4;18,4;88;75;null;
2015-03-11;1,3;8,4;11,8;28;21,6;18,5;75,8;48;null;
2015-03-12;3,3;0;0;22,7;19,9;16,9;89,8;87;null;
2015-03-13;,7;,3;21;23,8;20,1;18,2;86,8;77;null;
2015-03-14;,8;,1;21,2;25,4;20,4;17,7;87,8;78;null;
2015-03-15;1,2;,6;,9;26,6;21,6;18;78,5;61;null;
2015-03-16;2,3;2,1;0;27,6;20,7;15,5;86,8;69;null;
2015-03-17;1,5;0;28,2;22,8;19;17,2;89,3;78;null;
2015-03-18;,8;,1;4,8;22;18,7;16,8;90,3;84;null;
2015-03-19;,9;,1;8,2;23;18,8;16,7;87,5;74;null;
2015-03-20;,9;0;0;21,8;18,5;16;89,3;76;null;
2015-03-21;1;1,8;1,8;24,2;19,3;16,6;86,5;72;null;
2015-03-22;1,2;,5;3,1;23,6;19,7;16,5;91,8;89;null;
2015-03-23;1,1;6,4;10,3;26,6;20,4;17,7;84,3;66;null;
2015-03-24;1,9;5,6;0;27,4;19,3;13;79,3;51;null;
2015-03-25;2;8,1;0;27,4;20,1;14,4;75,5;53;null;
2015-03-26;2,8;8,1;0;27,6;19,9;13,4;78,8;55;null;
2015-03-27;2,7;3,6;0;28,4;20,1;15,2;90,3;84;null;
2015-03-28;2,9;5,8;1,8;28;21,5;15,6;86,5;72;null;
2015-03-29;,3;4;30,8;27,6;20,7;16,4;85,5;62;null;
2015-03-30;1,7;2;13,3;25,2;20,8;17,3;91,3;82;null;
2015-03-31;,7;5,4;28,4;26,8;21,4;18,5;84,3;65;null;
