Nome: MACHADO
Codigo Estacao: 83683
Latitude: -21.68138888
Longitude: -45.94083333
Altitude: 892.44
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1,4;8;1,2;32,8;24,7;18,1;72,8;56;,5;
2015-01-02;4,1;9,1;2,8;33,2;26;18,2;70,5;57;1,2;
2015-01-03;4,1;8,1;0;34;24;18;76;50;,7;
2015-01-04;2,6;4,2;4,4;30,4;23,7;19;75,3;63;0;
2015-01-05;2,6;5,3;0;30;23,1;18,5;80,5;66;,8;
2015-01-06;2,4;,4;29,9;29;22,5;18,7;81,3;71;,8;
2015-01-07;1,7;7,5;0;31;23,6;18,4;73,3;56;1;
2015-01-08;3,3;9,9;0;30,8;24,3;17,8;62,5;52;,5;
2015-01-09;4,3;9,7;0;32,6;24,6;17,8;63,5;54;,5;
2015-01-10;4,4;10,1;0;33,7;25,9;18,7;62,3;51;,8;
2015-01-11;4,9;9,8;0;34,8;26,8;20,6;62;50;1;
2015-01-12;5,4;8,8;0;34,2;26,3;19,7;59,3;44;,5;
2015-01-13;5,4;8,1;0;34,5;26,2;19,6;63,5;47;,3;
2015-01-14;4,7;9,8;0;34,5;26,5;19,8;64,3;46;,8;
2015-01-15;4,6;9;0;34,7;26,6;19,3;59,3;48;,8;
2015-01-16;5,1;9,3;0;33,4;26,5;19,6;56,3;46;,8;
2015-01-17;5;9,9;0;34,5;25,7;19;59,5;46;,5;
2015-01-18;5,5;10,2;0;36;26,6;18,6;56;42;,2;
2015-01-19;6,3;10,4;0;36;26,4;17,6;53,8;35;,7;
2015-01-20;6,6;10,4;0;34,6;27;18,6;53,8;40;,7;
2015-01-21;6,2;7,5;9,2;34,2;25,9;19,3;64,5;47;,8;
2015-01-22;4;6,4;0;30,4;22,8;18,9;78,5;61;1,2;
2015-01-23;2,8;0;4,1;21,4;19,3;17,5;91;86;1;
2015-01-24;1;7,2;6,2;30;21,3;17,6;72,3;53;,7;
2015-01-25;2,4;7,7;26,2;30;23;16,8;70,5;54;,5;
2015-01-26;3,2;2,6;,8;24;20,5;18,4;86,8;77;,2;
2015-01-27;1,4;4,2;3,6;28,7;22,3;18;86;74;,7;
2015-01-28;,9;4,2;1,4;30,7;22,8;17,8;77,5;55;,8;
2015-01-29;2,5;6,8;0;30,4;24,3;17,5;68;58;,8;
2015-01-30;3,3;7,8;0;33;24,1;17,3;71,5;46;,7;
2015-01-31;3,7;7;4;32,8;24,6;20;71,3;49;,2;
2015-02-01;3,8;8,1;,6;32,6;24,6;18,2;65,3;55;,7;
2015-02-02;3,4;6,1;18;31;22,2;18,1;79;53;1,2;
2015-02-03;2,7;7,4;,2;30,6;22,8;16,2;73;53;,7;
2015-02-04;2,9;3,3;,2;27,3;21,5;17,5;86,5;77;,9;
2015-02-05;1,6;1;29,8;24,7;20,6;18;93,5;90;1;
2015-02-06;,9;3,6;9,3;27,6;20,7;17,7;86,5;67;,8;
2015-02-07;1,4;6;50,6;28;20,6;16,4;83,8;59;,5;
2015-02-08;2;5,9;0;30;21,5;18,2;85,3;58;,2;
2015-02-09;1,8;3,1;72;28;22,6;17,8;82,8;71;,7;
2015-02-10;1,7;2,3;0;28;22,9;20;88,3;79;,7;
2015-02-11;1,2;5,4;1,5;30,8;23,3;19,1;80;62;,8;
2015-02-12;2,2;9,6;0;32,1;25,2;18,3;69;51;1;
2015-02-13;3,3;9,1;0;32,6;25,6;19,4;68;53;1;
2015-02-14;4,1;6,9;0;32;24,7;19,1;68,8;55;,5;
2015-02-15;2,8;5,8;0;32,3;23;18,7;78;56;1,2;
2015-02-16;2,7;,4;15,6;27,2;20,5;17,8;90,3;76;1;
2015-02-17;1;3;38,6;28,5;22,2;18,6;88,5;72;1,2;
2015-02-18;1,4;,2;12,4;25,6;20,6;19;94;78;1,2;
2015-02-19;,6;2,6;21;26,9;21,7;18,7;84,3;64;,8;
2015-02-20;1,4;2,6;1,3;29,1;22,7;18,9;80,8;65;,8;
2015-02-21;2,1;9,3;0;31,6;24,1;18,1;67,5;48;,8;
2015-02-22;3,9;9,6;0;30,7;23,6;17,9;62;50;,7;
2015-02-23;3,8;8,7;0;29,7;23;16,7;66,5;56;,7;
2015-02-24;3,8;9,1;0;30,8;22,9;16,1;73;55;1;
2015-02-25;3,5;5,9;0;29,6;22,4;17,5;80,8;58;1;
2015-02-26;2,1;7,8;1,9;30,6;23,2;17,4;74,3;51;,8;
2015-02-27;3,3;5,5;0;30,3;22,5;17,1;88;74;1,5;
2015-02-28;2;9;36,6;31,5;23,4;17,4;73,3;50;1,4;
2015-03-01;3,4;9,2;,6;29,8;23,2;17,8;68,5;53;,8;
2015-03-02;3,9;8,2;0;29,5;22,1;14,9;70,5;54;,7;
2015-03-03;3,6;7,6;0;30;23,2;17,9;73,3;59;,7;
2015-03-04;3,5;9;0;31,4;23,9;18,9;69,8;55;1,2;
2015-03-05;3,7;5,7;30,7;28,7;22,2;17,1;80,5;65;,5;
2015-03-06;1,8;6,1;0;31,6;23,3;17,5;72;51;1,3;
2015-03-07;3;4;7,4;29,3;22,3;17,4;92;78;,8;
2015-03-08;1,3;1;8,8;26,7;21,3;18,4;94,8;86;,8;
2015-03-09;1,1;0;24,8;23,9;20,8;19,1;97,3;94;1,2;
2015-03-10;,3;,3;23,9;24,2;21,2;19;93,5;91;,8;
2015-03-11;,9;6,5;12,9;28,5;22,1;19,3;84,3;64;,7;
2015-03-12;1,8;0;0;23,6;20,7;18,7;92,8;86;,5;
2015-03-13;,6;0;3,6;24,7;21;18,3;92,5;89;,8;
2015-03-14;,7;1,4;2,8;28,4;21,5;18,1;88,5;74;,8;
2015-03-15;1,3;,5;12,4;29,3;22,6;18;85;67;,8;
2015-03-16;1,9;0;1,5;29,1;22,4;17,5;79;60;,7;
2015-03-17;2,4;0;1;23;19,6;17,3;92,8;90;1;
2015-03-18;,6;0;11;23,7;19,3;17,1;92;80;,5;
2015-03-19;,7;,9;8,3;25,7;20,4;16,9;90,3;74;,5;
2015-03-20;,8;0;1,7;24,6;19,7;17,4;92;86;,5;
2015-03-21;1,1;,8;19,9;23,7;19,7;17;93,8;83;,3;
2015-03-22;,3;2,2;0;25,7;20,4;16,9;92,5;84;,5;
2015-03-23;,9;3,3;58,7;28,2;21,1;18,3;87;69;,8;
2015-03-24;1,8;,2;4,6;25,6;20,1;15,1;86,8;62;,2;
2015-03-25;1,9;8,1;0;28,6;21,5;15,1;76,8;65;,3;
2015-03-26;2,5;5,2;0;29;21,5;15,4;79,8;59;,5;
2015-03-27;2,1;3,9;0;31;22,9;15,4;78,5;60;,7;
2015-03-28;1,9;7,4;0;31,4;23,4;19;79,5;52;,3;
2015-03-29;2;2,2;0;29,2;21,9;17,5;92;74;,5;
2015-03-30;1,1;2;7,6;29,5;22,3;19,6;94,3;90;,3;
2015-03-31;,9;3,1;19,6;28,7;21,7;17,9;89;71;,3;
2015-04-01;1;4,8;1,2;30,2;22,8;18,2;76,3;64;0;
2015-04-02;3,2;7,2;0;29,5;23;18,2;74,8;60;,2;
2015-04-03;2,4;8,3;0;28,1;21,1;15,8;75,3;62;,2;
