Nome: LAVRAS
Codigo Estacao: 83687
Latitude: -21.2261111
Longitude: -44.97972221
Altitude: 916.19
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,7;12,1;0;32,1;26,1;19,1;59,8;43;2;
2015-01-02;5,6;9,2;0;33,6;26,6;20,9;60;39;1,9;
2015-01-03;5,2;8,9;0;33,8;25,2;20,2;66,8;46;1;
2015-01-04;3,6;9,6;4;30,3;23,7;19,2;69;49;2,6;
2015-01-05;4,3;6,2;0;29,4;22,8;19,2;72,8;54;3,1;
2015-01-06;2,9;6;,3;30,6;23,8;19,1;69,3;49;2,5;
2015-01-07;3,3;9,7;0;30,7;24,8;19,3;56,5;38;2,3;
2015-01-08;4,2;12,4;0;31,3;25;18,2;51,3;37;2,3;
2015-01-09;5;11,8;0;31,4;24,4;17,4;54,3;41;1,6;
2015-01-10;4,8;12;0;32,2;25,8;18,1;56,8;40;1,1;
2015-01-11;5,3;12,1;0;34;26,5;19,6;47,5;32;1,5;
2015-01-12;6,3;11,8;0;34;26,8;18,9;51,8;38;1,8;
2015-01-13;5,5;12,1;0;33,9;26,9;18,2;52,5;39;1,1;
2015-01-14;5,7;9,9;0;34,4;26,5;20,5;61,3;38;1,7;
2015-01-15;4,7;11,9;0;33,4;26,3;19,5;49,8;36;2,5;
2015-01-16;5,6;12;0;32,6;26,7;20,8;51,3;39;2,6;
2015-01-17;5,6;12,2;0;33,8;26,5;18,5;48,3;34;1;
2015-01-18;5,9;12,3;0;34;27;19,5;42,8;31;2,5;
2015-01-19;6,7;12,2;0;34,2;27,1;19,2;44,5;30;2,3;
