Nome: BARBACENA
Codigo Estacao: 83689
Latitude: -21.23972221
Longitude: -43.78138888
Altitude: 1128.08
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-05-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,7;7,2;3,8;null;null;17,5;78,5;59;,5;
2015-01-02;3,5;6,6;0;null;null;17,8;76,5;54;,8;
2015-01-03;2,3;9,5;12;null;null;16,5;81;56;,7;
2015-01-04;null;null;null;null;null;null;null;97;null;
2015-01-05;null;3,3;0;null;null;17,3;84,5;63;1,2;
2015-01-06;1,2;4,7;1,6;null;null;16,7;82,3;69;,5;
2015-01-07;1,2;7,8;0;null;null;17,3;82;60;,7;
2015-01-08;2,2;11,5;0;null;null;16,1;70,3;53;,7;
2015-01-09;2,4;11,3;0;null;null;14,4;65,8;51;1;
2015-01-10;3,4;11,5;0;null;null;14,4;65;46;,8;
2015-01-11;null;11,6;null;null;null;null;null;72;null;
2015-01-12;null;11,4;0;null;null;16,4;59,3;48;1;
2015-01-13;7;9,2;0;null;null;19,4;67,3;55;,7;
2015-01-14;4;10,8;0;null;null;18,9;72,3;48;,7;
2015-01-15;3,6;6,2;0;null;null;16,8;76,8;54;,3;
2015-01-16;2,9;10,4;0;null;null;16,3;65;49;,7;
2015-01-17;4;11,3;0;null;null;15;56;39;,7;
2015-01-18;null;11,6;null;null;null;null;null;61;null;
2015-01-19;null;11,6;0;null;null;14,6;58,8;42;1,2;
2015-01-20;6,6;11,6;0;null;null;16,1;49,3;41;,7;
2015-01-21;6,2;9,2;0;null;null;14,7;66,8;45;2,6;
2015-01-22;4,8;6;0;null;null;17,3;79,5;45;1,7;
2015-01-23;2,5;1,1;27,2;null;null;16,5;88,3;70;,2;
2015-01-24;1,2;,7;0;null;null;16,4;96,3;93;,7;
2015-01-25;null;5,6;null;null;null;null;null;97;null;
2015-01-26;null;6,7;0;null;null;14,7;80,3;50;,7;
2015-01-27;1,7;,6;35,2;null;null;16,5;87,3;61;0;
2015-01-28;1,5;2,8;0;null;null;16,1;89,8;77;,7;
2015-01-29;1;11,2;1,4;null;null;15,9;73,8;53;1;
2015-01-30;3;3,8;0;null;null;18,9;76;70;,7;
2015-01-31;1,8;null;0;null;null;19,3;79,5;54;1,5;
2015-02-01;2,4;7,6;3;null;null;16,7;77;63;1,7;
2015-02-02;2,1;5;0;null;null;17,7;85,5;67;2,3;
2015-02-03;1,5;4,8;10,8;null;null;15,9;93;81;1,6;
2015-02-04;1;6,3;27,6;null;null;15,5;80,5;55;3,1;
2015-02-05;2,5;0;35;null;null;15,5;92,8;80;3,1;
2015-02-06;,7;0;9,2;null;null;17,6;97;96;3,1;
2015-02-07;,2;8,8;2,4;null;null;16,5;85,8;68;,7;
2015-02-08;1,8;,6;,2;null;null;17,5;98;94;,7;
2015-02-09;,7;,7;26,3;null;null;17,4;96,3;95;1;
2015-02-10;1,1;6,2;10;null;null;17,5;87,8;74;1,6;
2015-02-11;1,2;8,3;1,8;null;null;17,8;80;58;1;
2015-02-12;1,9;10,8;0;null;null;17,2;67;56;,7;
2015-02-13;3;7,2;0;null;null;17,4;66;51;1,2;
2015-02-14;2;8,4;0;null;null;15,9;74,5;54;1,9;
2015-02-15;3;7,1;0;null;null;18,3;80,8;62;3,1;
2015-02-16;3,2;1,3;23;null;null;16,6;88,8;67;1,4;
2015-02-17;1,4;3,1;11;null;null;16,1;92,3;78;1,2;
2015-02-18;1,4;,5;7,8;null;null;17,3;91;74;3,3;
2015-02-19;,8;,2;14,6;null;null;16,7;83,5;69;1,9;
2015-02-20;1,5;8,9;3,4;null;null;17;82,8;58;,7;
2015-02-21;2,3;10,2;0;null;null;15,8;82,3;51;,8;
2015-02-22;3,2;10,9;0;null;null;16,9;79,3;53;,9;
2015-02-23;2,4;11;0;null;null;17,3;74,5;55;1;
2015-02-24;2,3;6,5;0;null;null;17,6;66,3;45;1,2;
2015-02-25;2,7;2,8;0;null;null;17,8;81,8;61;,7;
2015-02-26;1,5;6,3;,2;null;null;17,2;91,5;82;,5;
2015-02-27;1;8,4;2,6;null;null;16,2;86;67;1,5;
2015-02-28;2;8,7;4;null;null;16,4;85,3;61;2,3;
2015-03-01;2;5,1;,6;null;null;16,7;86,8;66;2,3;
2015-03-02;1,6;1,6;0;null;null;15,2;86,5;76;2,6;
2015-03-03;2,2;6,3;0;null;null;15,6;82,8;64;1,9;
2015-03-04;2,4;5,9;0;null;null;17,9;85;56;2,3;
2015-03-05;1,6;8,7;0;null;null;16,3;71,5;48;2;
2015-03-06;2,6;6,5;0;null;null;16,4;82,8;66;2;
2015-03-07;1,7;5,4;0;null;null;16,8;85,3;69;1,5;
2015-03-08;,7;1,3;73,4;null;null;17,8;91,8;80;,8;
2015-03-09;1,1;3,1;,6;null;null;18,8;90,5;76;,8;
2015-03-10;,8;,8;45;null;null;17,2;90,3;79;,8;
2015-03-11;1,2;2,3;4;null;null;18,2;89;66;1,2;
2015-03-12;1;2,9;27;null;null;17,2;88,5;75;1;
2015-03-13;1,5;6,2;0;null;null;16,3;89,5;74;,8;
2015-03-14;,8;5,4;2,2;null;null;16,5;85;65;,3;
2015-03-15;1,2;3,6;0;null;null;17,1;80,8;54;1;
2015-03-16;1,7;7,7;0;null;null;16,7;74,8;54;,7;
2015-03-17;2;0;0;null;null;17;97;79;1,3;
2015-03-18;,5;1,1;33;null;null;16,8;85,5;64;1,2;
2015-03-19;1;2,3;0;null;null;16,1;85,3;63;1,9;
2015-03-20;1,4;5,6;0;null;null;17;84,8;71;,7;
2015-03-21;1,1;,1;29;null;null;16,8;96,3;94;,5;
2015-03-22;,5;1,9;13,2;null;null;15,7;96;93;1,7;
2015-03-23;,3;,6;22,3;null;null;16,5;97,3;97;,5;
2015-03-24;,3;,7;8;null;null;16,5;91,3;86;,2;
2015-03-25;1,1;7,3;0;null;null;15,8;84,5;59;,5;
2015-03-26;1,3;9,6;0;null;null;15,3;78;56;1;
2015-03-27;4;3,8;0;null;null;14,9;82,3;59;1,7;
2015-03-28;2,8;8,6;0;null;null;15,4;76,3;55;1,7;
2015-03-29;2,4;7,6;1,6;null;null;18,8;84,8;60;1,4;
2015-03-30;1,6;4,5;14,6;null;null;17,9;90,8;70;2,4;
2015-03-31;1,2;5,5;73;null;null;16,8;87,5;67;1,5;
2015-04-01;1,4;5,8;0;null;null;17,5;87,3;62;1,9;
2015-04-02;1,4;1,3;0;null;null;16,5;87,5;71;1,9;
2015-04-03;1;4,1;,3;null;null;15,3;88,3;65;,5;
2015-04-04;1,2;7,7;0;null;null;14,7;83,8;54;1,2;
2015-04-05;1,6;2,2;0;null;null;16,2;93,3;85;,8;
2015-04-06;1,2;4,9;0;null;null;17,9;85;62;1,7;
2015-04-07;1,7;,7;,3;null;null;13,5;90,8;73;3,1;
2015-04-08;,6;,2;0;null;null;13,1;94;83;1,4;
2015-04-09;,4;1,7;,2;null;null;12,3;89,8;74;,3;
2015-04-10;,8;2,2;,4;null;null;14,9;85,8;65;1,4;
