Nome: JUIZ DE FORA
Codigo Estacao: 83692
Latitude: -21.76999999
Longitude: -43.36444444
Altitude: 936.9
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,4;8,1;5,4;33,6;25,4;19;69;59;3;
2015-01-02;3,6;6,8;,4;32,2;26;21,5;70;70;2,3;
2015-01-03;3,9;7,6;0;32,4;24,6;20,6;75,8;57;3;
2015-01-04;2,6;5,2;0;31;22,4;18,2;79,5;63;1,7;
2015-01-05;6;2,9;18,2;29,2;21,6;18,4;84;60;1;
2015-01-06;1,5;6,9;23,4;27,8;22,3;17;70;63;2;
2015-01-07;2,5;10,3;0;28,8;22,9;17,8;68,3;54;3,3;
2015-01-08;3,4;12,7;0;29,6;23,5;17,5;63;51;1,7;
2015-01-09;3,6;12,8;0;29,9;23,8;18,5;56;45;3,3;
2015-01-10;4,8;12,9;0;32,2;25,8;19,7;52,8;47;2,3;
2015-01-11;5,2;12,8;0;32,7;26,4;20,6;46,8;39;3,3;
2015-01-12;6;12,7;0;33,8;26,8;21,2;49;40;4;
2015-01-13;5,8;10,1;0;33;26,6;22,2;59,3;47;3,3;
2015-01-14;4,2;10,5;0;32,3;26,3;22,2;60,3;51;3,3;
2015-01-15;4,5;7,7;0;31,1;25,2;20,5;60;43;3,7;
2015-01-16;3,5;8,6;0;31,1;25,6;20,5;60,3;43;2,3;
2015-01-17;4,2;12,9;0;32,6;25,5;18,2;54;51;1,7;
2015-01-18;5,4;12,8;0;33,8;26,9;20,5;46,3;35;2,3;
2015-01-19;6;12,7;0;32,7;25,1;19,8;52,8;45;2,3;
2015-01-20;4,2;12,5;0;33,2;26,7;20,5;43,3;41;2,3;
2015-01-21;7,6;11,1;0;34,5;25,4;20,6;64;37;3;
2015-01-22;4,9;5,8;0;30,9;22,5;19,4;74,8;49;2;
2015-01-23;2,9;7,2;19,7;29,1;22,3;17,5;81,3;69;3;
2015-01-24;2,1;,1;0;26;19,9;16,9;87,5;75;1,7;
2015-01-25;1,5;5,7;13,8;27,8;21,6;16,6;74,5;65;2,7;
2015-01-26;3;7;0;29,2;21,8;18,6;78,3;62;2,3;
2015-01-27;2,6;3,4;2,2;31,4;22,9;18,5;71,3;48;3;
2015-01-28;3;4,9;30,9;30,2;22,6;19,4;84,5;70;1,7;
2015-01-29;2;10,9;16,6;32;25,6;19,5;67,5;57;1,3;
2015-01-30;3,8;null;0;null;24,5;22;79;58;3,3;
2015-01-31;2,4;6,2;15,2;30,6;23,3;20,2;83;61;1,7;
2015-02-01;2,2;7,8;17;28,8;22,6;17,5;74,8;66;1;
2015-02-02;3;2,6;0;27,6;21;18;85,5;71;2,3;
2015-02-03;1,6;6;13,1;28,2;20,4;16,5;84,3;63;2,7;
2015-02-04;2,2;1,8;3,4;26,8;20,5;17;88;80;3;
2015-02-05;2;,2;17,3;23,2;19,9;17,6;91;80;3,3;
2015-02-06;1,4;0;5;23,2;20,1;18,4;94,3;91;3;
2015-02-07;,6;8,8;1,5;28,3;21,7;18,1;79;69;2,3;
2015-02-08;1,2;2,4;18,2;26,9;21;17,7;90,5;85;2,3;
2015-02-09;1,6;,5;9,8;26,3;21,1;18,4;87,5;78;3;
2015-02-10;,9;5,2;2,1;29,4;22,6;18,6;79,5;61;3;
2015-02-11;2,1;11,3;0;29,4;23,7;19,5;70,5;59;3;
2015-02-12;3,2;11,6;0;31,5;25,6;20,6;57;51;2,7;
2015-02-13;4,2;11,8;0;33,6;26,6;21;55,3;41;3,3;
2015-02-14;4,5;9,3;0;32,6;25,7;21;66,8;50;1,7;
2015-02-15;3,5;6,5;0;29,8;23,4;19,2;72,8;61;2,3;
2015-02-16;2,3;1,8;1,4;29;21,3;18,2;84;63;1,7;
2015-02-17;1,5;6,7;4;28;22,4;18,5;80,8;63;2;
2015-02-18;2,7;1,1;0;27,6;21,4;19;82,8;67;3,3;
2015-02-19;1,4;3,5;2,5;28,8;22,3;18,2;72,8;62;2,3;
2015-02-20;3,3;10,3;0;30;24;19,5;63,5;51;2;
2015-02-21;2,5;7,1;0;29,3;22,4;18;68;50;3,7;
2015-02-22;3,2;9,8;0;28,6;23;18,2;67,3;50;3,3;
