Nome: ITAPERUNA
Codigo Estacao: 83695
Latitude: -21.20444444
Longitude: -41.90555555
Altitude: 123.6
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,1;12,1;0;38,2;30;21,9;57,5;44;1,3;
2015-01-02;6,2;12,1;0;38,6;31,5;24,6;55,3;49;0;
2015-01-03;6,8;11,3;0;37,4;30,2;25,7;60,8;47;2,7;
2015-01-04;7,3;9,8;0;36;29,3;24,4;57,8;44;2,3;
2015-01-05;6;10,1;0;35,6;28,1;23,2;58,8;36;2,3;
2015-01-06;7;7;0;33,8;27,4;24;64,3;43;1,7;
2015-01-07;5,4;11,1;0;35;27,8;23,2;58,8;42;2;
2015-01-08;6,6;12;0;35;27,7;21,5;56,5;33;1,7;
2015-01-09;6;11,7;0;37;28,9;21,4;54,5;28;1,3;
2015-01-10;7,6;12,1;0;37,8;29,6;22,6;52;32;,7;
2015-01-11;7,7;11,9;0;38,5;30,1;22,2;50,5;31;,7;
2015-01-12;8,2;11,9;0;39,5;30,8;22,8;48;25;,7;
2015-01-13;8;11,3;0;39,4;31;23,6;48,5;33;2;
2015-01-14;8,5;11,1;0;36,8;28,9;23,5;58,3;41;2;
2015-01-15;7;11,1;0;37,5;29,3;21,9;55,5;36;1,7;
2015-01-16;8,5;12;0;37,5;28,7;23;54,8;29;2;
2015-01-17;9;11,4;0;37,4;29;22,5;55,3;37;1,3;
2015-01-18;8,1;12,2;0;39,6;30,7;22,5;49,8;31;1,3;
2015-01-19;8,4;12,2;0;38,5;29,8;23,6;53,5;37;2;
2015-01-20;8,3;12,1;0;39,2;29,9;21,9;51,8;35;,7;
2015-01-21;9;11,9;0;39;30,4;23;53;41;,7;
2015-01-22;8,4;9,2;,1;38,4;30;25,8;58,8;40;3,3;
2015-01-23;8,1;8,6;0;36,8;28,9;24,4;57,8;35;1,3;
2015-01-24;7,5;8,4;0;37;27,5;22,5;63,3;39;,7;
2015-01-25;5;8,6;,2;36,5;28,2;21,9;65,5;43;0;
2015-01-26;6,5;8,5;0;38,4;28,9;22,8;63,5;47;0;
2015-01-27;5,6;4,5;8,2;37;29;25;69,3;63;1,7;
2015-01-28;4,2;8,9;0;38,6;28,7;23,8;72,3;49;1,3;
2015-01-29;5,2;10,4;4,2;39,4;30,7;23,4;59;43;1,7;
2015-01-30;7,3;9,6;0;41;31,6;25,2;50,3;35;2,3;
2015-01-31;9,6;9,8;0;38,4;29,3;22,6;54,8;40;1,7;
2015-02-01;8,3;9,8;0;37,2;29,1;25;58,8;35;2,3;
2015-02-02;7,8;8,8;0;37,6;29,1;24,4;58,3;39;,7;
2015-02-03;6,9;7,1;,5;36,5;28,4;23,5;62,8;43;,3;
2015-02-04;5,5;7,3;0;37;26,6;22,4;70,3;33;1;
2015-02-05;4,4;,4;23,4;30,4;25;22,2;81;60;0;
2015-02-06;2,1;0;3,6;28,5;25,1;23,2;88,8;82;0;
2015-02-07;1,2;5,1;1,7;33;26,7;22,6;76;58;0;
2015-02-08;3,1;,8;,6;32,4;26,6;23,5;83;78;0;
2015-02-09;2,6;4,8;,7;34;26,6;23;81;68;1;
2015-02-10;3;4,5;4,1;34;26,8;23,4;77,3;54;,3;
2015-02-11;3,1;11,5;0;36,5;28,5;22,4;59,8;42;0;
2015-02-12;5,5;11,6;0;37,5;29,6;22,4;55,8;40;,7;
2015-02-13;5,8;10,8;0;39,6;30,7;23,2;56,3;41;,3;
2015-02-14;6,6;9,4;0;38,4;29,5;24,7;64,8;39;,7;
2015-02-15;5,4;9,1;0;37,5;29,3;22,8;58,5;45;1;
2015-02-16;6,1;10;0;37,4;26,8;22,4;73,3;45;,7;
2015-02-17;4,6;8,3;40,2;35,4;28,3;22,4;65,3;52;1,3;
2015-02-18;4,8;3,9;0;34,5;28,8;23,4;63,8;51;,3;
2015-02-19;5,2;9,9;0;37;28,2;22,8;69;49;1;
2015-02-20;4,8;11,3;0;36,8;28,2;21,7;59;37;1;
2015-02-21;6,3;10,7;0;35,6;28;23,2;58,8;33;1;
2015-02-22;6;9,8;0;34,6;27,6;23,2;66;48;2,3;
2015-02-23;6,7;5,6;10,2;34,4;27;23,6;72;47;1,3;
2015-02-24;4,5;9,2;0;35,8;27,5;21,9;65,8;38;,7;
2015-02-25;6;9;0;35,4;28,2;22,4;63,8;41;0;
2015-02-26;4,5;8,6;0;37,6;27,6;23,5;74;42;,7;
2015-02-27;4,2;10,7;18,2;35;27,8;22,5;67,8;52;,7;
2015-02-28;4,3;8,6;0;35,6;28;23;64,5;41;1;
2015-03-01;5,1;5,1;1,2;32,5;26,4;23,2;62,8;46;1,3;
2015-03-02;5,4;,6;1;28,6;24,3;21,7;81;64;,3;
2015-03-03;1,6;6,2;,5;31,5;25,3;21,1;77,3;58;0;
2015-03-04;3;6,5;0;34;25,8;22,4;78,5;51;1;
2015-03-05;3,1;7,6;14,2;33,4;25,5;22,2;82,3;54;,7;
2015-03-06;2,9;10,8;9,2;34,4;27,2;20,7;66,8;48;1;
2015-03-07;4;8,9;0;35,8;28,1;23;70,8;45;1,3;
2015-03-08;4,3;7,1;18,6;32,5;27,4;23,8;76,3;60;,7;
2015-03-09;2,9;5,8;0;34,8;28,4;23,6;67;51;,3;
2015-03-10;4;1,4;0;32,6;27,9;23,8;74;62;0;
2015-03-11;3;7,7;0;36,2;29,1;23,8;63,5;44;1;
2015-03-12;4,9;9,2;0;35,6;29,3;24;57,8;41;1,7;
