Nome: CAMPOS
Codigo Estacao: 83698
Latitude: -21.74249999
Longitude: -41.33277777
Altitude: 11.2
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;7;null;0;37,2;29,4;24;60;46;1,6;
2015-01-02;7,7;null;0;38,8;30,3;23,8;62;45;,5;
2015-01-03;6,2;null;0;35;29,2;24,7;66,8;52;,5;
2015-01-04;5,3;null;0;35,8;28,7;24,7;64;45;,5;
2015-01-05;4,7;null;0;35,6;28,6;24;67;47;1,6;
2015-01-06;4,5;null;0;34,8;27,8;24,5;67,3;44;1,6;
2015-01-07;6,8;null;0;33,8;27,6;24,3;63,3;44;1,6;
2015-01-08;6,7;null;0;32,8;27,6;23,8;60;44;1,6;
2015-01-09;7;null;0;34;27,8;23,6;62,3;47;1,6;
2015-01-10;7,8;null;0;34,4;28,2;24;63,8;44;1,6;
2015-01-11;6,4;null;0;37,4;29;23;60,5;42;2,2;
2015-01-12;6,6;null;0;38;29,3;23,4;64,8;49;1,6;
2015-01-13;7,7;null;0;34,8;28,6;24,5;64;50;1,6;
2015-01-14;6,8;null;0;33,4;27,7;24,5;67,3;43;2,7;
2015-01-15;6;null;0;35,8;28,5;23,4;65,3;53;1,1;
2015-01-16;7;null;0;34,4;28,1;23,4;62,5;47;1,1;
2015-01-17;7,4;null;0;36;28,2;24;64,5;39;2,2;
2015-01-18;6,8;null;0;37,2;28,7;23,4;62,8;42;,5;
2015-01-19;7;null;0;35;28,3;23,8;63;47;2,2;
2015-01-20;6,8;null;0;35,6;28,4;23,4;63;44;1,6;
2015-01-21;6,7;null;0;37,4;29;23,6;64;46;1,1;
2015-01-22;5,5;null;0;36,8;29;24,7;63,8;43;1,6;
2015-01-23;5,5;null;0;34,8;28,4;24,3;65,5;48;1,6;
2015-01-24;7,2;null;0;35;28,7;24,9;61,8;43;1,6;
2015-01-25;6,8;null;0;34,8;28,1;23,6;67,3;47;0;
2015-01-26;7,4;null;0;36,8;28,5;23,8;68,8;50;,5;
2015-01-27;5,3;null;0;37;28,7;24,5;70,8;50;1,1;
2015-01-28;5,3;null;0;35,4;28,6;24,2;67,8;43;1,1;
