Nome: PONTA PORA
Codigo Estacao: 83702
Latitude: -22.5525
Longitude: -55.71638888
Altitude: 668
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;0;null;null;null;73,5;55;3,3;
2015-01-02;null;null;7,7;null;null;null;86,5;69;3;
2015-01-03;null;null;0;null;null;null;71,8;56;2,3;
2015-01-04;null;null;0;null;null;null;93,3;72;1;
2015-01-05;null;null;41,3;null;null;null;79,8;73;3;
2015-01-06;null;null;0;null;null;null;81;55;3,3;
2015-01-07;null;null;15,5;null;null;null;74;50;3;
2015-01-08;null;null;,3;null;null;null;71,8;44;2,3;
2015-01-09;null;null;0;null;null;null;84;79;2,7;
2015-01-10;null;null;1,7;null;null;null;59,5;48;1,7;
2015-01-11;null;null;0;null;null;null;68;58;2,3;
2015-01-12;null;null;0;null;null;null;76;67;1,3;
2015-01-13;null;null;36,9;null;null;null;68;49;2,3;
2015-01-14;null;null;0;null;null;null;89,3;70;3;
2015-01-15;null;null;18;null;null;null;78,5;69;4,3;
2015-01-16;null;null;3,1;null;null;null;77;67;1,7;
2015-01-17;null;null;0;null;null;null;61,8;49;2;
2015-01-18;null;null;0;null;null;null;96,5;64;2;
2015-01-19;null;null;15;null;null;null;59,3;51;1,3;
2015-01-20;null;null;0;null;null;null;80;54;1;
2015-01-21;null;null;0;null;null;null;75,8;67;2;
2015-01-22;null;null;0;null;null;null;78,8;62;1;
2015-01-23;null;null;22;null;null;null;77,8;60;1,7;
2015-01-24;null;null;0;null;null;null;76,3;68;2,3;
2015-01-25;null;null;0;null;null;null;77;69;1,7;
2015-01-26;null;null;0;null;null;null;84,3;79;1,7;
2015-01-27;null;null;34,5;null;null;null;98,5;84;3,7;
2015-01-28;null;null;17,3;null;null;null;97;91;3;
2015-01-29;null;null;22,8;null;null;null;90,5;90;3,7;
2015-01-30;null;null;16,4;null;null;null;87,8;78;3;
2015-01-31;null;null;0;null;null;null;77,8;61;2,3;
2015-02-01;null;null;0;null;null;null;85;80;2;
2015-02-02;null;null;1;null;null;null;73;42;2,3;
2015-02-03;null;null;0;null;null;null;86,5;80;3,3;
2015-02-04;null;null;0;null;null;null;86;71;2,7;
2015-02-05;null;null;16,5;null;null;null;90,3;79;3,3;
2015-02-06;null;null;7,5;null;null;null;70;55;2,3;
2015-02-07;null;null;0;null;null;null;71,3;71;2,7;
2015-02-08;null;null;0;null;null;null;68,8;65;2;
2015-02-09;null;null;0;null;null;null;77;70;2,3;
2015-02-10;null;null;1;null;null;null;73,5;52;3;
2015-02-11;null;null;0;null;null;null;85;80;3;
2015-02-12;null;null;7;null;null;null;76,5;56;1,5;
2015-02-13;null;null;0;null;null;null;89,8;78;3;
2015-02-14;null;null;,1;null;null;null;89;80;2;
2015-02-15;null;null;,2;null;null;null;80,3;71;3;
2015-02-16;null;null;0;null;null;null;95,3;83;3;
2015-02-17;null;null;40,5;null;null;null;95,3;84;2,7;
2015-02-18;null;null;0;null;null;null;86,5;77;2,7;
2015-02-19;null;null;2,5;null;null;null;99;85;2,7;
2015-02-20;null;null;16,5;null;null;null;90,8;84;2,7;
2015-02-21;null;null;0;null;null;null;88,5;73;3;
2015-02-22;null;null;0;null;null;null;87,5;79;3;
2015-02-23;null;null;0;null;null;null;97,3;91;3;
2015-02-24;null;null;0;null;null;null;87,5;67;2,7;
2015-02-25;null;null;20;null;null;null;73;54;2,7;
2015-02-26;null;null;0;null;null;null;85,8;75;2,3;
2015-02-27;null;null;2;null;null;null;93,5;89;2;
