Nome: CAMPOS DO JORDAO
Codigo Estacao: 83714
Latitude: -22.75027777
Longitude: -45.60388888
Altitude: 1662.56
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2019-03-19
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,5;null;1,4;25,1;null;14,2;null;71;null;
2015-01-02;2,5;null;0;26,9;null;15,6;null;62;null;
2015-01-03;2,5;null;7,4;25,5;null;14,4;null;77;null;
2015-01-04;1,9;null;0;24,2;null;15;null;60;null;
2015-01-05;1,8;null;0;22,2;null;14,6;null;74;null;
2015-01-06;1,3;null;,9;23,8;null;14;null;67;null;
2015-01-07;1,3;null;1,1;24,3;null;14,4;null;62;null;
2015-01-08;1,2;null;19,4;27,1;null;12,4;null;63;null;
2015-01-09;2,7;null;0;26,3;null;14;null;68;null;
2015-01-10;3;null;0;28,3;null;14,8;null;59;null;
2015-01-11;2,3;null;11;27,7;null;15,4;null;56;null;
2015-01-12;2,8;null;0;28,7;null;15;null;53;null;
2015-01-13;3,5;null;,7;26,3;null;14,2;null;56;null;
2015-01-14;3,2;null;0;25,5;null;15;null;58;null;
2015-01-15;1,8;null;3;26,1;null;13,8;null;61;null;
2015-01-16;2,6;null;0;25,5;null;13,2;null;50;null;
2015-01-17;4,1;null;0;26,1;null;14,4;null;64;null;
2015-01-18;4,5;null;0;27,5;null;14,6;null;55;null;
2015-01-19;4,9;null;0;27,7;null;14;null;43;null;
2015-01-20;5,7;null;0;28,7;null;14;null;53;null;
2015-01-21;3,4;null;0;27,3;null;15,8;null;72;null;
2015-01-22;2,5;null;7,2;22;null;15,4;null;77;null;
2015-01-23;1;null;4,6;20,2;null;13,6;null;76;null;
2015-01-24;1;null;0;22,8;null;12,6;null;64;null;
2015-01-25;1,2;null;14,5;22,6;null;11,6;null;68;null;
2015-01-26;1,5;null;31,6;22;null;13,6;null;93;null;
2015-01-27;,8;null;1,2;24,3;null;13,4;null;65;null;
2015-01-28;1,7;null;2,9;23,2;null;14,4;null;67;null;
2015-01-29;2;null;0;23;null;16,6;null;71;null;
2015-01-30;2,2;null;0;24;null;14;null;79;null;
2015-01-31;1,8;null;0;23,6;null;16,6;null;74;null;
2015-02-01;1,3;null;0;24,3;null;14,4;null;62;null;
2015-02-02;1,7;null;0;22;null;15;null;93;null;
2015-02-03;,7;null;10,8;21,6;null;10,6;null;79;null;
2015-02-04;1,2;null;2,8;20;null;13,2;null;87;null;
2015-02-05;,4;null;8,2;16,2;null;13,8;null;96;null;
2015-02-06;,8;null;17,8;19,8;null;13;null;89;null;
2015-02-07;,6;null;28,4;19,8;null;13,6;null;77;null;
2015-02-08;1;null;,6;24,9;null;12,4;null;59;null;
2015-02-09;2,2;null;0;23,8;null;15,4;null;79;null;
2015-02-10;1;null;29;22,2;null;15,6;null;80;null;
2015-02-11;,5;null;2,6;24;null;15;null;76;null;
2015-02-12;1,5;null;0;25,5;null;16,8;null;67;null;
2015-02-13;2,2;null;0;23,2;null;15,8;null;81;null;
2015-02-14;,7;null;31,9;22,4;null;14,2;null;74;null;
2015-02-15;null;null;null;22,4;null;null;null;null;null;
2015-02-16;null;null;9,4;18,6;null;14;null;87;null;
2015-02-17;,7;null;7,4;20,8;null;14,8;null;78;null;
2015-02-18;,7;null;6,7;17;null;14,8;null;96;null;
2015-02-19;,3;null;10,1;18,6;null;14,6;null;95;null;
2015-02-20;,6;null;,6;22,8;null;15;null;72;null;
2015-02-21;1,2;null;0;24,3;null;13,6;null;43;null;
2015-02-22;3,3;null;0;24,2;null;12,4;null;65;null;
2015-02-23;1,9;null;0;24;null;12,4;null;72;null;
2015-02-24;1,5;null;4;24;null;11,6;null;89;null;
2015-02-25;1,8;null;8,6;22,6;null;13,8;null;74;null;
2015-02-26;1,5;null;0;23,2;null;14,2;null;78;null;
2015-02-27;1,5;null;0;23,6;null;12,4;null;73;null;
2015-02-28;1,7;null;6;20,8;null;14,4;null;80;null;
2015-03-01;1,2;null;22,6;20,6;null;13,4;null;74;null;
2015-03-02;1,7;null;0;23,4;null;8,2;null;64;null;
2015-03-03;2,1;null;0;23,6;null;11,2;null;68;null;
2015-03-04;1,8;null;0;23;null;12;null;81;null;
2015-03-05;1,8;null;0;24;null;14;null;59;null;
2015-03-06;2,1;null;0;24;null;13,8;null;66;null;
2015-03-07;1,5;null;7,7;20,8;null;14,4;null;86;null;
2015-03-08;,7;null;24,6;20,4;null;14,4;null;89;null;
2015-03-09;,4;null;9,8;18,2;null;14,8;null;91;null;
2015-03-10;,5;null;9,3;18,8;null;14,6;null;89;null;
2015-03-11;,9;null;4,8;22,2;null;15;null;70;null;
2015-03-12;1,8;null;0;20;null;14,4;null;85;null;
2015-03-13;,5;null;13,5;19,6;null;13,4;null;84;null;
2015-03-14;,6;null;0;20;null;15;null;88;null;
2015-03-15;,9;null;13;22;null;14,6;null;83;null;
2015-03-16;,9;null;0;22,2;null;13,6;null;79;null;
2015-03-17;,9;null;14,9;20;null;13;null;83;null;
2015-03-18;,4;null;5,4;18;null;13;null;89;null;
2015-03-19;,3;null;2,8;18,6;null;12,6;null;85;null;
2015-03-20;,3;null;,3;19,6;null;12,2;null;82;null;
2015-03-21;1,1;null;1,6;18;null;13,2;null;89;null;
2015-03-22;,5;null;9,9;19;null;13,4;null;94;null;
2015-03-23;,5;null;37,5;18,4;null;11,2;null;89;null;
2015-03-24;,3;null;,8;19,6;null;10,4;null;82;null;
2015-03-25;,9;null;0;21,6;null;12,6;null;69;null;
2015-03-26;1,2;null;0;23;null;10,4;null;70;null;
2015-03-27;1,4;null;0;22,6;null;10,8;null;65;null;
2015-03-28;,8;null;0;22,6;null;13,6;null;82;null;
2015-03-29;1;null;0;22;null;13,6;null;95;null;
2015-03-30;,6;null;31;19,8;null;14,4;null;96;null;
2015-03-31;,6;null;4,8;20,2;null;14,8;null;91;null;
2015-04-01;1,7;null;4,6;21,6;null;12,2;null;80;null;
2015-04-02;1,5;null;0;20,8;null;13,4;null;68;null;
2015-04-03;1,6;null;0;21;null;10,4;null;66;null;
2015-04-04;1,7;null;0;20,4;null;9,8;null;74;null;
2015-04-05;1,5;null;0;19,2;null;14,4;null;93;null;
2015-04-06;,5;null;22,8;20,2;null;14,8;null;78;null;
2015-04-07;1;null;7,8;15;null;10,8;null;92;null;
2015-04-08;,4;null;,4;18,2;null;9;null;82;null;
2015-04-09;1,1;null;0;19,8;null;12,4;null;75;null;
2015-04-10;,8;null;0;20;null;10,8;null;68;null;
2015-04-11;1,5;null;0;20,2;null;10,8;null;64;null;
2015-04-12;1,2;null;0;20,4;null;10,2;null;67;null;
2015-04-13;1,4;null;0;20,4;null;10,4;null;62;null;
2015-04-14;1,2;null;0;21,2;null;12,6;null;74;null;
2015-04-15;1,3;null;0;20,6;null;13,6;null;75;null;
2015-04-16;1,1;null;4,4;20,6;null;14,8;null;87;null;
2015-04-17;,8;null;9;20,4;null;10,8;null;82;null;
2015-04-18;,8;null;0;20,6;null;12,8;null;75;null;
2015-04-19;1;null;0;22;null;13,2;null;93;null;
2015-04-20;,6;null;1,6;22;null;13,2;null;74;null;
2015-04-21;1,1;null;0;22,6;null;14,4;null;81;null;
2015-04-22;,7;null;4,2;18,4;null;15;null;95;null;
2015-04-23;,2;null;2,5;20,6;null;12,2;null;84;null;
2015-04-24;,7;null;1,5;20;null;14;null;80;null;
2015-04-25;,6;null;,5;16,8;null;11,6;null;82;null;
2015-04-26;,5;null;,6;17,8;null;10,4;null;77;null;
2015-04-27;1,3;null;0;18,4;null;7,4;null;70;null;
2015-04-28;1,3;null;0;17,8;null;9,8;null;71;null;
2015-04-29;1,1;null;0;18;null;9,8;null;74;null;
2015-04-30;1,3;null;0;16;null;9,4;null;80;null;
2015-05-01;,7;null;0;16,6;null;8,4;null;73;null;
2015-05-02;,8;null;0;17,2;null;8,8;null;84;null;
