Nome: CORDEIRO
Codigo Estacao: 83718
Latitude: -22.02222221
Longitude: -42.36444444
Altitude: 505.9
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1,2;10,3;,3;35,2;27,4;19,9;null;56;0;
2015-01-02;,8;6,8;0;35,6;26,3;20,5;null;61;0;
2015-01-03;1,9;8,4;0;34,7;26,2;21,3;null;67;0;
2015-01-04;1,9;7,7;10,6;32,2;25,3;20,7;null;71;0;
2015-01-05;1,8;7,6;0;31,8;25,4;19,8;null;67;0;
2015-01-06;2,3;5,4;0;30,2;24,2;19,7;null;77;0;
2015-01-07;2,2;6,3;0;31,4;24,7;18,9;null;76;0;
2015-01-08;2,4;11;0;31,6;24,2;17,6;null;67;0;
2015-01-09;2,9;11,4;0;32,4;25,1;17,5;null;62;0;
2015-01-10;3,1;11,5;0;34,7;25,5;18,1;null;62;0;
2015-01-11;3,1;11,7;0;35,7;26,7;18,7;null;67;0;
2015-01-12;4,6;11,4;0;36,9;28;20,1;null;49;0;
2015-01-13;2,9;8,8;0;35,7;27;21,1;null;59;0;
2015-01-14;2,9;9,4;0;33,7;26,2;20,5;null;67;0;
2015-01-15;2,9;5,9;0;31,4;25,4;19,7;null;60;0;
2015-01-16;2,6;10,5;0;34,6;26,7;20,1;null;54;0;
2015-01-17;3,5;11,4;0;35;26,6;18;null;58;0;
2015-01-18;3,3;11,8;0;36,5;27,4;18,9;null;58;0;
2015-01-19;4;11,5;0;35,2;27,3;19,7;null;52;0;
2015-01-20;3,7;11,6;0;35,7;27;18,8;null;56;0;
2015-01-21;4,4;10,9;0;36,4;28,3;20,3;null;46;0;
2015-01-22;4,2;5,1;0;33;25,8;20,7;null;63;0;
2015-01-23;2,7;9,4;0;33,7;25,4;18,7;null;65;0;
2015-01-24;3,1;5,9;0;33;23,4;18,6;null;67;0;
2015-01-25;2;6,9;29,3;31;23,5;18,3;null;94;0;
2015-01-26;2,4;6,8;0;33,8;25,3;18,9;null;63;0;
2015-01-27;2,2;5,5;0;33,7;25;20,1;null;82;0;
2015-01-28;2,6;8,7;0;34,2;25,1;20,1;null;62;0;
2015-01-29;2,3;11,1;34,1;34,7;26,6;20,3;null;77;0;
2015-01-30;2,6;6,5;0;34,2;26,2;21,9;null;59;0;
2015-01-31;1,7;7,6;20,3;33,2;25,4;20,3;null;87;0;
2015-02-01;2,1;10,4;3,6;32,8;24,3;20,3;null;81;0;
2015-02-02;2,1;2,9;0;31,7;25;19,7;null;70;0;
2015-02-03;2,2;4,5;8,4;30,2;23,8;19;null;80;0;
2015-02-04;1,6;8,5;3,5;30,9;22,6;17,5;null;76;0;
2015-02-05;1,8;0;20,6;25,2;22,1;19,1;null;94;0;
2015-02-06;,9;0;14;24,2;22,2;20,6;null;83;0;
2015-02-07;,7;8,8;1,3;30,4;23,8;20,9;null;73;0;
2015-02-08;1,7;2,2;1;27,9;22,6;19,6;null;85;0;
2015-02-09;1,3;2;1,7;29,2;23,8;19,4;null;74;0;
2015-02-10;1,1;8,3;1,9;31,6;24,7;20,7;null;88;0;
2015-02-11;1,8;10;0;30,9;24,5;20,1;null;81;0;
2015-02-12;1,7;11,8;0;33,7;26;19,3;null;71;0;
2015-02-13;2,6;11,8;0;34,2;26,6;19,6;null;55;0;
2015-02-14;2,6;7,4;0;33,4;26,7;20,9;null;59;0;
2015-02-15;2,3;8,8;0;31,4;25,4;20,9;null;79;0;
2015-02-16;2,2;5,2;,8;31,2;26,1;21,1;null;66;0;
2015-02-17;1,9;5,4;,6;31,9;25,4;20,1;null;73;0;
2015-02-18;2;1,6;0;30,2;25,5;21,1;null;78;0;
2015-02-19;2,1;9,6;0;32;25,8;20,2;null;68;0;
2015-02-20;2,4;9,8;0;32,7;25;19,3;null;71;0;
2015-02-21;2,5;10,8;0;31,9;25,2;17,7;null;78;0;
2015-02-22;2,6;10,7;0;31,4;24,7;18,6;null;76;0;
2015-02-23;2,9;9,7;0;30,4;24,5;19,3;null;68;0;
2015-02-24;2,4;10,8;0;32,2;24,9;18,5;null;71;0;
2015-02-25;3;5,4;0;32,4;24,8;19,5;null;76;0;
2015-02-26;2,4;6;0;33,2;24,5;19,7;null;65;0;
2015-02-27;1,8;8,9;1,5;32,2;24,7;19,5;null;75;0;
2015-02-28;1,9;6,9;,3;33;24,9;16,7;null;73;0;
2015-03-01;2,4;8,7;0;30,6;23,6;18,3;null;74;0;
2015-03-02;3,2;1,7;0;27;21,5;16,7;null;76;0;
2015-03-03;2;7,7;0;30,9;24;18,2;null;64;0;
2015-03-04;2,8;3,8;1,7;30,2;23,1;19,3;null;76;0;
2015-03-05;1,9;9,9;,4;31,5;24,8;18,5;null;74;0;
2015-03-06;3,1;9,2;0;32,7;24,8;18,6;null;67;0;
2015-03-07;3,2;4,4;0;32,2;25,5;20,4;null;67;0;
2015-03-08;2,4;2,7;13,5;28;23,6;20,4;null;80;0;
2015-03-09;1,6;2,3;0;29;24,8;21,4;null;74;0;
2015-03-10;1,2;,6;25,7;27,7;23,3;21,1;null;91;0;
2015-03-11;1,9;4,1;,3;30,4;24;21,1;null;69;0;
2015-03-12;2,3;4,7;18,4;31,4;25;20,3;null;80;0;
2015-03-13;,7;7,5;0;32,6;25,5;20,6;null;75;0;
2015-03-14;2;5,5;0;31,4;24,9;20;null;77;0;
2015-03-15;2;3,8;0;30,5;23,6;19,9;null;85;0;
2015-03-16;1,7;9,9;0;32,5;24,8;19,3;null;65;0;
2015-03-17;1,5;,9;0;29,5;23,9;20,9;null;77;0;
2015-03-18;2,4;7,4;,3;30,5;24,8;19,9;null;74;0;
2015-03-19;2,1;3,6;0;29,8;23,6;18,3;null;74;0;
2015-03-20;1,6;8,3;0;30,8;23,6;19,1;null;74;0;
2015-03-21;2,1;,1;0;26;22,7;19,5;null;86;0;
2015-03-22;1,1;4,2;0;28;23,4;19,1;null;73;0;
2015-03-23;1,4;,3;41,8;25;21,4;19,1;null;87;0;
2015-03-24;,6;4,3;8,4;28,7;22,6;19,7;null;79;0;
2015-03-25;1,2;7,3;24,8;28,8;22;15,7;null;75;0;
2015-03-26;1,6;8,8;0;29,7;22,2;16,7;null;75;0;
2015-03-27;1,6;8,2;0;31,6;24,5;17,8;null;76;0;
2015-03-28;1,8;9,5;0;31,2;24;18,8;null;79;0;
2015-03-29;1,9;7,9;0;31,2;25,1;21,4;null;78;0;
2015-03-30;1,7;3,2;41,1;29,9;24,2;20,8;null;80;0;
2015-03-31;1,2;7,7;,4;31,8;24,9;21,7;null;88;0;
2015-04-01;1,6;,8;5;27,5;23,6;22,1;null;90;0;
2015-04-02;1;4,7;0;27,2;22,4;18,5;null;71;0;
2015-04-03;1,5;7,7;3,1;27;20,4;14,6;null;65;0;
2015-04-04;1,6;9,8;0;27,8;20;14,4;null;76;0;
2015-04-05;1,6;4,3;0;27,9;23;18,1;null;84;0;
2015-04-06;1,5;6;,3;30,4;23,8;21;null;84;0;
2015-04-07;1,8;2,7;6,5;26,2;20,3;16,3;null;82;0;
2015-04-08;2;4,1;0;24,2;18,8;14,1;null;67;0;
2015-04-09;1,1;5,3;0;25,8;19,4;14,7;null;85;0;
2015-04-10;1,3;4,9;1,5;25,7;20,8;16,3;null;75;0;
