Nome: SAO CARLOS
Codigo Estacao: 83726
Latitude: -21.98027777
Longitude: -47.88388888
Altitude: 859.77
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2024-06-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,1;8,1;0;30,5;24,5;20,3;77,3;66;,7;
2015-01-02;2,5;9;5,5;32,8;26;19,7;67,5;52;1;
2015-01-03;3,8;7,3;0;32,8;25,1;21,2;71,3;46;1,7;
2015-01-04;3,7;3,8;8,9;29,5;23,6;19,3;79;60;1;
2015-01-05;3,1;5,1;1,6;31,4;22,9;19,4;76,5;50;1;
2015-01-06;2,6;0;7,8;26;22,8;19,1;79,5;75;,7;
2015-01-07;2,4;5,3;0;30,5;24;19,1;73,8;67;,7;
2015-01-08;3,6;9;3,5;31,6;24;19,5;73,3;48;,7;
2015-01-09;3,2;9,8;19,8;32,8;26,3;19,5;63,3;47;,7;
2015-01-10;4,3;8,7;0;32,4;25,9;21,2;74,3;51;,7;
2015-01-11;3,5;6,8;24;33,6;26,3;21,8;76,3;48;,3;
2015-01-12;4,5;7,7;4,2;33,5;25,7;20,4;67,5;46;,7;
2015-01-13;4,7;10;0;32,8;26,2;20,6;58,8;43;1;
2015-01-14;5,2;3,1;0;33,2;25,4;20,7;65,5;45;,7;
2015-01-15;3,1;10,2;13,4;33,6;26,9;20,7;63;46;2;
2015-01-16;7,5;10,7;0;32,4;26,8;21,6;60,5;46;,7;
2015-01-17;2,7;10,6;2,1;34,6;27,2;21,5;58,5;39;1;
2015-01-18;6,1;9,6;0;35,4;28,7;23;55,5;37;,7;
2015-01-19;6,1;10,9;0;35,6;28,7;23,4;52,5;36;,3;
2015-01-20;7;8,5;0;35;27,8;22,9;48;41;,3;
2015-01-21;5,6;4,5;5,6;32,8;25,9;20;62,5;49;1,3;
2015-01-22;5,3;2,8;1;28,3;22,3;19,9;85,3;64;1;
2015-01-23;3,8;3,2;2,4;28,3;22,4;19,1;79,5;54;1;
2015-01-24;3,7;11,1;0;31,1;23,6;18,5;66,5;45;1;
2015-01-25;3,5;8,2;0;31,1;23,6;18,2;72;54;,7;
2015-01-26;1,4;5,7;6;29,7;21,9;17,7;83;62;1;
2015-01-27;2;4,6;10,6;28,6;23,7;19,2;77;69;,7;
2015-01-28;3;2,8;0;29;24,5;20,9;70,3;58;1;
2015-01-29;2,8;2,8;8;28,9;23,6;19,7;75;59;,3;
2015-01-30;2,8;7,8;0;31,2;24,3;19,7;78;57;,7;
2015-01-31;2,9;7,2;0;31,6;24,2;19,4;77,5;57;,7;
2015-02-01;2,9;8,9;12;33,2;24,9;19,3;69,5;45;1;
2015-02-02;3,3;4,9;11;28,7;22,4;19,3;84;72;3;
2015-02-03;1,8;8,2;33,8;30,5;22,7;17,3;78,8;52;,7;
2015-02-04;2,4;,5;12,6;25,2;20,9;18,3;91;80;,7;
2015-02-05;1;2,1;3,7;27;20,7;18,3;87;71;2,3;
2015-02-06;1,1;5,1;7,1;26,6;21,2;18,5;82,8;71;1;
2015-02-07;1,8;6,9;0;29,2;22,3;17,1;82,5;64;2,3;
2015-02-08;4,1;8,5;0;30,5;22,5;18,5;79,8;53;1,7;
2015-02-09;2,2;4,7;3,8;27,9;22,2;19,5;87,5;67;,3;
2015-02-10;1,8;4;2,4;28,2;22,7;20,3;86;68;,7;
2015-02-11;1,6;6;11,5;29,7;23,5;19;78,3;59;,7;
2015-02-12;2,2;8,1;0;31,3;24,7;19,9;75,3;55;,7;
2015-02-13;3;1,5;0;27,9;24,1;21,4;73,5;64;1;
2015-02-14;2,8;6,8;0;31,6;25,1;20,3;61;48;,7;
2015-02-15;2,1;4,3;0;31,6;22,6;19,5;78,8;51;,3;
2015-02-16;2,9;1,1;5,1;27,5;22,8;18,6;81,3;62;,3;
2015-02-17;2,2;1,3;0;27;21,9;20,2;88,5;76;,3;
2015-02-18;1,7;1,6;24,3;22,5;20,3;18,5;92,5;85;,3;
2015-02-19;,8;3,3;13,6;25,6;21,4;18,6;89,8;79;1;
2015-02-20;1,4;1,2;3,3;27;22,9;19,5;79,8;66;,7;
2015-02-21;2;9,8;0;31,5;25,2;19,9;63,5;48;,7;
2015-02-22;4,3;8,4;0;30,8;24,8;19,9;66;49;1;
2015-02-23;4,2;9,5;0;31,2;24,3;19;71;68;2,5;
2015-02-24;4,5;9,7;0;31,6;24,6;19,1;64,8;48;1,7;
2015-02-25;3,8;9,3;30,2;30,7;22,9;18,7;78;56;1;
