Nome: SAO LOURENCO
Codigo Estacao: 83736
Latitude: -22.12638888
Longitude: -45.04333333
Altitude: 930.65
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,9;10,8;,1;33;25,5;18,8;64,8;43;1,4;
2015-01-02;6,2;7,3;0;33;24,6;18,2;70,5;48;2;
2015-01-03;4,3;3,9;,1;30,4;23,2;19,2;76,3;67;1,6;
2015-01-04;3;4,6;,1;30,8;23,1;17,8;75;66;2,5;
2015-01-05;3,1;1,5;0;27,6;21,6;16,4;83,3;74;1,2;
2015-01-06;1,7;3,5;4;28,6;22,3;17,2;80,5;64;,9;
2015-01-07;2,7;8,6;0;31,6;23,4;16,8;68;46;,6;
2015-01-08;4,1;11,1;0;32,6;24;15,8;62,3;42;1,1;
2015-01-09;5,6;11,3;0;32,8;25,6;16,6;54;40;1,2;
2015-01-10;5,4;10,3;0;34,4;24,6;17,2;67,3;41;1,3;
2015-01-11;4,7;11,4;,6;34,8;26,7;19,4;61;42;1,5;
2015-01-12;5,4;9,2;2,4;34,4;24,5;19;62,8;39;2,1;
2015-01-13;5;10,1;14,2;33,4;24,6;16,4;62,5;40;1;
2015-01-14;4,5;6,7;0;32,2;24,6;18,6;77,8;65;1,2;
2015-01-15;2,9;9,3;0;34,4;25,1;17,4;65,3;45;,6;
2015-01-16;4,7;10;0;33,8;25,2;16,8;61,8;43;,7;
2015-01-17;4,9;11,1;0;34,8;25,7;16,6;56,3;39;1,1;
2015-01-18;6;10,7;0;36,4;26,6;17;52,5;34;1,1;
2015-01-19;6,3;11,1;0;36;26,4;16,4;42;30;1,3;
2015-01-20;6,6;10,1;0;35,4;24,6;15,6;56,8;34;1,2;
2015-01-21;5,9;8,9;0;35,6;23,5;16,6;69,5;32;2,4;
2015-01-22;4,9;6,4;11,3;31,2;22;18,2;82,5;68;2,1;
2015-01-23;2,3;2;18,4;25,6;20,1;16,8;83,3;68;1,1;
2015-01-24;1,6;5,8;2,2;29;19,8;16,4;82,3;46;1,7;
2015-01-25;2,8;8,6;8,3;29,4;22,1;14,4;69;50;1,5;
2015-01-26;3,7;3,8;,8;29,2;21,2;16,8;90,3;70;,8;
2015-01-27;1,3;3,4;4,6;28,6;21,4;17,4;80,3;58;,7;
2015-01-28;2,4;6,2;0;31,2;23,7;17,8;69,3;46;1,5;
2015-01-29;3,6;7,3;0;31,2;23,6;18,6;78;49;1,3;
2015-01-30;2,7;8,5;2;32,2;23,8;17,8;72,3;44;1,7;
2015-01-31;4;6,7;0;31,8;24,4;19,6;75,8;62;1,9;
2015-02-01;3,1;8,4;,4;32,4;24,6;18,6;68;45;1,5;
2015-02-02;4,1;4,7;0;30,4;20,8;16,6;80,8;49;1,1;
