Nome: RESENDE
Codigo Estacao: 83738
Latitude: -22.45111111
Longitude: -44.44472221
Altitude: 439.9
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-02
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,2;11,5;0;36;28,1;20,8;null;66;1,3;
2015-01-02;8,3;8,4;0;36,2;27,6;21,8;null;57;0;
2015-01-03;6,6;9;0;33,4;24,4;20,2;null;65;,7;
2015-01-04;5,5;6,8;37,6;33;24,2;19,4;null;77;0;
2015-01-05;2,9;0;20,2;29,4;23;20,6;null;89;,7;
2015-01-06;2,3;0;42,4;29,4;23,1;20,5;null;82;2,2;
2015-01-07;2,5;null;15,8;32,6;24,4;18,4;null;89;0;
2015-01-08;4,7;null;0;33,2;26,7;19,5;null;65;0;
2015-01-09;7,5;null;0;33,8;27,6;20;null;54;,8;
2015-01-10;8,6;null;0;34,8;28,2;20,2;null;54;2,3;
2015-01-11;9,6;null;0;35,2;28,5;21,8;null;55;1;
2015-01-12;8,9;null;0;37;27,6;21,6;null;61;6,8;
2015-01-13;8,4;null;,2;36;27,7;19,5;null;58;1,8;
2015-01-14;9,9;null;0;34,8;27,5;22,2;null;67;,7;
2015-01-15;6,1;null;0;35,6;28;21,2;null;66;1,5;
2015-01-16;10,5;null;0;35;27,2;21;null;68;1;
2015-01-17;8,5;null;0;36,4;28,4;20,5;null;67;1,8;
2015-01-18;10,4;null;0;37,4;28,7;19,8;null;47;1;
2015-01-19;9,6;null;0;37,6;29;21;null;57;1;
2015-01-20;10,7;null;0;38,2;28,8;21,4;null;59;1,3;
2015-01-21;8,8;null;0;35,6;25,8;21,6;null;61;1,5;
2015-01-22;5,1;null;5,4;31,2;22,6;19;null;78;1,8;
2015-01-23;3;null;13,6;27,8;22,8;18,6;null;93;2,2;
2015-01-24;2,6;null;,7;28,8;22,4;20;null;74;2,3;
2015-01-25;2,7;null;3,5;33,6;23,6;17,6;81;79;0;
2015-01-26;5,2;null;18,4;31,2;23,8;19,6;null;72;,8;
2015-01-27;3,2;null;,6;31;24,9;20,4;null;88;,8;
2015-01-28;3,9;null;0;34,6;25,8;19,8;null;73;2,1;
2015-01-29;5,4;null;,6;35;27,1;20,4;null;77;1;
2015-01-30;5,9;null;0;34,8;25,7;21,6;null;69;,7;
2015-01-31;4,9;null;26,2;30,2;24,9;21,5;null;83;1,7;
2015-02-01;3,2;null;1,5;31,8;24,8;21,8;90;84;,7;
2015-02-02;3;null;13,6;25,2;21,8;20,2;96,5;95;1,1;
2015-02-03;1,2;null;34,6;31,2;22,8;18,8;80,5;47;0;
2015-02-04;1,7;null;5,6;29,6;21,5;18,6;86,3;59;1,1;
