Nome: RIO DE JANEIRO
Codigo Estacao: 83743
Latitude: -22.89555555
Longitude: -43.18472221
Altitude: 37.5
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2017-04-04
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;6,5;null;,3;36,8;31,9;26,6;49,3;42;,9;
2015-01-02;8,2;null;0;37,4;32;27,8;65,3;44;,7;
2015-01-03;9,2;null;0;32,6;29;27,1;72,3;59;,3;
2015-01-04;4,9;null;0;32,8;27,9;25,5;78,3;70;,8;
2015-01-05;3,7;null;2,3;31,4;26;23,6;81,3;68;,6;
2015-01-06;3,2;null;3,5;31,5;27,4;23,5;70,8;66;,2;
2015-01-07;5,5;null;0;34,4;30;24,7;56,5;50;,4;
2015-01-08;7,5;null;0;35,2;30,5;25,6;54,3;43;,4;
2015-01-09;9;null;0;38,5;31,8;25,6;49,5;31;0;
2015-01-10;11;null;0;38,3;32,6;27,9;45,8;36;1,1;
2015-01-11;10,3;null;0;35,9;30,8;26;55;48;0;
2015-01-12;7,2;null;0;37,7;32,3;27,1;54;46;1,7;
2015-01-13;10,1;null;0;34;31,1;28,5;59,5;53;,2;
2015-01-14;7,8;null;0;35,6;30,9;27,2;64;56;,2;
2015-01-15;7,3;null;0;35,1;30,5;27,1;64,8;59;,8;
2015-01-16;7,5;null;0;32,4;29,8;27,2;67,8;66;,2;
2015-01-17;6,4;null;0;35,6;30,4;25,7;63,8;51;,4;
2015-01-18;8,6;null;0;34,5;30,2;25,6;58;63;1,6;
2015-01-19;6,7;null;0;34,6;30,6;27,2;58,5;43;1,3;
2015-01-20;8,2;null;0;34,7;30,8;26,6;57,5;60;0;
2015-01-21;7,6;null;0;34,3;30,1;27,8;66,8;51;,1;
2015-01-22;6,2;null;0;32,4;27,1;24,6;78,8;67;0;
2015-01-23;4;null;4,5;31,8;27,5;23,8;74,3;73;1;
2015-01-24;4,2;null;0;31,8;27,6;24,5;72,8;71;,1;
2015-01-25;4,5;null;0;36,4;29,8;25,1;59;40;0;
2015-01-26;7,3;null;0;34,1;29,5;26,8;66;48;,7;
2015-01-27;6,9;null;0;35,7;29,5;26,1;66,5;56;,6;
2015-01-28;5,8;null;0;34,4;28,4;26,6;74,5;49;1,2;
2015-01-29;5,2;null;0;37,1;31;25,8;61,3;55;,4;
2015-01-30;8;null;0;35;30,2;28,4;73,3;57;,2;
2015-01-31;5,5;null;28,6;31;26,8;24,3;83,5;80;,2;
2015-02-01;4;null;3,4;31;28;25,6;73,5;65;,9;
2015-02-02;4,2;null;21;27,8;25,4;24;83,3;76;,3;
2015-02-03;2,3;null;3,6;31,4;26,1;24;77,3;56;,7;
2015-02-04;4,5;null;11,1;31;26,1;23,5;77,8;66;,7;
2015-02-05;4;null;,5;30,4;26,8;24,2;74,8;62;,6;
2015-02-06;4,4;null;1,9;27,6;26,2;25,4;79,5;78;1,1;
2015-02-07;2,9;null;13,3;30,1;26;22,8;81,3;76;0;
2015-02-08;2,9;null;1,1;30;25,8;24;81,3;76;,8;
2015-02-09;3,2;null;,4;32,5;27,8;23,4;75,5;70;1,4;
2015-02-10;4,7;null;0;37,2;30;25,7;65,5;44;0;
2015-02-11;5,9;null;0;38,1;31,1;25,1;60;46;,9;
2015-02-12;8,4;null;0;38,5;32,2;27,5;59,3;44;1;
2015-02-13;8,6;null;0;36,7;31,5;28,2;61,5;52;1,2;
2015-02-14;7,6;null;0;34,3;30,6;29;71;64;,7;
2015-02-15;6,2;null;0;36,2;27,2;23,4;76,8;60;,8;
2015-02-16;4,5;null;21,4;29;26,3;23,3;78,3;71;,8;
2015-02-17;3,7;null;0;34,8;28,3;26,1;71,5;68;,1;
2015-02-18;4,2;null;1,6;35,1;28,9;25,5;61,8;53;0;
2015-02-19;5,8;null;0;37,5;31,6;27,1;54,8;42;0;
2015-02-20;8,1;null;0;37,4;31,2;27,6;56,8;47;,4;
2015-02-21;8,1;null;0;33,6;29;26,1;61;54;,2;
2015-02-22;7,6;null;0;33,5;28,6;25,7;73,3;62;1,3;
2015-02-23;6,2;null;0;33;29,1;26,5;70;68;,7;
2015-02-24;5,4;null;0;33,2;29,2;25,6;65;58;,3;
2015-02-25;7;null;0;35,2;30;26,1;61,8;57;,2;
2015-02-26;6,1;null;0;32,6;28,8;26,5;68,8;64;0;
2015-02-27;5,9;null;0;34;28,4;25,1;70,5;61;,1;
2015-02-28;6,2;null;0;31,4;27,9;26,5;75,3;63;,4;
2015-03-01;5,3;null;0;29,2;26,8;24,2;66;60;1,9;
2015-03-02;6,5;null;0;29,9;27,1;24,4;65;62;,7;
2015-03-03;6,8;null;0;30,5;27,3;24;70,3;67;,4;
2015-03-04;5,2;null;0;30,5;27,6;24,9;73,8;73;,2;
2015-03-05;4,7;null;0;33,5;28,8;24,7;68,3;61;1,4;
2015-03-06;5,9;null;0;35,7;29,9;25,6;60,5;51;,3;
2015-03-07;7,6;null;0;29,8;25,1;23;83,5;61;,1;
2015-03-08;3,2;null;16,5;30,4;26,1;23,3;77,8;65;,4;
