Nome: LONDRINA
Codigo Estacao: 83766
Latitude: -23.32555554
Longitude: -51.14166666
Altitude: 566
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4;9,7;15,8;33,2;25,9;21;72;56;,3;
2015-01-02;4,5;11,2;,8;34,2;27,5;21,4;68,3;55;1,3;
2015-01-03;4,1;7,8;0;33,6;25,9;22;75,8;61;,7;
2015-01-04;3,5;,3;,8;25,6;21,8;20,2;94,3;82;0;
2015-01-05;1,6;10,9;42;32,2;25,4;19,2;72;52;,7;
2015-01-06;3,1;1,9;8,6;29;25;20,8;76,3;68;,7;
2015-01-07;3,2;3,2;0;33;24,9;22;78,5;54;1;
2015-01-08;3,5;4,3;0;31,8;24,2;21;81,3;60;,3;
2015-01-09;2;6,3;21,8;33,6;25,8;21;74,8;50;,3;
2015-01-10;3,8;8,2;0;34;27,7;21,8;66,3;56;,3;
2015-01-11;4;9,2;5,6;35,6;26,7;21,6;65,3;49;,3;
2015-01-12;4,2;11,5;7,2;35,8;28,1;20,8;64,5;41;,7;
2015-01-13;4,2;11,8;0;35,2;28,1;23,2;63,3;52;1,3;
2015-01-14;5,4;2,4;6,8;29,2;24,2;21;75;62;1,3;
2015-01-15;3,7;11,9;8,6;36,2;27,8;20,4;61,8;43;,7;
2015-01-16;4,6;11,3;0;34,6;28,7;22,8;65,5;51;1,3;
2015-01-17;4,1;10,7;0;36,4;29,5;23,8;57,5;33;,3;
2015-01-18;4,7;6,2;0;36,4;29;23,4;62,5;54;,7;
2015-01-19;3,9;8,2;0;36,2;28,1;22,4;64,8;50;,7;
2015-01-20;4,3;9,6;0;36,6;27;22,4;65;40;,7;
2015-01-21;4,5;11,9;2,4;35,2;27,1;20,8;65,3;44;,7;
2015-01-22;4,2;9,7;0;32,2;25,8;21;64,8;54;1,7;
2015-01-23;4;11,1;0;31,6;25,2;18,8;66;50;,7;
2015-01-24;4,1;11,2;0;32,6;25,5;19,2;66;44;,7;
2015-01-25;4,7;9,1;7,2;33,4;25,9;20,8;66;49;2,3;
2015-01-26;4,5;3,3;11,6;30,6;23,3;20,8;84,5;62;,3;
2015-01-27;2,1;2,5;45,6;29,4;24,3;20,8;80,5;69;,7;
2015-01-28;1,7;4,4;17,4;30;22,6;20,8;89;64;,3;
2015-01-29;1,9;3,2;31,6;28,8;23;20,4;92,5;87;,3;
2015-01-30;1,5;3;3,4;29,4;23,4;20,6;86,5;67;,3;
2015-01-31;2,9;8,9;,4;31,2;24,3;19,2;77,3;63;,7;
2015-02-01;2,9;7,1;,6;32,4;24,9;20;76,5;61;,7;
2015-02-02;3,3;7,4;0;31,2;25,3;20,8;74,3;66;1,3;
2015-02-03;3,1;9,4;0;33,4;24,2;19,6;76;56;,7;
2015-02-04;2,8;3;4,8;28,8;23,5;20,2;84,3;64;,3;
2015-02-05;2,5;7,2;2,4;32,2;23,9;20,4;76,3;57;,7;
2015-02-06;3;10,4;0;31;24,4;18,8;69,5;56;,7;
2015-02-07;2,9;8,7;0;30,6;23,7;18,2;77,3;55;,7;
2015-02-08;2,9;11,1;23,6;33;25,7;18,8;62,8;45;,7;
2015-02-09;3,1;8,1;0;31,8;25,8;21,6;75,3;59;1,3;
2015-02-10;3,3;3,9;1,4;31,4;23,9;21,2;84;62;,3;
2015-02-11;1,9;5,7;1,2;31,2;25,2;21;78,8;65;1,7;
2015-02-12;2,9;6;,4;31,8;25,8;23,2;81,8;67;,7;
2015-02-13;2,2;5,3;,4;30,4;24,2;21,4;86,5;75;,3;
2015-02-14;1,8;,9;16,8;28,2;24,2;20,6;83;68;0;
2015-02-15;2;0;3,8;25,4;21,8;20,2;93;85;,3;
2015-02-16;,8;1,8;23,4;27,2;21,9;18,4;93;88;0;
2015-02-17;,4;0;10,8;23,6;21,1;19;96,5;93;0;
2015-02-18;,8;4,2;25,8;28,4;23,2;20,6;90,8;71;,7;
2015-02-19;1,2;1,5;22,2;28;22,2;20,4;92,3;75;,7;
2015-02-20;,1;2,4;28,2;27,4;23,1;20,4;92,3;75;0;
2015-02-21;1,1;9,9;8;32,4;25,8;21,2;77;53;,3;
2015-02-22;2,9;11;0;33,4;26;21,4;69,3;49;,7;
2015-02-23;3,1;7,7;0;33,2;25,7;20,8;69,8;51;,3;
2015-02-24;2,9;4,4;0;31,4;23,5;20,8;84,5;69;,3;
2015-02-25;2,7;3,9;5,2;30,6;22,9;19,2;82,3;62;,3;
2015-02-26;2,5;7,4;2,4;32;23,4;18,6;87;81;1,3;
2015-02-27;2,5;5,4;5,2;31;24,2;20,4;82,3;72;1;
2015-02-28;2,2;10,2;,8;31,2;24,4;19,6;74,5;63;,3;
2015-03-01;2,7;9,8;0;30,6;24;19,2;67,5;55;1,3;
2015-03-02;3;8,2;0;32,6;24,4;18,6;73;57;,7;
2015-03-03;3;10,6;0;33,2;25,8;19;68,3;51;,7;
2015-03-04;3,1;7,4;0;32,4;25,2;21;73,3;53;,7;
2015-03-05;3;6,6;0;32,4;24,6;22,2;83,3;54;1;
2015-03-06;3,1;2,9;23,6;30,8;24,9;21,6;82,8;68;0;
2015-03-07;2,9;2,5;,8;29,6;24;22,2;93,3;85;0;
2015-03-08;1,3;1,1;13,6;27,4;23,2;20,8;89,3;75;0;
2015-03-09;1,5;1,4;2,2;24,6;21,2;20,2;94,5;93;0;
2015-03-10;1,3;6,8;16,6;30,6;23,4;19,2;87,5;75;,7;
2015-03-11;1,7;6,6;3,6;30;23;18,8;89,8;86;,3;
2015-03-12;2;6,5;9,8;30,6;22,2;18;79;61;1,7;
2015-03-13;2,2;9,1;0;31,6;24,6;18;68,8;49;,7;
2015-03-14;2,7;6,2;,8;28,4;22,5;20,2;89,8;72;1;
2015-03-15;1,9;7,7;1,2;31,8;23,3;17,8;76;52;,7;
2015-03-16;2,9;7,7;0;31,2;24,5;19,4;73,5;55;,7;
2015-03-17;3;8,5;0;31,6;24,9;20,2;73;54;,7;
2015-03-18;2,9;9,9;0;32,4;23,9;20,6;75;53;1,7;
2015-03-19;3,1;1,2;,4;25,6;22;20;79;72;1,3;
2015-03-20;2,7;1,3;1,4;27,4;21,9;19,4;86,8;67;0;
2015-03-21;2,2;2,8;4;30;22,7;19,8;84,5;63;,3;
2015-03-22;2,3;7,1;7,6;30,4;23,2;17,8;75;57;,7;
2015-03-23;1,8;9,1;0;30,6;23,1;18;71,8;52;,7;
2015-03-24;3;10,9;0;31;22,8;17,4;68;45;,7;
2015-03-25;3,6;10,8;0;31,2;22,5;16,2;67,8;42;,3;
2015-03-26;3,8;5,4;0;32,6;24,4;17,8;66,3;50;,7;
2015-03-27;3,3;6,5;1,6;31,4;25;20;68,5;45;1;
2015-03-28;3,2;5,9;0;31,2;24,5;21,4;75;50;,3;
2015-03-29;3,3;2,7;2;29,6;23,5;21,4;88;70;,3;
2015-03-30;1;7,6;22,8;29,6;24,2;21;87,5;80;,3;
2015-03-31;1,5;10,3;,4;31,8;24,3;18,6;65,8;46;0;
2015-04-01;4,2;11;0;32,6;24,1;18,4;65,8;52;,7;
2015-04-02;3,7;10,3;0;31,6;23,8;18,2;70,8;51;,7;
2015-04-03;4;10,9;0;31,8;23,2;17,2;68,5;49;,7;
2015-04-04;3,3;7,7;0;30;23,2;17,8;65,8;52;,3;
2015-04-05;3,1;5,1;10,8;28,6;23,7;18,4;79,5;65;1;
2015-04-06;3,1;8,3;1,6;28,6;21,9;18,2;75,3;62;1;
2015-04-07;2,7;10;0;25,6;20,4;16;70,3;57;1;
2015-04-08;2,9;10,6;0;27,8;20,3;14;74,5;54;1,3;
2015-04-09;2,7;9,5;0;30;22,4;15,6;69,5;53;,7;
2015-04-10;2,9;9,2;0;30,4;23,2;17,2;68,3;50;0;
2015-04-11;3,2;10,2;0;31,6;23,4;17,2;68,8;52;0;
2015-04-12;2,8;8,9;0;32,6;24,7;19,4;70;49;,7;
2015-04-13;3,1;10,4;0;31,2;23,1;17,8;66,3;47;,7;
2015-04-14;3,3;6,7;0;29,4;23,2;18,8;71,8;54;,3;
2015-04-15;2,9;6,7;9,6;30,4;23,8;18,8;78;60;,7;
2015-04-16;2,8;4,7;0;29,6;23,8;20,2;87,3;80;,7;
2015-04-17;2;9;9,2;29,8;23,6;18,4;73,3;57;,7;
2015-04-18;2,9;,7;,2;27,2;22,6;20,2;86,3;79;,7;
2015-04-19;2,2;7,2;3,4;30,8;24,5;20,6;82;65;,3;
2015-04-20;2,7;7,6;0;31,4;25,8;21;74,8;61;,3;
2015-04-21;2,7;5,8;0;30,4;24,8;21,6;89;71;,7;
2015-04-22;1,8;,8;30,2;24,8;21,4;19,8;93;89;,7;
2015-04-23;1,5;6,4;5,2;30;23,3;20;83,3;67;,7;
2015-04-24;1,8;9,5;0;31;23,3;18,4;76,8;54;,3;
2015-04-25;2,5;10,4;0;29,8;22,2;17,6;74,8;52;,7;
2015-04-26;2,4;9,9;0;27,6;19,6;14;75,5;58;,7;
2015-04-27;2,3;10,2;0;28,8;20,6;14,6;74,3;49;,7;
2015-04-28;2,7;9,8;0;29,4;20,8;15,2;71,5;42;,3;
2015-04-29;3,1;9,3;0;27;20,3;15,6;73,3;55;,7;
2015-04-30;2,7;10,3;0;26,6;19,3;13,8;73;53;,3;
2015-05-01;3;10,3;0;28,2;19,5;13,2;72,5;50;,3;
2015-05-02;3,1;10,1;0;27,8;20;13,8;75,3;52;,7;
2015-05-03;2,8;3,2;0;28,6;21,7;15,4;75,8;57;1,7;
2015-05-04;2,7;4,9;71;26,2;20,3;16,8;85,3;69;0;
2015-05-05;2,5;3;0;24,8;19,1;15,4;90;78;1;
2015-05-06;1,8;7,7;0;27;19,9;15;81,8;63;1,3;
2015-05-07;2,5;9,9;0;28,2;20,3;14,8;74;54;1,7;
2015-05-08;2,4;5,5;0;22,4;17,4;13,2;74;62;1,7;
2015-05-09;2,3;8,3;0;26,8;19,1;11,8;78;55;,3;
2015-05-10;2,7;0;2,8;21,6;17,6;14,4;96;84;,3;
2015-05-11;,8;8,6;32,6;24,8;18;14,6;76,8;55;,7;
2015-05-12;2,5;8,8;0;24,6;17,3;12;81,8;58;,7;
2015-05-13;2,5;8,2;0;24,2;18,4;14;74;57;1;
2015-05-14;2,6;7,4;0;25,4;18,2;12;78,5;61;1,7;
2015-05-15;2,8;1,3;0;23,8;18,8;15,2;85;71;1;
2015-05-16;1,9;3,5;0;24,4;18,4;13,8;78,8;66;1;
2015-05-17;2,5;2,2;0;25,2;18,7;14,4;82,3;64;,7;
2015-05-18;1,9;0;,6;21,4;18,5;15,2;90,3;87;0;
2015-05-19;1,7;8,1;,8;26,6;19,8;16;80;60;,7;
2015-05-20;2,5;7,2;0;25,4;19,2;15,8;83,3;59;,7;
2015-05-21;2,7;9,2;0;26,4;20,3;16;80;60;,7;
2015-05-22;2,8;9,5;0;27,4;21,2;16;81,3;61;,7;
2015-05-23;2,7;9,5;0;27,6;20,9;16;80,3;59;,3;
2015-05-24;2,9;5,6;0;28,4;22,1;17,4;82,8;61;,3;
2015-05-25;2,8;7,7;1;30;22,7;18,4;85,3;62;1,3;
2015-05-26;2,7;8,9;0;29,4;23,6;19,4;80,5;62;,3;
2015-05-27;2,8;3;0;26,8;20,8;18,8;81;54;,7;
2015-05-28;2,5;2,3;8;21,4;17,5;16;84,3;69;1;
2015-05-29;2,2;8,6;0;23;15,8;11;73,3;45;,3;
2015-05-30;,9;0;0;15,2;11,9;9,8;96,5;82;,7;
2015-05-31;,9;0;25,4;18,6;15,6;10,6;96,5;92;,3;
2015-06-01;,7;4,9;,4;24,4;18,5;14;85;73;1,7;
2015-06-02;,9;1;0;21,6;17,3;14;84;69;,7;
2015-06-03;1,5;7,2;0;24,4;17,9;13,6;84;65;,3;
2015-06-04;1,7;9,2;0;26,6;18,9;13,8;84;65;,3;
2015-06-05;2;9,5;0;26,8;19,5;13,6;78;60;,3;
2015-06-06;2,1;9,3;0;26,6;19,1;13,8;83,8;62;1;
2015-06-07;2,5;6,5;0;28;21;14,6;77,8;54;,3;
2015-06-08;3;9,6;0;28,2;21,2;16,2;75,8;52;,3;
2015-06-09;2,9;9,3;0;28;20,4;14,8;75,3;52;,3;
2015-06-10;3,1;8,9;0;29;21,8;15,8;69,3;45;1;
2015-06-11;3,3;9,1;0;29,4;22,4;16,2;70,3;51;1,3;
2015-06-12;2,8;2;0;25,2;21,7;17,2;82,3;68;0;
2015-06-13;2,1;9,4;0;27,8;20,9;15,6;77,5;52;1;
2015-06-14;2,9;7,8;0;29,2;22,3;16;69;48;2,3;
2015-06-15;3,3;0;7,6;23,6;15,5;13;86,5;70;1;
2015-06-16;1,4;7,9;,4;20,2;13;5,8;74,8;48;,3;
2015-06-17;2,9;5,4;0;26,4;18,3;12,8;81,8;63;,3;
2015-06-18;2,7;7,5;0;27,2;19,4;15,6;81,3;63;1,3;
2015-06-19;2,8;4,6;0;20,4;16,2;15;78,5;70;2,3;
2015-06-20;2,7;9,5;0;23,6;15,5;9,4;82,8;60;,7;
2015-06-21;2,9;9;0;25;17,1;9,2;82,8;62;,3;
2015-06-22;2,8;9,3;0;26,4;18,3;11,2;78,3;52;,7;
2015-06-23;3,1;7,2;0;27,4;19,1;13,8;75,8;52;,3;
2015-06-24;3;7,6;0;22,4;16,8;14,6;79,5;61;1,7;
2015-06-25;2,8;8,6;0;23,4;15,6;11;77;58;1;
2015-06-26;2,5;9,5;0;23,6;16,4;11,2;78,5;55;1;
2015-06-27;2,6;8,8;0;23,4;15,5;10,4;81,3;56;,7;
2015-06-28;2,9;9,4;0;23,2;15,4;10,4;79,5;53;,7;
2015-06-29;3;9,2;0;25,4;17,2;10,2;74,3;55;1,1;
2015-06-30;2,9;5,9;0;25,2;16,6;11,8;87,5;61;,7;
2015-07-01;2;0;15,2;19,8;16,8;12,8;94;86;,3;
2015-07-02;1,7;0;1,2;17,6;15,8;14;97,5;96;,3;
2015-07-03;1,8;0;92,4;16;15,4;14,8;97,5;96;0;
2015-07-04;,4;,4;70,4;20;15,4;13,6;87;78;1;
2015-07-05;1,4;2,7;0;17,4;12,8;10,6;83,5;65;3;
2015-07-06;2,1;3,5;0;21,8;16;10,4;90,5;78;1,3;
2015-07-07;1,7;0;14,4;19,6;17,6;14,2;97,8;94;,3;
2015-07-08;,4;2,2;43,6;20,2;16,9;15,2;87,8;81;,7;
2015-07-09;1;9,3;,6;22,6;16,4;13,2;81,5;59;1;
2015-07-10;1,6;6,4;0;25,2;16,6;12;87,8;70;,3;
2015-07-11;1,7;0;69;19,6;16,8;15;94,8;83;0;
2015-07-12;1;4,9;3,2;22,6;17,4;15,6;92;78;1;
2015-07-13;1,3;7,6;,6;28,8;20,8;14,4;76;60;,3;
2015-07-14;2,5;7,7;0;29,6;21,9;15,6;74,5;53;2,3;
2015-07-15;2,5;,1;12,4;23,2;19,1;17;91;78;,7;
2015-07-16;1,8;,8;2;23,2;19,5;17;92,5;84;,3;
2015-07-17;2;5,5;1,8;23,8;18;15;90,3;81;1;
2015-07-18;1,7;9,6;18,4;27,8;19,5;13,8;79;58;,7;
2015-07-19;2,6;9,5;0;27,4;19,8;14;75;52;1;
2015-07-20;2,8;6;0;27;20;13,8;74,8;58;,3;
2015-07-21;3;9,7;,6;25,4;18,8;16,2;73,8;55;1;
2015-07-22;3,3;8,7;0;23;16,6;13,6;79,5;65;2;
2015-07-23;2,9;2,4;0;22,2;16,3;12,2;87,8;70;,3;
2015-07-24;2,5;2,4;,2;23,2;18,1;13,2;90;75;0;
2015-07-25;2,1;9,6;0;25,6;17,7;14;76,3;52;,7;
2015-07-26;2,3;9,8;0;23,6;16,8;10,4;75,8;55;,7;
2015-07-27;2,7;9,9;0;26;16,5;9,6;74,8;50;,3;
