Nome: MARINGA
Codigo Estacao: 83767
Latitude: -23.40527777
Longitude: -51.93277777
Altitude: 542
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3;8,4;1,8;33,1;26,4;23,1;71,3;52;1,7;
2015-01-02;3,5;8,7;4,8;31,8;26,5;22,3;77;71;1,3;
2015-01-03;3,4;10,5;4,2;32,5;27,7;22,3;69,3;55;,7;
2015-01-04;4,1;,3;0;28,2;23;19,8;94,5;75;1;
2015-01-05;,9;10,2;92,1;31,7;25,9;19,3;75,3;56;,3;
2015-01-06;3,6;11,7;0;30,7;25,9;21,3;71;55;1,3;
2015-01-07;4,1;4,9;,2;31,5;25,4;22;76;61;1,3;
2015-01-08;2,9;4,4;2,7;31,7;25,3;22,2;86,5;77;1,3;
2015-01-09;2,1;4;10;31,7;26,1;21;75,5;62;,7;
2015-01-10;3;8,6;0;32,9;28;23,1;71;71;1;
2015-01-11;4,1;10,8;1,6;34;26,6;21,6;67;60;1,7;
2015-01-12;4,8;4,5;1,8;34,4;27,4;21,4;72,5;60;,7;
2015-01-13;4,4;11,5;0;35,2;29,3;23,5;64,5;55;1;
2015-01-14;4,4;1,9;17;29,9;23,9;19,2;79,5;63;1;
2015-01-15;3;12;0;32,9;27,4;20;59,5;49;1,3;
2015-01-16;6,2;11,3;0;33,6;28,5;23,1;63,5;50;,7;
2015-01-17;4,4;11,2;0;35,9;30;23,9;59,3;44;,7;
2015-01-18;6,4;11,2;0;35,8;26,9;22,4;69,8;47;2,3;
2015-01-19;5;11,1;8,4;35,2;28,9;21,8;62,3;48;,7;
2015-01-20;5,2;6,9;0;34,4;27,5;24,1;63,3;40;1;
2015-01-21;5,4;11,7;1,2;32,5;27,4;20,9;64,5;58;1,3;
2015-01-22;6,2;10;0;31,1;26;21,8;66;55;2;
2015-01-23;5;10;2;30,7;25,5;20;63,3;55;1;
2015-01-24;5,1;11,8;0;32,9;26,7;20,6;61;50;1,3;
2015-01-25;5,4;10,2;0;32,9;26,1;23,1;63,3;53;2,3;
2015-01-26;4,8;5,1;19,8;29,9;23,3;19,5;84,8;67;,7;
2015-01-27;1,8;3,1;6,3;29,1;22,7;20;90,8;71;,7;
2015-01-28;1,5;3,5;17,8;29;23,2;20,8;89;70;1;
2015-01-29;1,3;,6;11,8;26,1;22,3;20,5;94,8;91;2;
2015-01-30;,7;6,1;20,2;28,7;24,5;20,4;90,3;82;1;
2015-01-31;2,5;9,8;12,3;32,1;25,4;20,6;71,8;60;1,3;
2015-02-01;3,5;9,6;0;31,5;25,3;21,2;77;61;1;
2015-02-02;3;7,5;1,6;31,3;25,3;21,2;71;67;1,3;
2015-02-03;3,4;9,4;0;33,1;24,7;21;77,5;52;1,3;
2015-02-04;3;5,2;21;28,8;24,1;20,8;82,5;61;1,3;
2015-02-05;2,2;9,2;1,2;30,6;23,2;20,6;83,8;63;1;
2015-02-06;2,9;11;5;30,5;24,3;18,8;67,5;53;,7;
2015-02-07;3,7;9,6;0;30,8;25,1;19,8;69,5;62;1,3;
2015-02-08;3,9;10,4;,1;33,4;27,1;21,2;58,5;44;1,7;
2015-02-09;5,2;10,4;0;32,9;26,7;22,2;73,5;55;1;
2015-02-10;3,2;4,7;0;31;25,4;22;80,8;71;1,3;
2015-02-11;5,5;8,6;7,4;33,6;26,2;22,4;83;56;,3;
2015-02-12;1,9;9,5;28,8;32,5;27,3;22;71,3;58;1,3;
2015-02-13;3,5;5,4;0;32,8;24,7;21;83;60;1,7;
2015-02-14;2;,7;14,8;28,3;23,3;20,8;91;80;,3;
2015-02-15;1;1,1;19,8;25,1;22,4;20,6;94,3;90;1;
2015-02-16;1,2;2,6;9,4;26,5;23;19,6;84,3;79;1,3;
2015-02-17;1,6;0;2,4;23,6;21,5;20,6;97,8;88;1;
2015-02-18;,4;7,6;35,9;28,3;23,7;20,5;88;73;1,7;
2015-02-19;1,2;1,7;5;26,9;22,1;20,4;97;92;,3;
2015-02-20;,6;2,1;27,7;27,9;23,8;19,9;90,3;80;1;
2015-02-21;1,3;9,8;6,6;32,1;26,7;22,4;72,3;55;1,3;
2015-02-22;4,1;10,9;0;34;28,1;23,3;59,3;45;1,3;
2015-02-23;5,6;8,3;0;34;27,8;22,6;57,5;42;2,3;
2015-02-24;3,4;5,2;0;32,3;24,2;20,3;71;51;1,3;
2015-02-25;3,7;8,3;5,4;32,3;25;19,7;66;53;1;
2015-02-26;4,2;6,6;0;30,3;25,6;21;76,8;68;,7;
2015-02-27;2,6;6,2;0;31,5;24,2;20,8;88,8;78;1;
2015-02-28;2,1;8,9;22,2;31,5;25,9;19,4;67,8;54;2,3;
2015-03-01;4,8;11,4;0;30,5;25,2;20,5;63,3;50;2;
2015-03-02;5,2;6,7;0;30,5;25,5;20,6;66;55;1;
2015-03-03;4,6;8;0;31,9;25,5;22,4;76,5;55;1,3;
2015-03-04;3,5;5,3;19,2;31,1;24,9;21,4;83,8;65;,7;
2015-03-05;2,1;8,7;23;32,9;25,3;22;76,5;53;1,7;
2015-03-06;2,4;2,6;1,2;28,5;24,6;21,4;86,5;85;,7;
2015-03-07;1,4;2,3;8,5;27,1;24,3;22,5;91,3;78;,7;
2015-03-08;1,4;2,6;31,3;28,3;23,6;21,4;87,8;77;1,3;
2015-03-09;1,4;6,6;73,7;28,9;22,7;19,6;86,3;67;1;
2015-03-10;1,9;10,2;37,4;30,5;24,9;19,8;69;52;,7;
2015-03-11;3,6;7,3;0;28,9;23,2;20;89;70;1;
2015-03-12;1,7;8,4;36,3;31,8;23;17,4;70,8;57;1,7;
2015-03-13;3,2;11;25,4;31,1;24,3;18,4;64,3;49;,7;
2015-03-14;3,5;9,4;0;32,5;24,4;19,6;71,8;53;1,3;
2015-03-15;3,5;6,9;0;30,1;24;19,4;88,3;74;1;
2015-03-16;1,5;8,8;19,8;32,5;25,7;20,2;69,3;48;,7;
2015-03-17;4,1;8,9;0;32,3;25,9;21;63,3;49;1,3;
2015-03-18;4,6;10,4;0;31,5;25,9;20,8;63,5;51;1,7;
2015-03-19;4,6;1,1;0;26,8;22,8;20,5;80,5;65;1,7;
2015-03-20;2,4;7,9;,5;29,5;23,7;20,2;74,8;59;1,3;
2015-03-21;2,8;4,4;,4;29,8;23,4;19,6;73,8;59;1,3;
2015-03-22;3,5;10,6;0;31,3;25;18,6;62;57;1,3;
2015-03-23;5,1;11,1;0;31,5;24,6;18,9;63,8;47;1,3;
2015-03-24;5,3;11,2;0;31,2;24,8;19,8;56,3;42;1,7;
2015-03-25;5,7;11;0;32,1;24,8;18,8;54,3;36;1;
2015-03-26;5,8;6,3;0;32,9;26,3;19,8;53,8;38;1,3;
2015-03-27;4,7;6,3;1,5;29,9;24,5;20,6;74,3;54;,3;
2015-03-28;3,3;4,1;0;30,3;24,3;21,8;86,8;76;,7;
2015-03-29;1,6;2,5;18;27,9;24;21,4;87;87;,3;
2015-03-30;1,6;7;6,4;28,7;23,5;20,2;82;67;,7;
2015-03-31;2,3;9,7;4,6;30,7;24,3;18,4;60,8;49;,7;
2015-04-01;6;8,6;0;31,3;23,7;19;54,8;35;,7;
2015-04-02;5,4;9,7;0;31,9;25,5;20;63,3;50;2;
2015-04-03;5,1;9,8;0;31,3;24,9;19,7;57;46;1;
2015-04-04;5,6;7,1;0;30,7;24,8;20,6;60,8;49;1,3;
