Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,4;10,8;0;32,5;27,3;23,9;58,8;48;3,1;
2015-01-02;3,3;6,7;0;33,5;27;24,5;61,5;44;3,1;
2015-01-03;3;3,7;0;29,9;24,8;22,4;78,8;70;4,1;
2015-01-04;2;,7;1,2;28,6;24;21,5;73;59;2,3;
2015-01-05;2,8;2,9;0;28,3;23,8;21;80,5;72;3,1;
2015-01-06;2;4,9;12,2;30,5;23,8;20,1;70;47;2,1;
2015-01-07;2,7;8,9;0;33,7;24;19,5;73,5;40;3;
2015-01-08;3,3;10,6;48,6;32,8;24,9;19,5;65,8;45;,8;
2015-01-09;2,5;11,1;4,4;34;28,2;21,9;59;42;2;
2015-01-10;3,5;9,7;0;34,2;26,8;22,1;62;35;2,2;
2015-01-11;3,1;10;3,4;34,8;27,6;22,2;67,3;42;2,6;
2015-01-12;2,7;7,8;0;35,4;26;21,4;61,5;37;1,4;
2015-01-13;2,9;10,8;,8;34,8;25,5;21,2;58,3;33;2,1;
2015-01-14;2,6;5;1,6;34;26;21,3;66,3;51;2,1;
2015-01-15;2,9;6,1;3;32,8;25,9;21,5;72,8;58;3,3;
2015-01-16;3;6,8;2;32,7;26,5;22,3;70,3;46;1;
2015-01-17;4,5;11,5;0;35,8;28,9;22;51,8;34;1,5;
2015-01-18;7,9;7,1;0;35,6;28,3;23,4;63,5;41;1,7;
2015-01-19;5,6;9,4;3,7;36,5;28,2;22,7;56;28;2,4;
2015-01-20;6,8;8,4;,6;35,6;27,7;23,3;60,5;32;,8;
2015-01-21;2;,1;0;30,9;25,3;22,7;72,3;57;3,4;
2015-01-22;2,2;1,3;31;26,1;21,7;19,2;78,3;62;3,6;
2015-01-23;2,8;2,3;3,6;26,1;21;18,5;80,8;69;2,6;
2015-01-24;2,7;7,6;13;29,4;23,1;19;77,5;62;2,6;
2015-01-25;3,7;10,7;0;30;24,4;18,1;63;45;3,3;
2015-01-26;5,6;2,7;20,8;28,7;22,4;18,9;74,5;58;1;
2015-01-27;3,9;3,7;1,2;28,7;23,6;20,5;80;71;1;
2015-01-28;3,6;7,8;4,9;29,9;25,7;20,1;62,8;57;2,4;
2015-01-29;5,7;6;0;29,2;25;21,5;66;53;4,1;
2015-01-30;6,3;1,7;0;26,9;22,8;20,9;82,8;69;3,6;
2015-01-31;2,9;0;,2;24,3;21,6;18,5;83,5;78;3,1;
2015-02-01;2,1;5,2;0;28;24,2;20,6;80,3;66;3,1;
2015-02-02;2,3;1,1;4,5;26,5;22,5;20,7;85,8;80;2,3;
2015-02-03;2,2;8,4;1,6;31,1;23,2;18;70,3;40;1,2;
2015-02-04;3,5;,2;3,2;23,7;22,1;19,9;76,3;74;1,3;
2015-02-05;2;,4;5,6;22,9;20,3;19,1;87,3;76;2;
2015-02-06;1,4;3,8;18,4;25,4;21,1;17,9;88,5;75;1,8;
2015-02-07;2,6;8,2;16,7;28,7;21,9;17,3;71,8;49;1,6;
2015-02-08;2,8;6,8;10,4;29,5;22,8;17,1;75;65;2;
2015-02-09;2,5;8,2;0;30,7;24;19,3;75,8;53;1,8;
2015-02-10;4,2;4,9;32,2;29;23,9;20,1;80,5;67;2,8;
2015-02-11;3;10,4;2,2;30,4;25,4;19,9;69,5;57;1,5;
2015-02-12;5,3;11,1;0;32,7;27,7;23,1;59,5;47;2,9;
2015-02-13;4,1;6,5;0;32,1;25,5;22,5;74;61;2,2;
2015-02-14;5,2;7,3;0;31,6;24,3;21,1;73,3;60;2;
2015-02-15;3,2;1,2;17,4;27,6;22,9;20;77,5;70;2,6;
2015-02-16;5,8;2,2;22,7;27,3;21,6;18,8;86;65;1,3;
2015-02-17;2,5;3,7;85,3;28;22,8;19,7;81;60;1,9;
2015-02-18;3;1,7;13,4;26,4;22,2;19,9;79,3;65;2,8;
2015-02-19;2,5;8,3;2,4;28,5;23,9;19,9;71;61;4,7;
2015-02-20;4,2;2,3;0;28,2;24,7;21,7;73,5;56;3,1;
2015-02-21;3,8;9;0;31,1;25,2;21,4;67,5;53;3;
2015-02-22;4,7;10,3;0;30,8;24,4;20,4;66,3;39;3;
2015-02-23;5,3;6,8;0;31,4;25,4;20,7;67,8;45;2,8;
2015-02-24;4;9,1;0;31,9;24,3;20,5;66,8;40;1,8;
2015-02-25;4,5;2,5;2;29,3;22,2;19,3;83;70;1,2;
2015-02-26;2,2;9,1;34,4;30,3;24,1;19,2;67,5;40;1,9;
2015-02-27;6;5,1;,6;31,4;24,6;20,4;63,5;41;2,5;
2015-02-28;6,5;2,9;0;27,7;22,4;19,7;75,8;68;3,6;
2015-03-01;3,2;6,3;3;26,3;21,3;18,2;72,3;58;3,6;
2015-03-02;4,1;9,7;0;29,2;22,2;17,2;67,5;43;3,3;
2015-03-03;4,7;7,2;0;29,5;23,2;19,5;69,8;52;2,5;
2015-03-04;4,5;8,8;0;30,5;23,7;18,9;71,8;56;2,2;
2015-03-05;3,4;9,9;0;31,6;24,4;19,7;63,3;45;1,5;
2015-03-06;6,1;4;0;28,5;22,6;19,4;83,8;68;2;
2015-03-07;2,5;,7;38,2;26,6;21,9;19,4;93,8;86;1,4;
2015-03-08;1,5;,5;69,2;24,4;22,2;19,7;84;77;2,5;
2015-03-09;1,5;,2;77;23,3;21,4;19,7;86;85;2,7;
2015-03-10;1,8;6,4;9,7;26,9;23,1;21,2;83,5;80;2,2;
2015-03-11;4,7;7,4;9,5;28,1;22,9;20,1;81,3;69;2,7;
2015-03-12;3,3;2,2;1,2;26,9;22,3;19,2;77,5;66;1,9;
2015-03-13;2,5;3,4;0;26,6;22,3;20;82,5;70;1,2;
2015-03-14;2;2,3;12,2;27,9;22,9;19,9;79;57;,5;
2015-03-15;2,5;,5;,3;26,8;22,1;19,1;86;77;2,7;
2015-03-16;1,3;1,7;22,4;29,4;21,9;18,6;77;46;,8;
2015-03-17;2,2;1,5;24,2;25,6;21,9;18,6;76,8;65;2,7;
2015-03-18;2,7;0;0;24,1;21,2;19,7;83,3;70;2,9;
2015-03-19;2,3;3,3;3,2;27,1;21,8;19,2;89;80;2,2;
2015-03-20;1,9;4,2;7,4;28,2;21,6;18,9;89,3;81;2,7;
2015-03-21;1,1;,9;14,7;25,3;20,9;18,5;85,3;68;2,2;
2015-03-22;2,5;,8;1,7;22,8;19,7;18,1;94,8;92;2,2;
2015-03-23;1;3,4;19,2;23,3;19,9;17,1;76,3;63;2,7;
2015-03-24;3,7;6,2;0;26,3;21;17,4;73,5;62;3,6;
2015-03-25;3,4;10,4;0;27,9;21,6;17,1;71,8;54;3,1;
2015-03-26;3,4;9,5;0;29,8;23;18,3;68,3;45;1,6;
2015-03-27;5,5;9,2;0;30,8;23,3;18;64;35;,5;
2015-03-28;4,9;7,4;0;29,5;23,3;19,1;71,3;56;2,1;
2015-03-29;4,4;1,2;0;26,6;22,1;20,5;80,3;67;1,9;
2015-03-30;1,5;1,7;18,6;25,9;22,5;19;81,3;74;1,1;
2015-03-31;2,5;8,4;1;29;23,1;20,1;77,8;51;3,1;
2015-04-01;4,7;7,5;0;27,5;22,5;19,2;70,5;58;2,8;
2015-04-02;3,8;9,8;0;26,2;20,9;18,2;68,3;51;2,7;
2015-04-03;4,3;7,8;0;27,2;21;16,3;75,8;63;3,6;
2015-04-04;3,6;8,6;0;29,4;22,4;17,9;73,3;51;2,1;
2015-04-05;3,4;2;0;26,4;22,8;20,1;73,3;60;2,9;
2015-04-06;4;8,5;0;27,7;21,4;18,5;84;64;4,3;
2015-04-07;4,4;1,3;7,1;20;17,4;16,1;82,3;72;2,7;
2015-04-08;3,1;6,3;,4;24,3;18,7;14,7;74,8;56;3,2;
2015-04-09;2,9;6,6;0;25,6;19,4;15,9;78;62;2,5;
2015-04-10;2,9;6,3;0;25,5;20,5;17;74;53;3;
2015-04-11;3,2;8;0;28,4;21,7;17,2;71,8;48;1,7;
2015-04-12;3,5;5,8;0;25,7;19,9;16,8;76,5;55;1,9;
2015-04-13;3;2,7;0;25,7;20,9;18,1;76;63;1,9;
2015-04-14;3;7;0;28,8;21,7;18,4;71,8;47;3;
2015-04-15;3,2;4,9;0;27,4;21,9;18,5;79,8;54;2,2;
2015-04-16;2,8;4,9;25,4;26,7;21,3;18,6;87;85;1,9;
2015-04-17;2;9,1;37,2;27;21,4;18,4;76,5;56;2,6;
2015-04-18;3;7,5;0;29,3;23,4;18,2;72,8;54;2,3;
2015-04-19;3,7;,7;0;27,2;22,5;20,3;84,3;70;1,1;
2015-04-20;1,8;7,6;20,2;29,2;24;19,3;74,5;56;1,8;
2015-04-21;3,6;4,5;0;29;22,5;19,3;87,5;74;3;
2015-04-22;1,9;0;2,4;21,6;20,1;18,9;89,5;88;1,6;
2015-04-23;1,6;2,5;14,6;24,9;21,2;18,6;82,3;70;2,2;
2015-04-24;1,9;9,5;0;28,1;22,5;19,3;75,3;57;2,1;
2015-04-25;2,2;7,7;0;23,3;19,2;17,4;74,8;60;3,6;
2015-04-26;4,6;5,9;,8;23,7;19;16,1;79,3;63;3,4;
2015-04-27;3,1;7,5;0;24,9;19,8;17,5;74,3;53;2,3;
2015-04-28;2,9;5,9;0;26,9;20,3;17,2;74;45;2,5;
2015-04-29;3,6;2,7;0;22,7;18,7;16,8;79;72;3;
2015-04-30;2,6;,1;0;18,7;16,2;14,7;80;77;4,2;
2015-05-01;2,2;4,2;0;22;17,3;13,4;77;66;2,7;
2015-05-02;2,3;7,3;0;26,4;19,3;14,7;83;77;1,6;
2015-05-03;4,5;4,6;0;26,3;21;15,8;69;55;2,1;
2015-05-04;5,5;,6;1;22,3;20;17,9;85,3;69;3;
2015-05-05;1,5;0;9,9;20,8;18,1;16,6;85,5;84;2,9;
2015-05-06;2;,1;0;20,4;17,8;15,9;84,3;77;3;
2015-05-07;2;5,9;0;21,7;17,8;15,8;79,8;73;4;
2015-05-08;2,5;1,1;0;19,2;16,1;13,9;73,5;62;2,9;
2015-05-09;2,5;8,7;0;26,1;18;13,7;75,5;45;1,7;
2015-05-10;2,8;,8;0;21;16,9;13,7;91;84;2,4;
2015-05-11;1,3;,6;22,2;20,6;17,9;15,7;81,5;74;3;
2015-05-12;2,4;5,7;0;21,7;17,1;14,2;80,5;60;3;
2015-05-13;2;,1;2,8;18,9;16,3;14,7;82,8;75;3,2;
2015-05-14;2;2,8;0;21;16,7;14,2;81,8;71;2,8;
2015-05-15;3;2,9;0;21,5;16,8;13,6;79,8;62;3,4;
2015-05-16;1,5;8,5;0;22,3;17,2;13,2;76,8;54;2,2;
