Nome: CAMPO MOURAO
Codigo Estacao: 83783
Latitude: -24.08555555
Longitude: -52.38666666
Altitude: 602.17
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2016-12-21
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,5;null;32,8;null;null;19,3;96;91;4,5;
2015-01-02;2,8;null;19,6;null;null;18,5;91;84;2,6;
2015-01-03;2,4;null;15,7;null;null;19,3;90,3;77;1,2;
2015-01-04;2,5;null;2,4;null;null;18,8;97,5;97;1,7;
2015-01-05;,8;null;37,2;null;null;16,5;91,5;82;1,6;
2015-01-06;3,6;null;11,4;null;null;19,6;88;79;2,3;
2015-01-07;4,1;null;0;null;null;19,3;92;87;2,4;
2015-01-08;2,6;null;8,9;null;null;18,7;90,5;78;1,9;
2015-01-09;3,3;null;53,2;null;null;18,7;91,3;82;1,7;
2015-01-10;3,4;null;0;null;null;20,2;87,5;77;2,4;
2015-01-11;4,5;null;0;null;null;17,5;86;73;2,3;
2015-01-12;4,8;null;9,2;null;null;19,2;87,8;74;1,3;
2015-01-13;3,8;null;0;null;null;21,1;86,5;74;2,2;
2015-01-14;5,2;null;58,5;null;null;18,2;88,5;77;3,4;
2015-01-15;6,6;null;0;null;null;18,8;81,5;72;1,7;
2015-01-16;5,5;null;0;null;null;18,8;87,8;73;2,7;
2015-01-17;5,2;null;0;null;null;19,4;85,8;70;1,4;
2015-01-18;5,5;null;0;null;null;19;82,3;64;2,7;
2015-01-19;6,1;null;0;null;null;16,1;89;84;1,3;
2015-01-20;7,4;null;0;null;null;19;90,5;86;1,3;
2015-01-21;4,3;null;6,1;null;null;15,3;85,3;68;1,8;
2015-01-22;6,5;null;0;null;null;19;87;90;2,9;
2015-01-23;6,3;null;0;null;null;16,5;85,5;73;2,6;
2015-01-24;5,7;null;0;null;null;16,7;78,8;73;3,4;
2015-01-25;5,5;null;0;null;null;16,7;86;72;3,1;
2015-01-26;5,2;null;14,7;null;null;17;91;78;1,6;
2015-01-27;2,5;null;13,2;null;null;17,3;91,3;80;2;
2015-01-28;2,5;null;5,8;null;null;18,7;94,5;87;2,7;
2015-01-29;1,4;null;37,2;null;null;18,6;98;96;2;
2015-01-30;,4;null;41,7;null;null;18,2;93,5;82;1;
2015-01-31;2,4;null;0;null;null;17,5;89,8;78;2,1;
2015-02-01;2,9;null;0;null;null;16,8;87,5;77;3;
2015-02-02;3;null;0;null;null;18,6;88,5;84;3,1;
2015-02-03;2,6;null;2,5;null;null;16,9;88,8;71;1,4;
2015-02-04;3,4;null;101,5;null;null;17;93,8;86;2,2;
2015-02-05;1,8;null;6;null;null;16,9;91,8;76;2,2;
2015-02-06;2,5;null;15,8;null;null;14,9;88;74;1,9;
2015-02-07;4,8;null;0;null;null;14,3;88,5;77;,8;
2015-02-08;4,4;null;0;null;null;15,1;87,3;80;2,7;
2015-02-09;5,3;null;0;null;null;17,1;87,5;78;2,9;
2015-02-10;5,2;null;0;null;null;19,2;93;83;1,8;
2015-02-11;2,1;null;1,5;null;null;19,6;91,8;84;2,9;
2015-02-12;2,8;null;0;null;null;19,4;89;71;3,5;
2015-02-13;5;null;0;null;null;18;94;91;2,5;
2015-02-14;2,5;null;23;null;null;18,2;95,5;89;1,2;
2015-02-15;2,4;null;29;null;null;16,9;95,5;91;4,1;
2015-02-16;1,3;null;7,5;null;null;16,3;94,3;89;3,6;
2015-02-17;1,7;null;1,7;null;null;19,1;98;97;2,4;
2015-02-18;1,1;null;10,3;null;null;18,6;94;84;2,9;
2015-02-19;3,5;null;0;null;null;19,2;95,8;95;3,6;
2015-02-20;1;null;10,9;null;null;16,9;95,5;88;1,1;
2015-02-21;2,9;null;15,7;null;null;20,2;91,8;80;2,7;
2015-02-22;4,1;null;,6;null;null;19,4;87,8;76;2,2;
2015-02-23;6,4;null;0;null;null;19,8;88;80;2,3;
2015-02-24;5,2;null;0;null;null;17,7;91,5;87;3,3;
2015-02-25;3,2;null;7,2;null;null;16,6;90,8;80;1,8;
2015-02-26;4;null;0;null;null;16,4;88,5;74;1,7;
2015-02-27;4,1;null;,7;null;null;17,2;94,8;90;2,8;
2015-02-28;2,9;null;26,3;null;null;16,5;89,5;79;3,7;
2015-03-01;4,7;null;0;null;null;18;87,8;78;3,7;
2015-03-02;6,5;null;0;null;null;17,1;87,5;80;2,9;
2015-03-03;5,5;null;0;null;null;19,7;88,3;78;2,8;
2015-03-04;10,2;null;0;null;null;19,9;88,3;78;2,4;
2015-03-05;4,9;null;0;null;null;18,2;90,5;80;2,4;
2015-03-06;3,8;null;1,4;null;null;19,4;96,5;94;2,2;
2015-03-07;1,3;null;38,5;null;null;18,8;96,3;91;1,8;
2015-03-08;1,5;null;6,3;null;null;18,8;92,3;84;3,1;
2015-03-09;2,8;null;6;null;null;18;94,3;83;1,6;
2015-03-10;2,4;null;8,7;null;null;15,7;87,5;75;1,9;
2015-03-11;3;null;0;null;null;16,1;89,5;76;1,8;
2015-03-12;5,4;null;0;null;null;16,9;92,3;87;2,6;
2015-03-13;3,7;null;6,5;null;null;14,7;87,5;75;1,8;
2015-03-14;4,3;null;0;null;null;16,5;90;77;1,6;
2015-03-15;3,7;null;0;null;null;15,9;90,3;83;1,7;
2015-03-16;3,9;null;,7;null;null;16,6;89,5;89;2,1;
2015-03-17;4,9;null;,8;null;null;18;87,3;77;2,5;
2015-03-18;5,9;null;0;null;null;18,6;85,5;77;3,1;
2015-03-19;7,2;null;0;null;null;18;88,8;82;2,6;
2015-03-20;5,8;null;0;null;null;17,1;90;83;1,9;
