Nome: ANGRA DOS REIS
Codigo Estacao: 83788
Latitude: -23.01583333
Longitude: -44.32972221
Altitude: 17.04
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2017-04-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;,6;35,4;null;24,5;null;null;null;
2015-01-02;null;null;0;37,5;null;24,9;null;null;null;
2015-01-03;null;null;0;30,7;null;25,3;null;null;null;
2015-01-04;null;null;,2;31,2;null;24;null;null;null;
2015-01-05;null;null;6,2;29,1;null;22,7;null;null;null;
2015-01-06;null;null;98,4;30,3;null;22,5;null;null;null;
2015-01-07;null;null;0;32,9;null;23,7;null;null;null;
2015-01-08;null;null;0;33,1;null;24,5;null;null;null;
2015-01-09;null;null;0;34,8;null;24,1;null;null;null;
2015-01-10;null;null;0;34,8;null;24,3;null;null;null;
2015-01-11;null;null;0;33,5;null;25,9;null;null;null;
2015-01-12;null;null;0;34,2;null;25,5;null;null;null;
2015-01-13;null;null;0;33,5;null;24,7;null;null;null;
2015-01-14;null;null;0;31,4;null;26,4;null;null;null;
2015-01-15;null;null;0;33,9;null;25,2;null;null;null;
2015-01-16;null;null;0;32,1;null;25,2;null;null;null;
2015-01-17;null;null;0;33,5;null;24,5;null;null;null;
2015-01-18;null;null;0;34,8;null;23,9;null;null;null;
2015-01-19;null;null;0;32,5;null;23,9;null;null;null;
2015-01-20;null;null;0;33,7;null;25;null;null;null;
2015-01-21;null;null;8,8;31,9;null;25,9;null;null;null;
2015-01-22;null;null;17,4;29,3;null;21,6;null;null;null;
2015-01-23;null;null;44,9;27,7;null;21,1;null;null;null;
2015-01-24;null;null;1;29,5;null;22,5;null;null;null;
2015-01-25;null;null;4,7;32,7;null;20,5;null;null;null;
2015-01-26;null;null;0;31,3;null;23,5;null;null;null;
