Nome: SANTA CRUZ
Codigo Estacao: 83789
Latitude: -22.92194443
Longitude: -43.68694444
Altitude: 63
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2019-12-18
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;12,9;38,1;null;24,6;null;null;null;
2015-01-02;null;null;6;38;null;26,4;null;null;null;
2015-01-03;null;null;0;32,2;null;25,7;null;null;null;
2015-01-04;null;null;0;33,7;null;26;null;null;null;
2015-01-05;null;null;6;31,4;null;23,3;null;null;null;
2015-01-06;null;null;49,8;33,8;null;22,3;null;null;null;
2015-01-07;null;null;0;36,2;null;23,8;null;null;null;
2015-01-08;null;null;0;37,8;null;25,6;null;null;null;
2015-01-09;null;null;0;38,1;null;25,4;null;null;null;
2015-01-10;null;null;0;39;null;28,2;null;null;null;
2015-01-11;null;null;0;38,3;null;25,6;null;null;null;
2015-01-12;null;null;0;38,9;null;26;null;null;null;
2015-01-13;null;null;0;36,3;null;26,7;null;null;null;
2015-01-14;null;null;0;35,4;null;26,7;null;null;null;
2015-01-15;null;null;0;35,2;null;26,2;null;null;null;
2015-01-16;null;null;0;34,3;null;26,8;null;null;null;
2015-01-17;null;null;0;38;null;25,5;null;null;null;
2015-01-18;null;null;0;37,1;null;26;null;null;null;
2015-01-19;null;null;0;36,2;null;25,6;null;null;null;
2015-01-20;null;null;0;36,9;null;25,1;null;null;null;
2015-01-21;null;null;0;36,9;null;27;null;null;null;
2015-01-22;null;null;2;32,1;null;24,4;null;null;null;
2015-01-23;null;null;37,2;30,6;null;20,5;null;null;null;
