Nome: REALENGO
Codigo Estacao: 83801
Latitude: -22.8711111
Longitude: -43.44138888
Altitude: 42
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;12,2;40;null;24,9;null;null;null;
2015-01-02;null;null;0;40,5;null;24,8;null;null;null;
2015-01-03;null;null;0;33,5;null;27;null;null;null;
2015-01-04;null;null;0;35,1;null;26;null;null;null;
2015-01-05;null;null;21,5;32;null;23,8;null;null;null;
2015-01-06;null;null;26;33,6;null;22,8;null;null;null;
2015-01-07;null;null;0;37;null;24;null;null;null;
2015-01-08;null;null;0;38;null;24,2;null;null;null;
2015-01-09;null;null;0;38,5;null;24,8;null;null;null;
2015-01-10;null;null;0;39;null;24;null;null;null;
2015-01-11;null;null;0;38,7;null;24;null;null;null;
2015-01-12;null;null;0;40,1;null;25,5;null;null;null;
2015-01-13;null;null;0;37;null;24;null;null;null;
2015-01-14;null;null;0;36,2;null;26,5;null;null;null;
2015-01-15;null;null;0;37,3;null;26,5;null;null;null;
2015-01-16;null;null;0;34,7;null;25,7;null;null;null;
2015-01-17;null;null;0;39;null;22;null;null;null;
2015-01-18;null;null;0;37,5;null;24,7;null;null;null;
2015-01-19;null;null;0;37,1;null;26;null;null;null;
2015-01-20;null;null;0;38,5;null;25,7;null;null;null;
2015-01-21;null;null;0;37,8;null;26,5;null;null;null;
2015-01-22;null;null;7,4;33,2;null;25,4;null;null;null;
2015-01-23;null;null;22,9;33;null;23;null;null;null;
2015-01-24;null;null;,3;32,8;null;23,3;null;null;null;
2015-01-25;null;null;0;36,6;null;23,5;null;null;null;
2015-01-26;null;null;11,6;35,1;null;24,4;null;null;null;
2015-01-27;null;null;0;38,1;null;24,5;null;null;null;
2015-01-28;null;null;13,5;37,8;null;24,3;null;null;null;
2015-01-29;null;null;12;38,7;null;23,8;null;null;null;
2015-01-30;null;null;0;35,2;null;26,5;null;null;null;
2015-01-31;null;null;15,8;31,2;null;23,4;null;null;null;
2015-02-01;null;null;6,6;32,5;null;24,5;null;null;null;
2015-02-02;null;null;3,9;27,3;null;24,4;null;null;null;
2015-02-03;null;null;6,3;33,6;null;22;null;null;null;
2015-02-04;null;null;,2;32,4;null;22,1;null;null;null;
2015-02-05;null;null;1;30,5;null;22,8;null;null;null;
2015-02-06;null;null;0;29,2;null;23,5;null;null;null;
2015-02-07;null;null;30;31;null;22;null;null;null;
2015-02-08;null;null;,1;32,3;null;22,4;null;null;null;
2015-02-09;null;null;3,9;32,2;null;22,5;null;null;null;
2015-02-10;null;null;1,2;36,3;null;24,2;null;null;null;
2015-02-11;null;null;0;37,3;null;25,4;null;null;null;
2015-02-12;null;null;0;38,8;null;26;null;null;null;
2015-02-13;null;null;0;38;null;26,5;null;null;null;
2015-02-14;null;null;0;34,5;null;26,6;null;null;null;
2015-02-15;null;null;1,3;37,1;null;23,5;null;null;null;
2015-02-16;null;null;57,2;29,5;null;22,2;null;null;null;
2015-02-17;null;null;,2;33,5;null;24,3;null;null;null;
2015-02-18;null;null;10,9;33;null;23,4;null;null;null;
2015-02-19;null;null;0;34,7;null;25;null;null;null;
2015-02-20;null;null;0;36,5;null;25,2;null;null;null;
2015-02-21;null;null;0;34,7;null;24,8;null;null;null;
2015-02-22;null;null;0;33,7;null;25,3;null;null;null;
2015-02-23;null;null;0;34,1;null;25,5;null;null;null;
2015-02-24;null;null;0;34,3;null;24,5;null;null;null;
2015-02-25;null;null;0;34,7;null;24,3;null;null;null;
2015-02-26;null;null;0;34,5;null;24,9;null;null;null;
2015-02-27;null;null;0;35,4;null;24,5;null;null;null;
2015-02-28;null;null;0;31,3;null;25,5;null;null;null;
2015-03-01;null;null;6,4;29,4;null;23,2;null;null;null;
2015-03-02;null;null;0;31,2;null;21,6;null;null;null;
2015-03-03;null;null;0;32,6;null;22,3;null;null;null;
2015-03-04;null;null;0;33,2;null;23,5;null;null;null;
2015-03-05;null;null;0;36;null;23,3;null;null;null;
2015-03-06;null;null;0;36,9;null;24,2;null;null;null;
2015-03-07;null;null;,3;31,2;null;24,5;null;null;null;
2015-03-08;null;null;3,5;32,4;null;23,4;null;null;null;
2015-03-09;null;null;3,4;30,2;null;23,5;null;null;null;
2015-03-10;null;null;5,7;30,1;null;24,6;null;null;null;
2015-03-11;null;null;0;33;null;25,3;null;null;null;
2015-03-12;null;null;6,6;31;null;25,5;null;null;null;
2015-03-13;null;null;0;34;null;24,4;null;null;null;
2015-03-14;null;null;3,8;32;null;22,6;null;null;null;
2015-03-15;null;null;0;34,6;null;24,8;null;null;null;
2015-03-16;null;null;0;36;null;24,4;null;null;null;
2015-03-17;null;null;63;25,6;null;21,1;null;null;null;
2015-03-18;null;null;4;30,8;null;22,4;null;null;null;
2015-03-19;null;null;0;31,8;null;23,3;null;null;null;
2015-03-20;null;null;0;32,2;null;23,4;null;null;null;
2015-03-21;null;null;0;28,9;null;23,3;null;null;null;
2015-03-22;null;null;,2;29,5;null;23,8;null;null;null;
2015-03-23;null;null;91,2;26,7;null;21,8;null;null;null;
2015-03-24;null;null;3,4;29,3;null;22,2;null;null;null;
2015-03-25;null;null;0;29,2;null;21,3;null;null;null;
2015-03-26;null;null;0;33,4;null;20,4;null;null;null;
2015-03-27;null;null;0;29,4;null;23,5;null;null;null;
2015-03-28;null;null;0;30;null;23,5;null;null;null;
