Nome: SANTO ANTONIO DE PADUA
Codigo Estacao: 83805
Latitude: -21.53694444
Longitude: -42.16083333
Altitude: 95
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,5;null;,4;38,2;28,8;21,2;66;43;null;
2015-01-02;5,3;null;0;39,7;29,5;23,2;65,8;54;null;
2015-01-03;5,8;null;0;38,6;29,7;23,4;60;46;null;
2015-01-04;5,2;null;0;35,8;28,4;22,3;63,5;44;null;
2015-01-05;5,7;null;0;36,2;28,1;22,1;66;40;null;
2015-01-06;7,3;null;0;35;27,6;21,6;62,5;42;null;
2015-01-07;5,1;null;0;35,1;28;21,7;57,5;42;null;
2015-01-08;6,2;null;0;35,7;27,1;20;59,5;38;null;
2015-01-09;5,4;null;0;37,5;28,3;20;55,8;28;null;
2015-01-10;6;null;0;37,6;28,5;21,2;53,3;31;null;
2015-01-11;6,4;null;0;38,3;28,7;20,5;56;30;null;
2015-01-12;7,3;null;0;39,2;29,5;21,1;51,3;35;null;
2015-01-13;7,7;null;0;39,6;29,9;22,9;51,5;31;null;
2015-01-14;8,1;null;0;37,9;29,6;22,5;56,5;40;null;
2015-01-15;7;null;0;35,8;28;21;59,3;41;null;
2015-01-16;6,1;null;0;37,5;29;21,7;52,3;38;null;
2015-01-17;7,6;null;0;37,1;28,7;21,3;52,3;35;null;
2015-01-18;6,6;null;0;39,8;29,5;20,9;53;34;null;
2015-01-19;8,1;null;0;39,1;30,5;22,3;50,8;40;null;
2015-01-20;7,7;null;0;39,2;29,8;20,6;48,8;29;null;
2015-01-21;8;null;0;39,4;30,4;21,6;49,8;32;null;
2015-01-22;9,1;null;0;37,8;30,1;25,1;54,3;37;null;
2015-01-23;8,3;null;0;36,1;28,4;22;57,3;40;null;
2015-01-24;7,5;null;0;33,3;26,5;21;80;59;null;
2015-01-25;3,3;null;14,7;34,5;26,5;20;68,5;44;null;
2015-01-26;4,7;null;0;37,4;28,5;21,3;61,5;36;null;
2015-01-27;5,5;null;0;37,9;27,9;22,8;66,8;37;null;
2015-01-28;5,7;null;0;38,1;29,4;22,3;61;40;null;
2015-01-29;6,5;null;0;38,6;30,1;22,4;59;43;null;
2015-01-30;6,9;null;0;39,6;29,8;23,4;59,5;34;null;
2015-01-31;7;null;0;37,5;30,1;24,2;61,5;38;null;
2015-02-01;8,1;null;0;37,1;30,2;23,8;54,5;38;null;
2015-02-02;6,8;null;0;36,4;27,8;22,2;67,3;42;null;
2015-02-03;6,4;null;1,4;39,1;28,8;21,2;59;32;null;
2015-02-04;5,9;null;4,5;34,6;24,7;20,6;80,8;49;null;
2015-02-05;3,4;null;15,2;29,5;24,6;21,2;86,5;70;null;
2015-02-06;1,6;null;12,2;27,3;24,5;22;92,3;88;null;
2015-02-07;1;null;3,7;34;25,7;21,9;75,3;47;null;
2015-02-08;4;null;12,6;32,1;26,1;21,7;83,8;66;null;
2015-02-09;2,2;null;2,1;33,3;27,2;22,1;76,8;56;null;
2015-02-10;2,2;null;2,8;35,4;27,2;22,5;77,3;50;null;
2015-02-11;2,3;null;12,1;35,5;28,1;21,4;65,5;50;null;
2015-02-12;4,4;null;0;36,7;27,5;21,2;71,3;42;null;
2015-02-13;4,6;null;0;37,3;28,9;22,2;65;41;null;
2015-02-14;5,4;null;0;37,6;29,2;23,5;70,5;43;null;
2015-02-15;4,9;null;1,2;35,1;27,9;22,1;65;52;null;
2015-02-16;4,1;null;2,3;34,9;27,4;22,7;78,3;53;null;
2015-02-17;3,6;null;31,8;34,4;27,2;20,9;74;52;null;
2015-02-18;3,2;null;0;33,5;26,1;22,6;76;53;null;
2015-02-19;3,5;null;4,5;34,6;27;21;71,3;47;null;
2015-02-20;3,9;null;0;35,6;27,1;21,1;67,3;42;null;
2015-02-21;5,5;null;0;35,3;27,9;21;60;47;null;
2015-02-22;5,7;null;0;35,7;28,1;21,4;62,5;49;null;
2015-02-23;5,9;null;,7;34,1;27,7;21,5;65;51;null;
2015-02-24;5,2;null;0;35,6;28,1;20,5;58,5;36;null;
2015-02-25;6,1;null;0;34,7;27,4;21,2;70,3;48;null;
2015-02-26;3,5;null;0;37;26,8;22,5;74,5;35;null;
2015-02-27;4,7;null;50,2;34,1;26,3;21,2;78;52;null;
2015-02-28;3,4;null;0;35,5;27,6;21,4;73,3;51;null;
2015-03-01;3,8;null;1,1;32,9;25,9;20,7;62,8;42;null;
2015-03-02;3,8;null;1,1;28,8;24,3;19,8;82,5;63;null;
2015-03-03;2,2;null;,5;33,1;26,7;20,7;69;54;null;
2015-03-04;3,5;null;0;33,6;25,9;21,8;78,5;49;null;
2015-03-05;2,9;null;4,3;33,1;26,8;22;68,8;48;null;
2015-03-06;3,7;null;0;34,5;25,9;20,6;75,5;50;null;
2015-03-07;3,8;null;0;34,9;26,1;21,7;78,8;49;null;
2015-03-08;3,6;null;32,6;29,4;25,1;22,2;84;74;null;
2015-03-09;1,6;null;0;33,6;27,8;22,5;73,5;57;null;
2015-03-10;2,8;null;0;32,7;26,9;23,7;76,3;55;null;
2015-03-11;2,3;null;0;34,5;26,5;22,9;80,3;56;null;
2015-03-12;3;null;16,1;33,7;27,5;22,2;72;57;null;
2015-03-13;2,9;null;0;35;27,1;21,6;75,8;50;null;
2015-03-14;2,9;null;0;35,5;27,9;21,9;70,8;48;null;
2015-03-15;3,2;null;0;32,9;25,7;20,7;80,3;60;null;
2015-03-16;2,5;null;0;34,9;26,4;21,5;70,3;43;null;
2015-03-17;3,7;null;0;33,1;25,3;20,7;76,5;57;null;
2015-03-18;2,9;null;3,6;32,7;25,5;21,2;72,5;49;null;
2015-03-19;3,5;null;0;32,4;25,7;20,6;67;50;null;
2015-03-20;3,1;null;0;33,2;25,9;20,7;72,5;51;null;
2015-03-21;3,5;null;0;29,6;24,5;21,3;89,5;74;null;
2015-03-22;1,6;null;1,9;33,1;25;21,6;87;76;null;
2015-03-23;2,3;null;32,7;26,6;23,2;20,4;84,5;75;null;
2015-03-24;1;null;3,9;31,5;24,9;20,1;79,3;59;null;
2015-03-25;2,5;null;0;32;25,1;19,8;73,3;53;null;
2015-03-26;3,4;null;0;32;24,3;18,5;76,8;52;null;
2015-03-27;2,8;null;0;34;25;19,7;77,8;46;null;
2015-03-28;3,2;null;0;34,2;26,5;19,4;68,5;51;null;
2015-03-29;3,5;null;0;33,3;27,6;22,8;70,5;56;null;
2015-03-30;2,4;null;30,7;30,9;25,6;21,9;86;67;null;
2015-03-31;1,7;null;1,5;34,6;26,7;22,9;78;53;null;
