Nome: IVAI
Codigo Estacao: 83811
Latitude: -25.01083333
Longitude: -50.85361111
Altitude: 808
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1,7;7,3;8;29,8;23,3;18,2;81,8;59;1;
2015-01-02;3;1,4;9,8;27;22,3;19,4;91,3;80;1;
2015-01-03;1,3;4,2;16,1;28,2;22,7;18,8;82,3;56;1;
2015-01-04;1,5;3,6;130,4;26,4;21,9;19,2;86,8;68;1;
2015-01-05;1;9,8;13,2;29,4;23,3;19,2;76;59;1;
2015-01-06;2,4;8,8;0;29,7;22,9;18,8;84,5;70;1;
2015-01-07;2,2;5,4;9,2;29,5;23;19,3;90;81;1;
2015-01-08;1,4;6,5;17,5;30,6;23,7;19,8;77,8;54;1;
2015-01-09;2,5;2;0;28,9;22,1;19,4;85,3;62;1,3;
2015-01-10;2,1;8,4;22;30,7;22,3;19,2;82,3;55;1;
2015-01-11;2,8;8,8;11,9;31,8;24,2;17,7;76;50;1;
2015-01-12;3;9,4;0;33,4;25,5;19,4;74,8;48;1;
2015-01-13;3,2;7,5;3,4;32,6;24,4;19,4;74,5;52;1;
2015-01-14;3,3;6,5;0;30,4;23,6;19,4;73,3;50;1;
2015-01-15;3,5;10;0;32,3;24;17,8;68,8;44;1;
2015-01-16;4;6,2;0;32,6;24,8;20,4;73;48;1;
2015-01-17;2,4;8,4;0;33,5;25,6;19,6;67,8;43;1;
2015-01-18;4,5;8,8;0;33;26,1;19;69,5;49;1;
2015-01-19;4,3;8,3;0;32,8;25,1;20;72;48;1;
2015-01-20;4;7,2;0;33,4;23,9;18,8;73,8;41;1;
2015-01-21;3;9,1;9,8;29,7;22,9;17,9;75;58;1;
2015-01-22;3,3;7,7;0;27,7;21,8;18,8;76,3;55;2,3;
2015-01-23;3,3;9,2;0;28,4;21,8;17,4;72,3;55;1;
2015-01-24;3;8,5;0;30,7;22,9;15,8;65,5;42;1;
2015-01-25;3,1;5,7;0;30,3;22,5;18,4;76,8;56;1;
2015-01-26;2,6;9,3;2,2;30,5;23,2;16,9;74,3;51;1;
2015-01-27;3,5;4,2;0;27,6;22,5;19;81,3;62;1;
2015-01-28;1,6;2,4;3,9;26,6;22,9;19,9;83,5;72;1,3;
2015-01-29;2,4;0;3,8;23,6;21,4;19,8;92,8;90;1,3;
2015-01-30;,7;3,6;17,7;26,1;21,5;19,6;84,3;81;1,3;
2015-01-31;2,4;5,2;0;28,6;22,5;18,3;77,8;64;1;
2015-02-01;2,1;5,9;0;29,8;23,4;17,8;75;55;1;
2015-02-02;2,6;7,1;,2;30,7;23,1;18,2;77,8;61;1;
2015-02-03;2,4;5,1;0;27,8;22,4;18;83,5;74;1;
2015-02-04;1,6;1,6;24;25,8;21;19,2;93,8;90;1;
2015-02-05;,8;5,8;19,8;28;20,5;17,9;90;79;1;
2015-02-06;1,3;7,4;17,8;27;19,8;15,2;79,8;59;1;
2015-02-07;2,1;8,2;0;27,7;20,8;15,6;80;59;1;
2015-02-08;2,2;10,7;0;30,2;23,1;16,9;69,5;49;1;
2015-02-09;3,9;10;0;31;24,2;18;65,8;46;1;
2015-02-10;3,2;8;4,2;29,6;23,7;18,8;81;65;1;
2015-02-11;3;4,7;0;29,2;24,3;19,2;80,3;64;1;
2015-02-12;2,6;5,9;0;31;23,7;20;84,8;70;1;
2015-02-13;1,7;1,4;37,2;27,6;22,8;19,8;86,5;69;1;
2015-02-14;1,4;1,2;2,4;25,6;21,1;19,4;86,3;70;1;
2015-02-15;1,2;0;26,8;19,6;18,6;17,8;93,8;94;1,3;
2015-02-16;,5;0;14,2;23,4;19,5;16,4;91;84;1;
2015-02-17;,7;0;7,8;23,4;19,7;18,2;91,8;85;1;
2015-02-18;,6;4,6;2,8;25,7;21,4;18,2;91,5;83;1;
2015-02-19;1;4;16,8;27,3;21,4;18,2;91,8;80;1;
2015-02-20;1;2,8;11,4;27,1;22,1;18,4;89,3;75;1;
2015-02-21;1;7,7;26,8;30,4;24,2;21;78,5;53;1;
2015-02-22;2,3;6,8;0;30,9;24;19,9;68,8;57;1;
2015-02-23;3,4;1,9;0;30,2;23,8;19,2;75,5;50;1;
2015-02-24;2,2;2,7;0;30,3;21,2;17,9;84,3;56;1;
2015-02-25;2,4;8;4,8;32,1;22,5;15,6;78,3;61;1;
2015-02-26;3;7,5;0;29,6;22,7;16,1;72,5;53;1;
2015-02-27;3,4;4,9;0;27,8;21,4;17,4;85;69;1;
2015-02-28;2;4,6;1,8;26,6;21,5;17,8;79;64;1,3;
2015-03-01;2,7;9;0;27,8;21,2;18,4;73,5;53;1;
2015-03-02;3;9,2;0;30;22,5;15,8;75,3;56;1;
2015-03-03;3;7,8;0;30,4;24;19,8;74;55;1;
2015-03-04;2,8;7;0;29,6;23,7;18,6;77,5;64;1;
2015-03-05;2,5;1,6;0;28,6;23,1;20,4;83,3;72;1;
2015-03-06;1,5;1,7;0;28,8;23,2;19,8;79,3;56;1;
