Nome: CASTRO
Codigo Estacao: 83813
Latitude: -24.78694444
Longitude: -49.99916666
Altitude: 994.68
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2;7,5;4,6;null;null;17,8;76;63;2;
2015-01-02;3;5,7;0;null;null;18,5;88;79;,7;
2015-01-03;1,5;4,3;11,3;null;null;19,2;87,8;75;1;
2015-01-04;1,3;,7;49,1;null;null;17,3;87;73;1;
2015-01-05;1,5;8,8;1,4;null;null;18,5;81,5;64;1,3;
2015-01-06;2,2;7,8;20,4;null;null;16,9;86,3;72;,3;
2015-01-07;1,6;1,4;4,6;null;null;18,3;82;64;1;
2015-01-08;2,1;,4;,7;null;null;17,7;93;88;,3;
2015-01-09;,8;4;16,8;null;null;17,3;86,3;86;,3;
2015-01-10;2,7;5,6;0;null;null;18,5;81;50;1,3;
2015-01-11;1,9;8;19,4;null;null;17,2;79,3;52;1,3;
2015-01-12;2,6;7,5;0;null;null;18,3;72,8;48;,7;
2015-01-13;3,3;5,6;0;null;null;19,6;73,8;53;1;
2015-01-14;2,6;6,1;12;null;null;17,1;71,5;51;1;
2015-01-15;3;9,1;0;null;null;16,6;73,8;46;,3;
2015-01-16;3,5;6,5;0;null;null;19,2;82,3;54;,7;
2015-01-17;2,1;6,7;8;null;null;17,7;79,8;53;,7;
2015-01-18;2,3;9,2;0;null;null;19,4;78,8;53;1;
2015-01-19;3,2;8,4;1,4;null;null;18,1;72,8;46;,7;
2015-01-20;3,3;7,7;0;null;null;16,6;76,3;60;,3;
2015-01-21;2,7;9,4;,2;null;null;16,4;78;57;1,7;
2015-01-22;2,8;9,1;0;null;null;17,1;74,8;62;2;
2015-01-23;3;6,2;0;null;null;15,6;76,5;59;1;
2015-01-24;2,6;8,4;0;null;null;15,8;78,3;58;1;
2015-01-25;2,2;7,6;,2;null;null;18,1;76,5;56;1,7;
2015-01-26;2,5;4,5;,6;null;null;16,5;80,5;77;,7;
2015-01-27;1,7;3,7;1,4;null;null;16,6;83,3;64;1;
2015-01-28;1,1;2,1;9,3;null;null;18,1;86,5;79;2;
2015-01-29;1,2;1,3;35,4;null;null;17,3;90,8;81;1,7;
2015-01-30;1;0;6,6;null;null;16,4;93,3;90;1,3;
2015-01-31;1;4,4;4,7;null;null;15,6;85;70;1,3;
2015-02-01;1;5,1;0;null;null;17,5;82;59;1,7;
2015-02-02;2,3;6,9;0;null;null;17,7;82,3;63;,7;
2015-02-03;2;4,3;2,6;null;null;16,9;88,3;75;1,3;
2015-02-04;1,1;,5;13,9;null;null;17,1;94,5;89;,3;
2015-02-05;,6;3,9;17,6;null;null;17,5;83,5;66;,7;
2015-02-06;1,2;7,5;3,6;null;null;14,2;79,3;53;,7;
2015-02-07;2,1;6,8;0;null;null;16,6;81,8;53;1,3;
2015-02-08;2;7,3;,2;null;null;17,5;79,5;49;0;
2015-02-09;1,6;8,2;3;null;null;17,1;79,3;57;,3;
2015-02-10;2;7,7;1,7;null;null;18,3;80,3;60;1;
2015-02-11;2;7,5;0;null;null;17,5;83;65;,7;
2015-02-12;1,9;5,9;0;null;null;19,4;82;64;2;
2015-02-13;1,8;3,8;1,4;null;null;18,9;87,3;66;,3;
2015-02-14;3;,4;8,2;null;null;17,7;92,5;86;2;
2015-02-15;,7;0;20,6;null;null;16,1;93,5;94;2;
2015-02-16;,6;,4;11;null;null;14,7;91,3;82;,7;
2015-02-17;,8;0;4,3;null;null;16,5;95,5;93;,3;
2015-02-18;,4;5,2;37,1;null;null;16,6;93,3;85;,3;
2015-02-19;1;6;14,2;null;null;18,5;88,8;73;1,7;
2015-02-20;2,4;2,1;,2;null;null;17,7;86,3;72;1;
2015-02-21;1,1;6,4;1,6;null;null;19,5;81,5;61;,3;
2015-02-22;2,2;9,6;0;null;null;18,1;75,8;52;,7;
