Nome: IRATI
Codigo Estacao: 83836
Latitude: -25.50277777
Longitude: -50.63749999
Altitude: 881.69
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1,7;6,8;11,4;29;23,1;17,7;81,8;62;2,4;
2015-01-02;3,2;4,4;,3;28;21,6;18,8;89,5;77;1;
2015-01-03;1,3;2,8;7,6;27;21,3;17,8;91;81;1,8;
2015-01-04;1,5;2,1;90;26,6;21,4;18,7;88,8;71;1,1;
2015-01-05;1,4;7,9;0;30;22,5;18,9;78;62;2,4;
2015-01-06;3,9;9,3;0;29;22,5;18,2;79;53;1,8;
2015-01-07;3,3;6,6;0;30,3;23,7;18,6;81,8;78;2,2;
2015-01-08;3,1;4,6;,3;30,4;23;19,6;85;76;2,1;
2015-01-09;2,2;5,3;2;30;22,4;18,6;82,5;56;2,5;
2015-01-10;2,5;5,8;2,2;30;22,6;19,4;86,3;58;1,9;
2015-01-11;2,8;10,1;2,2;32;23,7;17,8;76,8;52;1;
2015-01-12;3,8;9,1;0;32,6;24,3;18,6;71,8;46;,9;
2015-01-13;4;4,7;14,6;30,8;22,3;18,7;86;80;,9;
2015-01-14;2,5;8;7,6;31,2;23,2;18;74,5;54;2,2;
2015-01-15;4,1;9,4;0;31;23,4;17,1;69,5;49;2,2;
2015-01-16;4,4;8,5;0;30,7;22,9;19;80;55;1,5;
2015-01-17;2,7;5,7;4,5;31,2;23,4;17,4;77,3;62;1,7;
2015-01-18;3,3;8,8;0;32;24,4;17,6;72,8;55;1,7;
2015-01-19;4,1;7,7;0;33,1;23,8;19;75,3;45;1,4;
2015-01-20;4,7;7,8;0;32,2;22,8;17,8;77,8;49;1,3;
2015-01-21;3,6;6,4;10,1;28,3;21,2;16,8;78,8;58;2,4;
2015-01-22;4,3;7,4;0;25,4;20;17,4;75;63;4,2;
2015-01-23;5;6,6;,1;25,6;19,6;15,9;77,5;61;2,6;
2015-01-24;3,7;9,4;0;29,4;21,1;15,2;75,8;49;1;
2015-01-25;4;6,2;0;30;21,9;18;80,8;61;2,1;
2015-01-26;2,5;6,9;0;29,8;22;15,2;78;55;2,2;
2015-01-27;3,1;6,5;,2;28;22,2;18,2;83,3;66;2,3;
2015-01-28;2,4;3,5;24,4;26,6;21,9;19,4;86,8;73;2,1;
2015-01-29;2;2,5;,6;26;22,2;19,9;85,5;74;2,6;
2015-01-30;1,5;0;6,5;21,6;18,6;16,8;90,3;85;3,7;
2015-01-31;1,4;4,8;0;25,7;20,5;17,2;84,5;72;1,6;
2015-02-01;2,6;2,7;0;27,6;21,2;17,8;81,3;63;1,2;
2015-02-02;2,3;4,8;0;28,5;22,3;17,7;79,3;58;1,3;
2015-02-03;2,4;3,6;23,6;27,8;21,1;17,4;86,3;66;1,8;
2015-02-04;1,4;,9;10;24,8;20,6;18,4;89,3;78;,9;
2015-02-05;1,1;5,7;,2;26;19,7;17,8;87,8;69;1,9;
2015-02-06;2,6;5,4;5,8;26,6;19,1;15,2;82,3;57;1,4;
2015-02-07;1,7;5,7;0;26,6;19,9;15;82,3;66;1,7;
2015-02-08;1,9;9,3;7,4;29,8;21,8;17,1;77,3;50;1,9;
2015-02-09;1,7;8,9;0;29,6;21,8;16,8;79;51;1,6;
2015-02-10;3,7;9;4,8;30,4;23,3;18,6;81,3;62;2;
2015-02-11;3,4;5,6;0;29,4;23,1;19;87;72;2;
2015-02-12;2,2;4,8;10,6;29;22,6;19,2;88;76;2;
2015-02-13;2,2;4,5;43,3;27,6;21,8;19,5;86,5;61;1,6;
2015-02-14;1,7;,3;13,8;23,8;19,8;18,3;93,8;87;1,5;
2015-02-15;,7;,6;25,8;22;18,6;17,4;88,3;77;2;
2015-02-16;1,7;,4;,2;23;18,7;15,8;88,3;78;2,9;
2015-02-17;1,2;,4;10,2;21;18,6;17;94,5;93;2;
2015-02-18;,7;2,5;30,3;26,3;20,3;17,1;93,8;89;,8;
2015-02-19;1;3,6;3,2;27,2;21,4;19,4;90,5;74;2,1;
2015-02-20;1,7;2,1;4,9;27,3;21,3;18,5;92,5;84;1,6;
2015-02-21;1,3;5,1;6,1;29,6;22,5;20;84,8;66;1,5;
2015-02-22;2,7;6,5;1,6;28,7;22,9;18,9;74,3;54;1,8;
2015-02-23;3,5;3,1;0;28,5;22,2;18,2;82;63;1,2;
2015-02-24;2;2;0;28,2;20,3;17,4;85,8;67;2,5;
2015-02-25;1,7;7,3;7,7;29;20,2;13,2;80,8;56;1,9;
2015-02-26;2,7;7,1;0;28,7;20,9;16;83,5;59;1,7;
2015-02-27;2,1;5,6;31,9;29;21;16,2;88,5;80;1,1;
2015-02-28;1,6;2,9;4,6;24,2;19,6;17;84,8;73;2,5;
2015-03-01;2,8;7;0;25,1;19,3;16,2;75,5;53;2,1;
2015-03-02;3,6;8,6;0;27,1;20,7;13,8;74,8;58;2,1;
2015-03-03;3,2;8,1;0;29,6;22,4;18,2;74,3;54;1,5;
2015-03-04;3,2;8,3;0;29,4;22,5;18;79;56;1,5;
2015-03-05;2,8;1,4;7,4;27,6;22;19,4;89,3;76;1,3;
2015-03-06;1,3;1,4;,3;25,7;21,2;19,4;91,8;87;,7;
2015-03-07;1,4;2,6;,1;27;21,1;18,2;85,8;66;2,1;
2015-03-08;2,2;1;7,9;25;20,3;17,9;87,3;81;3,2;
2015-03-09;1,6;1,5;4,2;24,6;19,6;16,4;84,8;67;1,5;
2015-03-10;2;5,8;0;27,9;20,1;15,2;83;55;,9;
2015-03-11;2,8;7,1;3,5;28,4;21;15,8;76,3;51;1,7;
2015-03-12;3,4;7,7;0;29,1;20,6;15,5;79,5;51;1,5;
2015-03-13;3,5;9,3;0;28,5;21,8;17,1;76,3;54;2;
2015-03-14;3,4;3;0;27,7;20,4;17,6;86;66;,9;
2015-03-15;2,6;9,1;0;28,8;21,1;14,8;80,5;54;1,1;
2015-03-16;3,4;3,7;0;29;20,6;16,2;88,5;68;1,5;
2015-03-17;3,1;5;2,7;25,4;20,7;17,2;83;71;2,2;
2015-03-18;2,4;3,2;0;26,5;20,2;17,5;82;68;2,6;
2015-03-19;3;4,1;0;25,8;20,4;17,4;78,3;65;2,7;
2015-03-20;2,6;5,8;,6;27,6;21,1;17,7;81,3;62;2;
2015-03-21;2,4;1,7;0;26;19,2;16,1;89,3;75;2,4;
2015-03-22;1,3;5;2,3;25,8;18,4;13,5;86,8;59;1,5;
2015-03-23;2,3;3,6;5,5;23,6;18,5;15,4;84,3;73;1,1;
2015-03-24;1,8;7;0;26,3;18,8;15,1;79;53;1,5;
2015-03-25;2,9;8,9;0;25,7;17,8;13,2;78;51;2;
2015-03-26;3,2;6,7;0;29,1;20,1;12,7;73,5;41;1,2;
2015-03-27;3,4;4,2;1;27;21,2;17,8;85;63;1,4;
2015-03-28;1,9;1,9;12,2;25,2;20,4;18,8;91,5;76;,9;
2015-03-29;1,3;0;37,5;20,8;19,4;18,2;97,3;95;1,6;
2015-03-30;,7;6;7;27;19,3;17;83,8;57;2,1;
2015-03-31;2,4;8,7;15;27;18,2;12,2;79,8;52;1;
2015-04-01;3,1;8,8;0;26,9;18,6;13;77;54;1,4;
2015-04-02;3,3;6,9;0;25,2;17,7;15;78,8;48;1,4;
2015-04-03;2,8;9,4;0;26,6;18,6;13,1;70,3;50;2,3;
2015-04-04;3,3;4,4;0;25,2;17,6;12,4;81;61;1,3;
2015-04-05;2,6;3,4;4,6;26;19,9;16;82,8;71;3;
2015-04-06;2,1;8,1;1,1;23,4;17,7;13,2;77,3;58;2,1;
2015-04-07;3,2;8,9;0;22,4;15,8;10,6;73;51;3,3;
2015-04-08;3,5;8,1;0;23,2;15,9;9,6;75,5;58;1,6;
2015-04-09;2,5;6,3;0;24,5;16,7;10,6;78;53;1,4;
2015-04-10;1,4;6,2;0;23,4;16,7;13,2;82,5;62;,7;
2015-04-11;1,9;6,1;0;26,3;18,2;12,4;83,3;58;1;
2015-04-12;1,9;8,3;0;27,2;19,1;13;73,5;50;1,1;
2015-04-13;3;6,5;0;26,3;18,6;13;78,8;52;1;
2015-04-14;3,2;,5;0;22,2;18,3;16;85,3;64;,8;
2015-04-15;1,5;3,8;,7;26,8;19,5;16;84;60;1,6;
2015-04-16;2;5,2;,2;24,8;19,2;16,4;83;62;1,8;
2015-04-17;2;2,6;0;29;19,9;16,2;84,3;64;1,4;
2015-04-18;2,2;0;,2;22;18,7;16,6;89,5;77;2,1;
2015-04-19;1,3;3;,3;25,4;21,1;17,6;87,8;74;2,5;
2015-04-20;1,4;2,3;0;26,6;22,2;20;87,8;69;2,6;
2015-04-21;1,6;,7;15,3;24,8;20,5;17,9;91;80;4,3;
2015-04-22;,8;0;43,5;19,6;17;15,2;97,5;94;1,3;
2015-04-23;,3;,4;18,8;21;17,2;16;93;86;1,5;
2015-04-24;,8;4,9;0;25;18,1;15,2;85,3;65;1;
2015-04-25;1,3;6,6;0;22,3;15,5;11,4;83,3;57;1,5;
2015-04-26;1,8;7,2;0;22;15;8,8;81,3;55;1,2;
2015-04-27;2,1;6,7;0;23,3;16,5;12,2;81;63;1,3;
2015-04-28;2;5,3;0;23,4;17,1;14;81,3;59;1,4;
2015-04-29;1,9;4,8;0;19,6;15,7;13,2;79;68;3,3;
2015-04-30;2,8;1,3;0;19,4;14,9;12,4;84,3;67;1,7;
2015-05-01;1,6;5,5;0;21,7;14,7;12,2;85;60;,8;
2015-05-02;1,8;8,2;0;24,8;15,7;9,9;79;47;2,2;
2015-05-03;3,2;0;0;22,5;16,4;11,7;88,5;66;2,1;
2015-05-04;1,7;7,5;45;22,2;15,6;12,7;85,8;64;1,2;
2015-05-05;1,8;4,4;,1;23;15,7;11;87;61;1,3;
2015-05-06;1,9;5,3;0;22;15;12,8;84;60;1;
2015-05-07;1,8;8,6;,1;19,6;14,1;9,6;88,5;70;2,4;
2015-05-08;2;1;0;17;12,2;10,7;85,8;70;1,4;
2015-05-09;1,9;8,6;0;22,8;14;7,5;82,8;52;,9;
2015-05-10;2,1;0;25,5;15,2;14,1;12;96;95;1,1;
2015-05-11;,4;6,6;14,6;20,6;14,7;12,3;84;66;1,8;
2015-05-12;2,1;,2;0;17,4;13,8;10;85,3;74;3,1;
2015-05-13;2;3,4;0;18,6;14,5;12;86,8;66;2,2;
2015-05-14;1,8;,8;0;19,4;14,4;9,4;90;74;1,4;
2015-05-15;1,4;8;,1;21,8;15,9;12;80,5;62;4,1;
2015-05-16;2,7;3,5;0;19,6;15;11,4;87,5;70;1,1;
2015-05-17;,4;,6;0;18,5;14;10,6;90,3;73;,5;
2015-05-18;1,9;,8;0;18,2;13,7;11,8;93;82;,4;
2015-05-19;,2;4,1;,7;21,4;15,9;12,2;88,5;67;1,9;
2015-05-20;2;6,4;0;22,4;17,1;14,4;82;63;2,1;
2015-05-21;2,4;2,2;0;20,8;16,4;14,6;87,5;71;1,5;
2015-05-22;1,6;7,4;0;24,6;17,5;14,2;87;67;1,4;
2015-05-23;1,7;6,6;,2;24,4;18,4;13,8;84;60;2,8;
2015-05-24;2,6;2,2;0;22,7;19,2;16,2;89;80;1,4;
2015-05-25;1,6;3,6;4,7;25,6;20,6;19;91,5;73;1,5;
2015-05-26;1,2;0;37,5;19,4;17,9;17,2;97;96;1,4;
2015-05-27;,4;0;34,3;20,6;17,2;15,8;95,8;95;1,9;
2015-05-28;,7;3;10,5;17,6;13,8;12,4;87,8;67;1,8;
2015-05-29;1,5;4,2;0;17;10,6;7,1;89,8;66;,9;
