Nome: CURITIBA
Codigo Estacao: 83842
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 923.5
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,6;6,3;,2;28,3;24;19,1;76;72;3,2;
2015-01-02;3,2;7,9;10,4;30,1;23,5;20,8;71;51;3,9;
2015-01-03;3,4;0;,7;22,3;19,6;18,3;88,5;86;1,5;
2015-01-04;1,1;1,3;6,7;26,7;21,1;18;87,5;66;1,4;
2015-01-05;1,6;3,7;10,3;26,5;21,3;19,1;86,5;68;2,4;
2015-01-06;1,3;9,2;22,2;30,7;22,9;18,8;81,5;48;1,7;
2015-01-07;2,4;6,3;40,2;28,2;23,7;19,2;75,3;63;2,1;
2015-01-08;3;1,6;,4;30;23,2;19,8;74,8;56;1,8;
2015-01-09;2,2;11,1;4,5;31,2;24,2;18,7;66,3;51;3;
2015-01-10;4,9;4,3;0;30,4;24,2;20,6;80,8;68;1,6;
2015-01-11;2,2;7,7;3;31,7;24,5;19,2;79,5;75;1,7;
2015-01-12;3;11,7;19,8;33,6;24,9;19,7;65,8;40;2,5;
2015-01-13;5,3;6,4;,5;31,9;24,5;20,3;67;46;2,5;
2015-01-14;3,7;4,1;10,8;31,2;24,4;18,2;64,5;49;2,4;
2015-01-15;4,9;9,2;,4;30,6;23,9;19,8;75,5;54;2,4;
2015-01-16;3,4;8,3;0;32,3;25,1;20,7;75,5;50;1,9;
2015-01-17;3,2;8,5;0;32,1;26,6;22,4;64,5;55;2,3;
2015-01-18;5;7,4;0;32,3;25,5;20,4;68,3;37;2,2;
2015-01-19;4,1;5,7;0;32,9;24,7;21,2;73,5;46;2;
2015-01-20;3,3;9,6;8,4;32,6;23,5;19;72,3;39;2,1;
