Nome: PARANAGUA
Codigo Estacao: 83844
Latitude: -25.5361111
Longitude: -48.52833332
Altitude: 4.5
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-08-25
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,8;null;1,6;37,6;30;24,4;71,5;62;null;
2015-01-02;5,2;null;,2;37,3;27,9;23,4;81;55;null;
2015-01-03;4;null;43,3;23,8;22,3;21,1;92,8;90;null;
2015-01-04;,6;null;4,6;26,2;24;21,1;88,3;82;null;
2015-01-05;1,6;null;11,9;27,6;25,6;24,3;90,5;84;null;
2015-01-06;1,3;null;12,2;30;26,6;23,5;84,3;77;null;
2015-01-07;3,2;null;0;32,7;27,1;23,6;83;71;null;
2015-01-08;3,2;null;7;33;28,1;24;70,3;64;null;
2015-01-09;3,6;null;0;33,9;27,8;23,6;73,3;66;null;
2015-01-10;5,4;null;0;34,9;29,3;25;70,5;61;null;
2015-01-11;4,6;null;0;34,3;28,3;24,4;74,3;64;null;
2015-01-12;4,7;null;0;37,4;29,1;24,7;73,3;59;null;
2015-01-13;5;null;5,3;33,5;28,2;23,7;79,3;67;null;
2015-01-14;3,5;null;115,6;32,4;27,2;22;77,5;67;null;
2015-01-15;5;null;1,6;32,2;27,7;23,1;76,5;63;null;
2015-01-16;1,8;null;0;32,4;28,4;25,2;78,3;63;null;
2015-01-17;2,1;null;0;34,8;29,4;26,2;73;66;null;
2015-01-18;2,5;null;8,2;33,7;28,6;23,3;78,3;64;null;
2015-01-19;2,1;null;5,2;32,4;26,4;23,2;85;72;null;
2015-01-20;1,9;null;8,8;32;25,9;22,9;83,5;69;null;
2015-01-21;1,8;null;29,7;29,7;25,5;22,9;81;73;null;
2015-01-22;2,4;null;1,8;26,4;22,6;21,1;90,8;84;null;
2015-01-23;1,6;null;17,2;28,7;24,5;20,2;74;59;null;
2015-01-24;4,4;null;0;30,4;26,5;22,3;73,5;65;null;
2015-01-25;4,4;null;0;31,4;26,4;23,7;83,8;75;null;
2015-01-26;3;null;21,8;31,6;27,1;22,1;73;62;null;
2015-01-27;3,2;null;0;33,1;28,3;23,7;82,3;70;null;
2015-01-28;2;null;0;34,6;30;24,9;64;50;null;
2015-01-29;3,1;null;0;34,5;29,8;26,5;63,3;56;null;
2015-01-30;2,2;null;33,2;28,8;23,1;21,4;94;69;null;
2015-01-31;1,5;null;11,1;27,4;23,3;20;87,5;74;null;
2015-02-01;,6;null;7,1;28,2;25,1;21,7;83,8;77;null;
2015-02-02;,8;null;,2;29,4;25,9;22,9;82,3;71;null;
2015-02-03;1,1;null;0;31,5;25,1;22,3;79;54;null;
2015-02-04;1,5;null;19,4;26,6;23,7;20,8;89;83;null;
2015-02-05;,6;null;27,2;26,4;23,8;21,9;84,8;82;null;
2015-02-06;1;null;,6;29;25,2;21,1;74,8;60;null;
2015-02-07;1,4;null;36,4;29,8;25,5;21,3;76,8;67;null;
2015-02-08;1,6;null;27,8;29,7;26,3;23,5;82,5;70;null;
2015-02-09;5;null;0;31,6;27,5;23,3;77,8;70;null;
2015-02-10;4,2;null;0;32;27,8;23,7;79,8;70;null;
2015-02-11;3,6;null;7,1;34,4;29,1;24,9;79,3;60;null;
2015-02-12;4,2;null;,2;36;28,4;25,3;80,3;64;null;
2015-02-13;3,5;null;17,8;31,7;25,8;23,4;86,3;71;null;
2015-02-14;3;null;20,6;27,4;23,8;22,1;92,8;88;null;
2015-02-15;1;null;94,7;24,5;22,7;21,7;92,5;93;null;
2015-02-16;,5;null;39,6;26,4;23,1;21,3;91,5;88;null;
2015-02-17;1,5;null;3,4;24,4;22,1;21;95,3;92;null;
2015-02-18;,5;null;31,2;28,4;24;21;90;76;null;
2015-02-19;1,8;null;14,4;32;26,9;22,7;79,8;67;null;
2015-02-20;3,2;null;,2;34,7;26,8;23,4;80;55;null;
2015-02-21;2;null;52,4;31,4;26,7;23,1;86;75;null;
2015-02-22;1,2;null;0;30,4;26,8;23,7;80,3;65;null;
2015-02-23;2,2;null;0;31,4;27,3;24;81;63;null;
2015-02-24;1,1;null;43,6;28,7;24,2;22,3;89,3;77;null;
2015-02-25;,9;null;4,5;31,2;25;20,9;81,5;56;null;
2015-02-26;1,2;null;1,5;32,7;27,5;22,9;77,8;67;null;
2015-02-27;1,2;null;38,2;37,3;27,5;22,9;79,3;60;null;
2015-02-28;1,6;null;19,8;26,4;24,4;23,3;91;86;null;
2015-03-01;,6;null;3,7;29;25;20,3;71,5;66;null;
2015-03-02;1,4;null;0;28,2;25,1;21;76;70;null;
2015-03-03;1,1;null;0;30,2;25,9;21,9;80,3;69;null;
2015-03-04;1,2;null;0;30,7;26,5;23;83,3;77;null;
2015-03-05;1,4;null;0;31,9;26,9;23,3;79;65;null;
2015-03-06;1,3;null;,9;28;25;24;93,3;86;null;
2015-03-07;,4;null;54,8;27,7;25,1;23,5;91,3;85;null;
2015-03-08;,7;null;42,6;28;24,4;22,5;87,8;75;null;
2015-03-09;2,5;null;0;27;24,3;22,6;89,3;80;null;
2015-03-10;2;null;14,8;31,2;25,5;23;88,3;73;null;
2015-03-11;1,3;null;28,3;31,4;25,2;22,3;82;65;null;
2015-03-12;2,4;null;9,2;30,9;26,4;22,1;78,3;61;null;
2015-03-13;2,8;null;,8;30,2;26,3;23,3;82,5;75;null;
2015-03-14;1,5;null;0;31;26,9;23,3;79,3;65;null;
2015-03-15;2;null;0;31,4;26,6;24,3;90;84;null;
2015-03-16;1,4;null;13,3;29,4;25,7;22,7;84,8;74;null;
2015-03-17;1,5;null;,9;26,6;23,5;22,2;92,5;87;null;
2015-03-18;1;null;8,5;27;24,2;21,9;79,8;75;null;
2015-03-19;1,6;null;1,2;26;22,9;21,6;91,5;81;0;
2015-03-20;1;null;6,8;26,6;23,8;21,7;89,8;78;0;
2015-03-21;1;null;0;31,4;24,6;21,4;85;68;null;
2015-03-22;1,5;null;31,4;24,8;22,1;20,9;86,8;76;null;
2015-03-23;1,5;null;15,3;25,4;22,1;19,1;86;75;null;
2015-03-24;2;null;1,2;26,6;22,8;20,1;85;71;null;
2015-03-25;2,3;null;0;28,4;24,2;20;77;64;null;
2015-03-26;3,5;null;0;31,7;25,6;20,5;76,3;60;null;
2015-03-27;3,7;null;,1;27,4;24;22,8;94;87;null;
2015-03-28;1,3;null;54,6;24;22,5;21,4;94,3;91;null;
2015-03-29;,7;null;20,3;22,2;20,7;19,8;96,5;93;null;
2015-03-30;,4;null;20,7;28,6;24,2;19,9;88,5;76;null;
2015-03-31;1,6;null;4,7;30,7;25,4;20,8;72,8;55;null;
2015-04-01;4;null;0;28,7;24,1;20,4;82,3;68;null;
2015-04-02;2,8;null;0;28,6;23,9;19,6;79,8;66;null;
2015-04-03;2,7;null;0;29;24,2;19,9;73,8;62;null;
2015-04-04;3,4;null;0;28,7;24;20,2;83,8;73;null;
2015-04-05;3,4;null;0;28,9;24,7;21,9;86;70;null;
2015-04-06;2,2;null;4,7;27,2;22,6;20,1;84;74;null;
2015-04-07;3,6;null;,8;23,9;20,8;16,9;76,8;64;null;
2015-04-08;3,4;null;0;26,2;21,6;17,2;80;63;null;
2015-04-09;2,5;null;1,6;27,3;23,1;19,4;83,3;72;null;
2015-04-10;2,5;null;2;27;22,9;20;86,3;72;null;
2015-04-11;2,4;null;0;28,6;23,6;19,8;76,8;57;null;
2015-04-12;3,2;null;0;28,6;23,2;19,3;83;68;null;
2015-04-13;3;null;0;28,3;23,5;19,6;78,5;53;null;
2015-04-14;3,5;null;0;27,8;24,2;19,9;75,5;66;null;
2015-04-15;3;null;0;26,2;23,8;22,1;87,3;75;null;
2015-04-16;1,7;null;0;27;24,1;20,9;83;71;null;
2015-04-17;2;null;8,7;26;23,9;21,9;89,3;84;null;
2015-04-18;1,8;null;3,6;29,4;24,5;21,8;84,8;61;null;
2015-04-19;1,6;null;4,7;26;23,7;22,7;92,8;87;null;
2015-04-20;1;null;2,7;30,2;25,6;22,7;87,8;72;null;
2015-04-21;1;null;7,4;26,2;23,7;22,4;92;92;null;
2015-04-22;,4;null;28,9;22,8;21,3;20,3;96;91;null;
2015-04-23;,8;null;69,2;21,8;20,3;19,3;95;91;null;
2015-04-24;,5;null;21,1;27,8;23,3;19,3;88;78;null;
2015-04-25;2,1;null;0;25,5;21,4;18,9;82,8;69;null;
2015-04-26;3,2;null;2,2;24,4;21,6;18,1;84,3;76;null;
2015-04-27;1,4;null;6;27;22,8;19,5;85,5;72;null;
2015-04-28;2,5;null;,5;27,2;23;20,5;87,5;75;null;
2015-04-29;2,7;null;,8;23,6;19,7;17,9;88;81;null;
2015-04-30;1,6;null;,9;22,2;19,7;17,8;85,8;84;null;
2015-05-01;1,6;null;0;25,6;20,8;16,3;78,3;62;null;
2015-05-02;2,6;null;0;25,7;21,7;17,9;80,5;69;null;
2015-05-03;3;null;0;26,3;22,1;19,1;88,3;77;null;
2015-05-04;1,6;null;27;27,2;22;20,1;90,8;79;null;
2015-05-05;1,4;null;,6;21,5;20,2;19,1;88,5;81;null;
2015-05-06;2;null;,3;25,4;21;17,5;85,3;66;null;
2015-05-07;1,4;null;0;23,2;20;17,7;73,8;68;null;
2015-05-08;,6;null;1,2;22,4;18,8;16,1;82,5;66;null;
2015-05-09;,5;null;0;24;20,1;15,3;79;70;null;
2015-05-10;,5;null;3,4;21;19;18,2;97;88;null;
2015-05-11;,4;null;18;24,7;20,3;17,5;83,5;74;null;
2015-05-12;,5;null;4,6;23;20,1;18,3;84,5;82;null;
2015-05-13;,6;null;4,6;23,3;19,4;17,4;88,8;81;null;
2015-05-14;,4;null;9,5;21,4;19,2;17,6;87,5;78;null;
2015-05-15;,3;null;8,4;24,2;20,5;18;89,5;79;null;
2015-05-16;,3;null;1,2;25,6;20,7;17,6;86,5;64;null;
2015-05-17;,5;null;0;25,6;21,1;18,8;89;74;null;
2015-05-18;1;null;0;23,5;20,8;19,5;94;93;null;
2015-05-19;1,5;null;17,9;23,4;20,9;19,1;94,5;89;null;
2015-05-20;,5;null;48;24;21,1;19,1;92,8;82;null;
2015-05-21;,5;null;5,2;25;21,2;18,1;90,8;79;null;
2015-05-22;1,7;null;0;26,2;22,6;19,7;86,3;76;null;
2015-05-23;1,8;null;0;26,6;22,5;19,9;89,3;70;null;
