Nome: SOROCABA
Codigo Estacao: 83851
Latitude: -23.47999999
Longitude: -47.42666666
Altitude: 597.58
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2024-05-17
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,2;9,3;0;33;25,9;22,4;84;70;1;
2015-01-02;3,8;6,7;6,9;33,2;25,9;21,4;85;76;,5;
2015-01-03;5,6;8,9;1,3;32,8;25,9;22;76;73;1;
2015-01-04;2,5;,2;0;27,2;24,6;22,8;83;78;,5;
2015-01-05;2,6;5,7;,2;31,8;25,4;21,2;81;78;,5;
2015-01-06;3,1;3,8;29,4;30,6;25,4;21,4;82;83;,5;
2015-01-07;3,7;10,7;0;33,6;24,8;21;84;65;,5;
2015-01-08;4,8;11,7;25,2;33;26,7;19,8;76;84;1;
2015-01-09;4,9;11,5;0;33,9;28,4;21,9;63;68;1;
2015-01-10;5,8;9,5;0;34,5;27,4;22,9;79;61;0;
2015-01-11;5,3;9,8;17,2;35,6;28,8;22,9;72;67;0;
2015-01-12;5,6;7,7;0;34,4;27,2;23,9;75;74;,5;
2015-01-13;4,9;10,7;0;34,9;27,9;22,2;65;61;,5;
2015-01-14;6,5;6,4;0;34,3;27,8;23,9;71;67;,5;
2015-01-15;5,3;7,8;0;34,7;27,5;23,4;74;69;1,5;
2015-01-16;5,2;11,5;,4;35,7;28,5;22,4;72;65;1;
2015-01-17;6,4;11;0;36,7;29,7;23,2;65;65;1;
2015-01-18;7,4;8,1;0;36,9;29,7;24,2;65;65;,5;
2015-01-19;8,2;10,2;0;37,1;28,8;23,9;78;59;1,5;
2015-01-20;7,1;10,3;10,6;37,2;29,6;23,2;54;54;,5;
2015-01-21;7,3;5,1;1,6;33,9;24,8;20,6;81;54;2,5;
2015-01-22;5,9;6,3;5,7;27,5;23,6;20,3;75;70;2;
2015-01-23;5,4;6;5,6;28,2;22,5;19,3;86;72;1;
2015-01-24;3,9;8,9;1,9;31,6;24,9;19,3;77;71;1;
2015-01-25;4,4;9,4;0;31,9;26,2;20,3;70;66;1;
2015-01-26;4,6;8,2;19;30,5;24;19,7;81;73;1,5;
2015-01-27;3;7,9;9;30,5;24,6;19,9;85;80;0;
2015-01-28;2,7;3,3;1,3;29,6;25,1;21,9;86;78;1;
2015-01-29;2,2;3,5;4,5;28,6;23,8;21;92;90;1,5;
2015-01-30;2,3;2,7;3,8;28,2;23,9;21,4;79;78;1;
2015-01-31;4;8,7;0;28,5;24;20,8;76;73;1;
2015-02-01;4,2;7,3;0;31,1;25,8;21,9;74;74;1;
2015-02-02;4,1;6,4;0;28,3;24,1;20,9;80;74;,5;
2015-02-03;2,2;9;2,6;31,7;24,5;18,8;74;72;,5;
2015-02-04;4,5;0;1,6;25,5;21,8;19,3;92;75;1;
2015-02-05;1,6;,3;23,5;23,7;20,5;18,8;98;96;,5;
2015-02-06;null;null;null;null;null;null;null;98;null;
2015-02-07;null;null;null;null;null;null;null;null;null;
2015-02-08;null;null;null;null;null;null;null;null;null;
2015-02-09;null;6,3;0;31,5;24,8;17,2;80;81;1;
2015-02-10;3,5;5,8;,6;28,9;24;20,8;91;79;1;
2015-02-11;1,5;6,2;13,8;30,5;24,7;20,9;87;86;,5;
2015-02-12;2,3;10,2;0;33;27;21,9;79;82;,5;
2015-02-13;4,4;4,6;0;31,3;25,6;22,4;83;74;,5;
2015-02-14;2,3;7;6,2;32,4;25,2;20,9;77;71;,5;
2015-02-15;3,8;2,3;0;27,5;23,2;21,4;84;80;,5;
2015-02-16;3;1,8;2,8;27,1;22,8;19,3;86;84;0;
2015-02-17;2,1;1,1;15,8;27,1;22,9;20,9;96;84;0;
2015-02-18;null;null;null;null;null;null;null;96;null;
2015-02-19;null;null;null;null;null;null;null;null;null;
2015-02-20;null;null;null;null;null;null;null;null;null;
2015-02-21;null;null;null;null;null;null;null;null;null;
2015-02-22;null;null;null;null;null;null;null;null;null;
2015-02-23;null;null;null;null;null;null;null;null;null;
2015-02-24;null;null;null;null;null;null;null;null;null;
2015-02-25;null;null;null;null;null;null;null;null;null;
2015-02-26;null;null;null;null;null;null;null;null;null;
2015-02-27;null;null;null;null;null;null;null;null;null;
2015-02-28;null;null;null;null;null;null;null;null;null;
2015-03-01;null;null;null;null;null;null;null;null;null;
2015-03-02;null;null;null;null;null;null;null;null;null;
2015-03-03;null;null;null;null;null;null;null;null;null;
2015-03-04;null;null;null;null;null;null;null;null;null;
2015-03-05;null;null;null;null;null;null;null;null;null;
2015-03-06;null;null;null;null;null;null;null;null;null;
2015-03-07;null;null;null;null;null;null;null;null;null;
2015-03-08;null;null;null;null;null;null;null;null;null;
2015-03-09;null;null;null;null;null;null;null;null;null;
2015-03-10;null;null;null;null;null;null;null;null;null;
2015-03-11;null;3,9;null;28,2;null;19,3;98;null;0;
2015-03-12;1,7;4,1;29;27,7;22,7;18,3;79;88;1,5;
2015-03-13;2,3;1,5;0;27,3;22,5;19,3;89;74;0;
2015-03-14;1,6;1,4;0;26,9;23;20,3;91;88;0;
2015-03-15;1,6;4,3;11;29,9;23,5;19,8;85;90;0;
2015-03-16;2,4;5,4;0;30;23,3;19,5;85;73;,5;
2015-03-17;2,8;4,3;10,8;28,9;23,2;19,3;82;86;,5;
2015-03-18;3,1;,3;0;27,3;22,4;20,7;91;81;0;
2015-03-19;2,5;,6;1,3;27,1;22,7;20,3;84;78;0;
2015-03-20;2,1;3,8;0;29,3;22,4;19,3;90;77;,5;
2015-03-21;null;null;null;null;null;null;null;96;null;
2015-03-22;null;null;null;null;null;null;null;null;null;
2015-03-23;null;null;null;null;null;null;null;null;null;
2015-03-24;null;9,5;0;28,3;22,1;17,2;74;70;1;
