Nome: INDAIAL
Codigo Estacao: 83872
Latitude: -26.91361111
Longitude: -49.26805554
Altitude: 72.28
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-03-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;4,5;2,1;35,7;27,3;21,6;73,5;47;2,3;
2015-01-02;null;2,7;0;30,8;25,3;22,9;85;63;2,7;
2015-01-03;null;0;3,4;25,6;22,5;20,9;83,5;73;,7;
2015-01-04;null;5,2;0;32,8;25,2;21,1;78,5;61;1;
2015-01-05;null;,5;,2;28,2;24,4;21;86,8;82;1,7;
2015-01-06;null;4,4;4,5;31,6;26,4;22,9;83,5;75;1,7;
2015-01-07;null;7,4;0;35,3;27,3;24,2;80,8;58;1,7;
2015-01-08;null;3,1;7,7;35,5;26,4;23;82,3;65;2,7;
2015-01-09;null;1,9;7,2;34,3;26,6;22,9;77,5;62;1,3;
2015-01-10;null;3,3;,2;34;26,1;23,3;87,5;78;1,7;
2015-01-11;null;8,9;,9;37,2;27,2;22,5;74;52;1,7;
2015-01-12;null;10,6;0;37,5;29,3;21,8;62;45;3;
2015-01-13;null;5,2;0;33,9;26,2;22,8;81;60;2,7;
2015-01-14;null;1,6;29,2;34,2;26,6;22,1;70,8;71;3,7;
2015-01-15;null;7,8;,4;33,9;26,5;22,4;78,8;57;2,7;
2015-01-16;null;9,2;4,3;34,8;28,3;23;76,3;58;,7;
2015-01-17;null;4,9;0;36;27,1;23,2;76,5;62;1,7;
2015-01-18;null;4,9;0;34,3;25,8;22,2;81;60;1,7;
2015-01-19;null;7,7;3,8;36,4;27,7;22,5;73,3;54;1,7;
2015-01-20;null;5,1;,1;34,4;26;22,4;83,3;62;1,3;
2015-01-21;null;,5;1,3;28,3;24,7;22,7;79,8;69;1,3;
2015-01-22;null;2,6;0;27,7;23,7;20,9;73,8;71;1,3;
2015-01-23;null;8,4;0;30,5;24,3;18,4;67;52;1,7;
2015-01-24;null;11,7;0;34,3;25,8;19,6;67,8;50;2,3;
2015-01-25;null;3,6;0;32,8;24,8;21,7;81,8;59;1,7;
2015-01-26;null;11,4;1,9;36,5;26,9;20,3;68;45;2;
2015-01-27;null;4,8;0;33,7;25,8;22,9;83;61;1,3;
2015-01-28;null;4;12;31;25,8;22,7;91,5;84;1,7;
2015-01-29;null;7,5;3,5;34,1;26,5;23,7;81,3;59;1,3;
2015-01-30;null;0;11;24,8;21,3;19,6;90,5;89;1,7;
2015-01-31;null;0;1,5;26,1;22,4;20,1;87,5;80;1,3;
2015-02-01;null;3,3;,7;30,4;25;20,9;79,3;64;1;
2015-02-02;null;8,6;,2;33,2;25,7;21,3;80,8;57;1,7;
2015-02-03;null;6,3;1,6;32,2;24,9;22,1;83,8;62;1,7;
2015-02-04;null;2,1;3,9;30,6;24,4;21,8;86,3;73;2,3;
2015-02-05;null;,7;2;28,2;22,7;20,9;89;71;1,7;
2015-02-06;null;5,5;3,7;30,9;23,7;19,5;79,8;58;1,7;
2015-02-07;null;9,6;0;33,7;25,3;20,2;66,5;40;2;
2015-02-08;null;2,9;0;31,1;24,9;21,1;80;65;1;
2015-02-09;null;6,8;0;33,6;26,9;23,2;82,5;78;1,7;
2015-02-10;null;9,9;0;36,1;28,2;23,5;77,5;51;1;
2015-02-11;null;7,5;13;37,1;28,3;24,8;77,3;58;1,7;
2015-02-12;null;6,9;,2;36,3;27,8;23;86;76;2,3;
2015-02-13;null;,7;22,4;30,9;26;23,4;83;68;2;
2015-02-14;null;0;,2;26,1;23,5;22,7;92;86;1,7;
2015-02-15;null;,6;7,9;28,1;23,1;21;85,5;70;1;
2015-02-16;null;5,9;0;30,6;24,2;19,3;70,3;54;2;
2015-02-17;null;0;,9;25;22,3;21,1;94;75;1,3;
2015-02-18;null;2,3;16,3;31,7;24,3;21,1;83,3;59;1,3;
2015-02-19;null;6,1;15,2;33,6;25,4;22;87,3;69;1,3;
2015-02-20;null;3,2;19,3;29,5;25,4;22,6;90,3;85;1,3;
2015-02-21;null;0;3,2;28,6;25,5;23,9;90;81;1,3;
2015-02-22;null;2,6;1,6;32,9;26,6;23,9;78,8;57;1,3;
2015-02-23;null;6,7;0;33,7;26,8;22,9;79;60;1,7;
2015-02-24;null;,9;,4;27,7;22,1;20,1;94;85;1,3;
2015-02-25;null;8,1;9,5;34,8;25,5;18,4;76,5;51;1;
2015-02-26;null;8;0;35,8;26,4;22,2;74,3;49;2,3;
2015-02-27;null;7,5;,2;35,6;26,2;22,1;78;52;5;
2015-02-28;null;2,6;30,5;29,6;24,5;22,3;76,3;62;1,3;
2015-03-01;null;5,2;,3;29,3;23,3;17,8;75,5;63;1;
2015-03-02;null;6,4;,2;30,5;25,1;20,5;75;60;1,7;
2015-03-03;null;8,3;,8;32,2;26;21,9;73,8;49;1;
2015-03-04;null;6;0;32,1;26,3;21,8;77,5;61;1;
2015-03-05;null;,2;0;31,3;26,2;23,9;83;66;1;
2015-03-06;null;1,9;33,2;30,7;25,8;22,6;84,5;76;,7;
2015-03-07;null;3,7;0;30,3;25,1;21,3;79,3;65;1,7;
2015-03-08;null;3,8;0;31,2;24,9;20,8;82,5;58;1;
2015-03-09;null;4,5;0;32,1;25,3;22,5;91;85;1,3;
2015-03-10;null;5,1;10,2;32,4;24,6;22,1;79,8;53;2,3;
2015-03-11;null;6,9;1,6;33,5;24,6;21,6;79,3;53;1,3;
2015-03-12;null;9,3;5,2;33,7;25,8;20,6;73,5;50;2,7;
2015-03-13;null;3,5;1;30,6;25,4;22,8;84,3;72;1,7;
2015-03-14;null;4,5;0;32,5;26,6;23,7;85,3;70;1,3;
2015-03-15;null;3,4;0;32,3;25,2;22,5;84;63;1,7;
2015-03-16;null;7,5;25,2;33;25,6;21,5;80;68;1,3;
2015-03-17;null;5,4;13,2;30,3;23,7;19,5;76,8;62;1,7;
2015-03-18;null;4,3;0;28,9;24,1;20,7;74;66;1,3;
2015-03-19;null;3,8;0;30,4;23,4;19,5;78,3;58;1;
2015-03-20;null;6,2;1,9;30,2;24,5;20,3;80;60;2,3;
2015-03-21;null;3,5;0;30,4;23,7;21;82,5;61;2;
2015-03-22;null;0;9,6;21,8;20,6;20,1;91,5;82;1;
2015-03-23;null;1;,5;25,9;21,3;17,9;82;70;1;
2015-03-24;null;6,4;3,2;29,9;23,4;20,1;80,5;60;1,7;
2015-03-25;null;6,6;0;30,2;23,4;18,3;78,3;56;1;
2015-03-26;null;6,5;0;32,9;25,6;21,6;74,3;54;1,7;
2015-03-27;null;0;9,3;25;21,8;20,5;96,5;81;1,3;
2015-03-28;null;0;15,8;23,3;21,1;20,3;93,5;87;1;
2015-03-29;null;0;28,6;22;20,8;20,3;96,8;95;1;
2015-03-30;null;2,8;58,7;28,4;23,2;20,3;91,5;78;1;
2015-03-31;null;8,9;1,2;29,5;22,5;18,7;79;49;2,3;
2015-04-01;null;8,4;0;30,7;22,6;18;77;50;1,3;
2015-04-02;null;8,1;0;30,6;22,7;17,8;79,3;50;1,3;
2015-04-03;null;7,8;0;30,4;23,5;19,8;78,3;51;1;
2015-04-04;null;6,1;0;30;23,1;19,5;79;51;1;
2015-04-05;null;,1;,1;26,1;21,5;20,1;91,3;80;1;
2015-04-06;null;7,5;18,8;28,4;21,6;18,4;70,3;51;2;
2015-04-07;null;8,8;0;26,3;18,6;13,2;76;49;1,3;
2015-04-08;null;6,3;0;26,7;19,7;14,3;81,3;61;1,7;
2015-04-09;null;5,9;0;27,8;21,3;16,5;80,5;64;1,3;
2015-04-10;null;7,8;0;29,9;22,5;18,1;80;52;,7;
2015-04-11;null;8,6;0;30;22,1;18,4;81,3;52;1,3;
2015-04-12;null;6,7;0;30,7;22,6;18;76,5;47;1,7;
