Nome: IRAI
Codigo Estacao: 83881
Latitude: -27.189451
Longitude: -53.253338
Altitude: 255.39
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;98,6;null;null;19;null;75;2,1;
2015-01-02;null;null;null;null;null;null;null;null;null;
2015-01-03;null;null;null;null;null;null;null;null;null;
2015-01-04;null;null;null;null;null;null;null;null;null;
2015-01-05;null;null;null;null;null;null;null;null;null;
2015-01-06;null;null;null;null;null;null;null;null;null;
2015-01-07;null;null;null;null;null;null;null;null;null;
2015-01-08;null;null;null;null;null;null;null;null;null;
2015-01-09;null;null;null;null;null;null;null;null;null;
2015-01-10;null;null;null;null;null;null;null;null;null;
2015-01-11;null;null;null;null;null;null;null;null;null;
2015-01-12;null;null;null;null;null;null;null;null;null;
2015-01-13;null;null;null;null;null;null;null;null;null;
2015-01-14;null;null;null;null;null;null;null;null;null;
2015-01-15;null;null;null;null;null;null;null;null;null;
2015-01-16;null;null;null;null;null;null;null;null;null;
2015-01-17;null;null;null;null;null;null;null;null;null;
2015-01-18;null;null;null;null;null;null;null;null;null;
2015-01-19;null;null;null;null;null;null;null;null;null;
2015-01-20;null;null;null;null;null;null;null;null;null;
2015-01-21;null;null;null;null;null;null;null;null;null;
2015-01-22;null;null;null;null;null;null;null;null;null;
2015-01-23;null;null;null;null;null;null;null;null;null;
2015-01-24;null;null;null;null;null;null;null;null;null;
2015-01-25;null;null;null;null;null;null;null;null;null;
2015-01-26;null;null;null;null;null;null;null;null;null;
2015-01-27;null;null;null;null;null;null;null;null;null;
2015-01-28;null;null;null;null;null;null;null;null;null;
2015-01-29;null;null;null;null;null;null;null;null;null;
2015-01-30;null;null;null;null;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;null;null;null;
2015-02-01;null;null;0;34;null;null;76,5;71;2;
2015-02-02;2,4;5,9;,2;36;24,7;19;76;51;1,4;
2015-02-03;3,4;1,1;7,2;33;24,8;19;84,5;65;0;
2015-02-04;2;8,5;7,6;26;22,2;19,2;90,3;86;,8;
2015-02-05;1,4;7;11,2;30,2;22,9;20,6;82,3;60;,2;
2015-02-06;1,8;10,4;5,8;32;24,2;19;70,5;57;1,8;
2015-02-07;1,9;11,8;0;31,4;22,2;18;69;38;1,9;
2015-02-08;2;8,9;0;34,2;25,4;16,8;68,5;44;,9;
2015-02-09;2,4;8,4;0;35;26,8;21,2;81,3;75;,7;
2015-02-10;2,8;6,5;6,2;34,8;25,8;20;76,5;50;1,5;
2015-02-11;2,5;2;,2;31,2;26,1;21,4;85,5;74;,6;
2015-02-12;1,8;6,1;24,8;33,2;26,5;24;84,3;62;1,1;
2015-02-13;1,8;7,3;6,7;32,8;25,7;23;81,8;62;1,1;
2015-02-14;1,6;6,2;7,1;31,4;23,6;20,2;84,5;66;,9;
2015-02-15;1,4;10,3;1,4;31,8;25,4;20,8;75;54;1;
2015-02-16;1,7;9,1;0;31,8;25,4;19;73;56;,8;
2015-02-17;1,8;11,1;0;32;25,8;20;80,8;53;0;
2015-02-18;1,8;11,4;0;32,6;24,8;18,6;67,8;45;1,7;
2015-02-19;1,9;1,2;0;28,8;24;20,2;87,3;69;1,5;
2015-02-20;1,5;6;38;30;24,6;21,2;83,3;65;1;
2015-02-21;1,4;2,8;,2;31,8;24,3;20,2;90,5;84;,5;
2015-02-22;1,7;3,7;30,4;32;23;20;88;75;,9;
2015-02-23;1,8;2,3;21,6;28,6;24,4;19,4;80;75;1,3;
2015-02-24;1,6;6;0;32,6;24,4;19,8;78,3;57;,3;
2015-02-25;1,3;6;,6;35,6;26,5;19,6;75,8;42;,3;
2015-02-26;2,4;7,8;1,7;34,2;26,1;24;75,8;42;,5;
2015-02-27;2,2;3,4;,8;32,2;25,2;21,4;79;63;2,2;
2015-02-28;2;7,7;,6;33;25,4;19,8;76,3;54;,5;
2015-03-01;null;null;0;null;null;21;null;55;2,1;
2015-03-02;null;null;1,6;null;null;21;null;70;1;
2015-03-03;null;7,7;null;34;null;null;70;61;,5;
2015-03-04;null;null;2;null;null;22,2;null;75;3,3;
2015-03-05;null;null;null;null;null;null;null;null;null;
2015-03-06;null;null;null;null;null;null;null;null;null;
2015-03-07;null;null;null;null;null;null;null;null;null;
2015-03-08;null;null;null;null;null;null;null;null;null;
2015-03-09;null;null;null;null;null;null;null;null;null;
2015-03-10;null;null;null;null;null;null;null;null;null;
2015-03-11;null;null;null;null;null;null;null;null;null;
2015-03-12;null;null;null;null;null;null;null;null;null;
2015-03-13;null;null;null;null;null;null;null;null;null;
2015-03-14;null;null;null;null;null;null;null;null;null;
2015-03-15;null;null;null;null;null;null;null;null;null;
