Nome: CHAPECO
Codigo Estacao: 83883
Latitude: -27.13555555
Longitude: -52.66305555
Altitude: 654
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2017-01-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;,4;4,2;47,4;26;22;17,4;92;93;1,7;
2015-01-02;,8;,1;80,4;24,7;20,4;18;93,3;89;1;
2015-01-03;,7;7,6;1,3;27,6;23;17,4;77,3;66;1;
2015-01-04;2,2;11,7;0;30;25,1;19,6;71,3;57;1;
2015-01-05;3,4;9,4;0;30,6;24,7;20,2;76,5;63;1,3;
2015-01-06;2,8;12,1;0;30;25,7;21,1;73,3;67;1,7;
2015-01-07;3,2;6,2;0;30,2;24;21,4;87;76;2;
2015-01-08;1,9;4,5;5,2;31;23,9;21;84,5;73;2,7;
2015-01-09;1,9;9,5;11,8;31;24,1;20,2;78,5;60;2,3;
2015-01-10;2,5;6,4;4,9;30,4;23,5;20;89,3;80;2;
2015-01-11;1,4;10,4;6,6;30;24,9;19,2;73,5;66;1,7;
2015-01-12;2,8;8,2;5;31,6;23,5;20;82,3;62;1;
2015-01-13;2,9;9,9;0;32,3;24,1;19,4;75;56;2;
2015-01-14;3,2;9;1,3;32;23,4;19,6;77;51;1,3;
2015-01-15;2,4;6,3;7,7;28,6;23,8;18,8;79;71;1;
2015-01-16;2,2;9,3;0;31,8;23,4;19,8;81,8;62;1,3;
2015-01-17;2,6;2,6;14,8;29,8;22,6;19,4;91,5;82;,7;
2015-01-18;1,1;8,9;36,7;30,5;22,8;19,1;84,8;64;1,3;
2015-01-19;2,1;10,3;29,2;30,8;25,1;19,6;77,8;60;1,3;
2015-01-20;2,4;,2;,2;25,2;21,6;19,4;95,5;88;1;
2015-01-21;,6;8,8;10;26,6;21,9;18;74,8;63;2,3;
2015-01-22;3,3;11,9;0;28;22,8;17,2;68,3;60;2,7;
2015-01-23;3,5;8,2;0;28,6;23,2;18;71,8;69;1,3;
2015-01-24;2,9;8,8;0;29,8;24;19;71,8;59;,7;
2015-01-25;3;4,8;0;29,4;22,2;18,2;81,8;64;1;
2015-01-26;2;11,7;6;30,8;24,8;18,2;71,3;58;,7;
2015-01-27;2,9;5,9;0;29;23,4;20,4;82,5;67;1,3;
2015-01-28;1,9;6,3;19,5;28,7;22,6;20;86,3;69;2,3;
2015-01-29;1,7;3,5;12,9;25,7;20,5;18,1;83,8;75;3;
2015-01-30;2;4,9;6,6;23,8;19,7;15,2;84,5;77;2,7;
2015-01-31;1,5;9,6;0;30;23,9;18,6;77,3;67;1,7;
2015-02-01;2,8;8;0;29,8;23,3;20,1;81;65;2;
2015-02-02;2,3;11,1;,2;31,2;24,2;19;72,3;54;1;
2015-02-03;3,2;7;0;30;23,9;19,6;78,3;65;1,7;
2015-02-04;2,3;0;0;23;20,7;19,6;94,3;85;1;
2015-02-05;,5;8,6;23,8;27,2;22,2;17;76,5;67;1,3;
2015-02-06;2;9,3;0;27;21,8;16,2;78,8;59;2,3;
2015-02-07;2,6;12,4;0;27,4;22,2;17,4;62,5;47;1,3;
2015-02-08;3,8;12,1;0;31,2;24;16,5;66;51;1;
2015-02-09;3,8;8,9;0;31,3;25,2;21,1;70;62;1,7;
2015-02-10;3,4;9,2;0;31,4;25,4;20,4;75,5;59;2;
2015-02-11;3,5;3,8;0;28,5;24,9;21,5;84,5;79;1,3;
2015-02-12;1,2;5,5;18;30;24,3;20,8;92,8;86;1;
2015-02-13;1,3;3,7;56,3;29,9;22,9;18,6;85,3;68;1,3;
2015-02-14;1,2;1,4;,8;27;21,3;19,1;91;78;,7;
2015-02-15;1,2;11,2;20,5;27,1;22,7;18,1;73,5;64;2,7;
2015-02-16;2,8;8,8;0;27,2;22;16,9;74,3;68;1,7;
2015-02-17;2,6;8,5;0;27,7;22,3;17,7;76;66;1,3;
2015-02-18;2,2;5,4;0;27,7;22,1;17,5;79,8;71;1,3;
2015-02-19;2;2,1;0;25,6;21,6;19,6;91,3;85;1;
2015-02-20;1;5,2;4,1;27,2;22,3;18,4;80,8;70;2;
2015-02-21;1,5;2;0;26,7;22,1;19,2;91;81;1,3;
2015-02-22;,5;3,2;25,3;30,2;20,7;17,5;90;69;1,7;
2015-02-23;1,6;6,1;10,5;28,2;22;17,6;81;71;1;
2015-02-24;1,9;6,7;1,2;29,2;22,7;18;71,3;58;1,7;
2015-02-25;2,4;10,8;0;30,8;24,7;18,6;73,3;58;1;
2015-02-26;3;6,7;0;30,6;23,4;20,6;81;62;1,7;
2015-02-27;2,1;5,8;9;29,2;22,9;18,6;83,8;66;1,3;
2015-02-28;1,3;8,9;12,4;28;23,4;19,2;75,3;68;1,3;
2015-03-01;2,4;7,2;0;29,4;23,2;18,2;70,8;61;1;
2015-03-02;2,8;9,8;0;30,3;23,7;17,6;67,3;52;1,3;
2015-03-03;3,4;7,1;0;30,9;24;20;75;59;1;
2015-03-04;2,6;6,6;3;30;23,3;20,4;85;71;1;
2015-03-05;1,7;2,3;58,2;27,3;23,1;19,8;86,8;74;,7;
2015-03-06;1;4,6;,2;28,4;24,2;21,1;83;67;1;
2015-03-07;1,7;2,8;0;27,7;24,1;20,5;78,5;69;1;
2015-03-08;2;5,8;0;28,2;22;18,6;88;74;1,3;
2015-03-09;1,4;9,2;20,8;28,2;21,4;17,4;77,3;59;1,3;
2015-03-10;2,2;6,2;0;27,6;21;17;85,8;66;1;
2015-03-11;1,6;7,1;0;25,6;21;17,2;84,8;71;1,3;
2015-03-12;1,6;11,1;0;29,2;22;16,6;68;45;1;
2015-03-13;3,7;9,7;0;30;23,2;16,8;70,5;53;1;
2015-03-14;2,7;8,9;0;30,8;23,2;19,2;76;49;,7;
2015-03-15;2,5;10,6;2,6;29,4;23,3;18,2;77,8;59;1;
2015-03-16;2,3;7,6;0;28,6;23,6;19,2;76,8;65;1;
2015-03-17;2,5;10,9;0;29,6;24;18,6;68,5;61;1;
2015-03-18;3;8,2;0;28,8;23,5;18,6;68;62;1;
2015-03-19;3;10,6;0;28,7;22,7;17,6;64,3;53;1;
2015-03-20;3,1;9,6;0;28,2;23,2;18,2;68;52;1;
2015-03-21;3,1;3,6;6,3;27,1;20;17,3;86;64;1;
2015-03-22;1,1;2;12,6;22;18,2;15,8;85;74;,7;
2015-03-23;1,6;10,3;0;26,2;20;13,8;76;60;,7;
2015-03-24;2,4;10,2;0;29,2;22,2;16;65;50;1;
2015-03-25;3,2;10;0;29,4;22,7;17,2;66,8;51;1;
2015-03-26;3,4;2;0;28,2;21,3;18,6;80,3;59;1;
2015-03-27;2,2;0;2,2;20,4;19,4;18,4;95,3;94;,7;
2015-03-28;,3;1,7;23;23,6;20,4;18,6;94,8;85;1;
2015-03-29;,5;1,5;4;24,8;21;18,6;91;82;1;
2015-03-30;,7;6,6;9,3;24,4;19,7;18;86;68;1;
2015-03-31;1,5;9,9;0;25,5;19,5;14,6;80,5;58;1,3;
2015-04-01;1,8;10,7;0;26,5;20,4;14,8;74,8;55;1;
2015-04-02;2,4;10,8;0;28,3;20,7;14,6;64,5;50;1,3;
2015-04-03;3,1;10,8;0;29;22;15,8;68,5;50;1;
2015-04-04;3,3;5,1;0;27,6;22,6;17,6;73,5;60;1,3;
