Nome: CAMPOS NOVOS
Codigo Estacao: 83887
Latitude: -27.38388888
Longitude: -51.21611111
Altitude: 962.86
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2017-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;,4;1,4;63,9;23,1;20,6;17,3;94,3;96;1;
2015-01-02;,6;,6;30,6;21,8;18,7;17;91,8;83;2;
2015-01-03;,7;8,5;0;27,1;20,4;14,9;83,3;59;3,7;
2015-01-04;1,5;7,5;0;27,6;22;17,1;76;62;1,3;
2015-01-05;2;10,9;0;25,5;20,9;16,4;80;66;5;
2015-01-06;2,5;10,4;0;29,1;23,2;18;75,3;51;2,3;
2015-01-07;2,6;8,7;0;28,7;23,1;19,4;76,8;57;1,3;
2015-01-08;2,4;2,5;4;27,9;21,2;17,8;86,5;62;1,7;
2015-01-09;1,5;10,1;8,3;28,5;22,4;18,1;78,8;57;4,3;
2015-01-10;3,2;4,1;1,3;27,7;21,8;18,1;88,8;81;1;
2015-01-11;1,3;7,4;,1;28,8;21,8;17,4;81,3;63;1,3;
2015-01-12;2;8,5;3,9;29,5;23,8;18;70,5;56;1,7;
2015-01-13;3,5;7,7;1,4;30,5;22,3;18,2;84,5;67;1;
2015-01-14;2,4;9,6;17,5;29,6;21,4;17,6;80,8;54;2,3;
2015-01-15;3,1;6,9;1;27,4;21,4;17,6;85,5;65;1;
2015-01-16;1,6;8,4;1,4;29,4;21,5;17,5;81,3;54;1,7;
2015-01-17;2,1;5,2;24,3;28,3;21,1;17,8;93;76;2,3;
2015-01-18;1,2;6,2;57,2;27,9;21,2;17,3;90;81;2;
2015-01-19;1,3;10,3;55,1;28,7;23,3;17,8;72,8;59;1,3;
2015-01-20;2,9;1,4;0;26,5;21,3;18,4;86,8;75;1,3;
2015-01-21;,9;8,6;21,4;25,3;19,9;17,1;77,8;68;2,3;
2015-01-22;2;11,2;0;24;18,9;16;76,8;58;6;
2015-01-23;3;11,2;0;24,7;19,1;14,6;73,3;65;3;
2015-01-24;2,5;10,3;0;28,4;21,6;15;69,8;54;2;
2015-01-25;2,4;,8;2,9;24,8;19,2;16;92,5;75;1,3;
2015-01-26;,9;10,7;32,4;28,3;22,6;15,6;71;54;1;
2015-01-27;2,2;6,1;0;26,9;22,1;18,2;88,5;74;1,3;
2015-01-28;1,5;8;1,2;27;22;18,6;83,8;69;2,3;
2015-01-29;1,8;6,6;1,1;24,7;19;16,2;83,8;72;3,7;
2015-01-30;2;0;3,4;18,9;16,8;12,8;86,8;81;5,7;
2015-01-31;1,3;4,5;0;22,6;18,8;15,2;90,8;82;5,7;
2015-02-01;1,4;4,9;3,5;24,7;20,2;17,5;91,5;83;1,7;
2015-02-02;1,2;11,6;,1;28,2;22,9;16,4;71;55;,7;
2015-02-03;2,6;9,8;0;29,2;20,4;15,2;81,8;53;1;
2015-02-04;1,7;,8;6,6;22,6;18,7;15,8;96,5;94;3,7;
2015-02-05;,7;6,4;12,2;24,5;18,4;16,2;85;72;,7;
2015-02-06;1,2;8,8;10,6;25;18;12,6;84,8;65;,7;
2015-02-07;1,5;12,2;1,3;25,1;19,6;13,8;67,5;55;1;
2015-02-08;2,9;11,6;0;28,2;20,9;12,5;71,8;49;2,7;
2015-02-09;2,5;4;0;27,1;20,3;17,4;85;54;1;
2015-02-10;1,6;8,7;4,5;29,1;22,8;16,5;78,3;59;1,3;
2015-02-11;2;7,7;0;26,8;23,2;19,8;87,5;83;,3;
2015-02-12;1,5;8,2;3,8;27,9;22,8;20;88;75;1,3;
2015-02-13;1,5;4,4;40,1;27;21,4;18;87,8;61;,3;
2015-02-14;1,3;2,9;,5;24,9;20,1;18,6;87,3;76;4,7;
2015-02-15;1,3;7,3;0;24,5;18,5;16,2;87,3;65;3;
