Nome: LAGES
Codigo Estacao: 83891
Latitude: -27.802108
Longitude: -50.335567
Altitude: 952.73
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2017-04-02
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;,7;1,4;26,6;24,8;20,7;16,2;91,5;82;2,7;
2015-01-02;1,2;,3;19,3;22;19,2;16;88,5;88;2,3;
2015-01-03;1,2;6,2;,1;25,4;19,1;14,3;85,3;75;2,7;
2015-01-04;2,3;7,6;0;28,4;20,3;15,2;83;64;2;
2015-01-05;2,5;6,1;0;25,4;20,1;14,8;87,3;78;3,7;
2015-01-06;3,3;10,2;0;28,8;21,8;14,8;85;67;3;
2015-01-07;2,7;9,7;,9;30,8;22,8;18,6;83,5;61;2,7;
2015-01-08;2,8;4,8;7;29,6;21,7;17,2;87,8;64;1;
2015-01-09;2,5;9,8;18,2;30;23,2;16,8;73;62;4,7;
2015-01-10;3,5;6,1;4;29,6;22,7;17,4;84,8;72;2;
2015-01-11;1,7;7,5;8,6;30;22,3;17;86,5;74;2,3;
2015-01-12;2,8;6,5;,2;30,2;24;17;77,5;60;2,7;
2015-01-13;3,8;6,6;0;29,4;21,4;17,4;85,5;67;2,3;
2015-01-14;1,8;7,6;12,5;29,8;21,2;16,4;82,5;62;1,7;
2015-01-15;3,6;5,4;0;28,2;20,6;16,8;87,5;66;1;
2015-01-16;1,8;7,6;3,5;29,6;22,9;16,2;81,8;62;2,3;
2015-01-17;3,4;3,8;6,5;28,4;20,5;16,6;89,3;78;2;
2015-01-18;1,3;7,5;27,5;28,8;21,4;15,2;85,8;61;2,3;
2015-01-19;1,7;10;8,3;29,4;23;17;79;62;1;
2015-01-20;3,3;1,5;0;27,2;21,2;17;91;82;1;
2015-01-21;1,4;5,5;15,5;25,4;19,6;14,5;79,3;74;1,3;
2015-01-22;1,6;11,5;1,1;24,6;18,3;11,5;74,3;65;3;
2015-01-23;3,9;11;0;25,7;18,3;11,9;79;63;3,3;
