Nome: FLORIANOPOLIS
Codigo Estacao: 83897
Latitude: -27.6025
Longitude: -48.62027777
Altitude: 4.64
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2020-03-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,3;8,1;1;37;28,5;24,1;71,5;53;null;
2015-01-02;5,7;3;1;28,1;24;21,3;85;76;null;
2015-01-03;4,7;,6;5;28,1;23,9;20,1;74,5;71;null;
2015-01-04;3,4;9,9;0;31;26;20,7;73;64;null;
2015-01-05;3,4;5,8;0;29,6;25,7;21,7;77,8;66;null;
2015-01-06;3,8;11,2;,6;29,6;26,7;23,5;80;73;null;
2015-01-07;3,8;8,5;0;30,8;27,7;24,9;77;70;null;
2015-01-08;4;7,1;28,6;36;28,1;24,1;79,5;67;null;
2015-01-09;2,5;8,9;14,8;35;27,3;22;74,8;60;null;
2015-01-10;4,1;3,1;5,4;33,9;27,3;24,1;80,3;60;null;
2015-01-11;2,8;10,7;,4;33,3;28,4;23;64,3;58;null;
2015-01-12;4,1;11,8;4,5;38;30,2;23,4;68,8;61;null;
2015-01-13;6,6;11,1;2,4;33,6;29;24,5;72,8;53;null;
2015-01-14;6,4;3,4;0;34,4;29,1;23,9;61;61;null;
2015-01-15;5,8;8,4;1,8;31,2;25,9;23,1;82,5;60;null;
2015-01-16;4,1;12,1;12;32,6;27,7;21,7;75,8;65;null;
2015-01-17;5,5;5,4;,4;34,8;26,7;23,1;81,5;62;null;
2015-01-18;4,2;9,6;9,2;31;25,4;22,3;83,3;73;0;
2015-01-19;2,8;8,9;24,2;32,4;26,2;22,7;80,5;66;null;
2015-01-20;3;5,8;15,8;32,1;25,4;22;86,3;77;null;
2015-01-21;2;,6;17,4;28,8;24,2;20,7;80;71;null;
2015-01-22;4;,7;10,2;25,8;23,6;21,9;79,3;71;null;
2015-01-23;4;11,9;,2;29,2;25,1;19,7;68,3;54;null;
2015-01-24;4;11,6;0;31,2;25,5;19,7;71,5;60;null;
2015-01-25;3,8;5,7;0;31;26,1;23;73,3;70;null;
2015-01-26;3,3;10,4;10,2;33,4;27,5;21,1;72,8;61;null;
2015-01-27;4,1;9,1;0;31,7;27,8;22,7;78;71;4,3;
2015-01-28;3,1;6;0;32,1;27,4;23,7;81,5;72;5,3;
2015-01-29;2,5;5,8;15,1;36,4;27,5;23,7;67,3;42;3,8;
2015-01-30;6,8;0;1,4;25,6;22,3;20,3;81,8;73;5,8;
2015-01-31;1,5;0;4,4;26,2;23,1;20,1;78,8;70;null;
2015-02-01;2,2;4,8;2,1;29,6;25,5;20,5;74;62;null;
2015-02-02;3;8,1;1,2;31;26,3;22,1;75,5;60;null;
2015-02-03;3,5;6,2;,6;30,2;25;22,1;90,8;80;null;
2015-02-04;2,1;6,2;25;29,4;24,7;21,9;85;70;5;
2015-02-05;1,7;6;10,1;27,8;24,5;21,1;77,8;72;5;
2015-02-06;2,5;10,4;,6;27,8;24,9;20,7;68,3;65;3,4;
2015-02-07;4,4;10,8;0;29,4;24,7;19,1;68,5;58;2,1;
2015-02-08;4,3;11,2;0;29,2;26,2;21,9;71,3;65;3,1;
2015-02-09;4,5;7,9;0;30,8;26,5;22,5;79,3;71;3,9;
2015-02-10;4,7;10,7;,1;31,4;27,6;24,3;76,3;66;1,6;
2015-02-11;4,3;8,5;0;32,2;26,5;23,2;83,8;69;1,1;
2015-02-12;3,3;9,6;40,6;35,5;28,3;22,8;80,3;71;3,3;
2015-02-13;2,9;3,1;7;31,4;26,2;23,9;86;71;2,8;
2015-02-14;1,8;0;11,4;25,5;23;21,5;92,5;88;1,8;
2015-02-15;1,6;1,1;40;26,4;24,5;22,5;74,8;67;3,8;
2015-02-16;2,1;9,3;,3;29,8;24,9;19,7;75,3;63;2,6;
2015-02-17;1,6;2;0;28,2;23,3;20,9;88,8;80;1,7;
2015-02-18;4;4,3;10;28,8;24,8;21,1;83,3;77;,7;
2015-02-19;1,6;9,9;0;30,6;26,5;20,7;75,3;68;1,4;
2015-02-20;3,4;3,7;7,5;31,4;27;22,8;81;75;4,3;
