Nome: CRUZ ALTA
Codigo Estacao: 83912
Latitude: -28.6261111
Longitude: -53.61388888
Altitude: 475.52
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-02
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1,3;0;19,7;24,5;19,5;18;97,5;93;2;
2015-01-02;1;3,1;54,9;23,5;19,2;15,8;91,8;89;1,7;
2015-01-03;2;9,7;0;27;21,5;16;86,8;79;1,7;
2015-01-04;4,5;12,7;0;30;24,2;18;82,3;75;1,3;
2015-01-05;6,9;11;0;32,5;24,1;18,4;89,5;80;2;
2015-01-06;4,4;11,9;,2;33;26,4;21;86;80;1,7;
2015-01-07;4,4;2,9;,1;30,5;24,9;22,2;92,8;86;2,3;
2015-01-08;2,6;,1;6,4;27;23,3;21,6;97,5;97;1,7;
2015-01-09;1,1;7,3;43,9;31,8;24,3;21,2;94,8;87;1,3;
2015-01-10;1,8;3,5;38,2;31;23,5;21;96,3;87;1,3;
2015-01-11;1,5;6;5,4;29,5;23,9;19,6;95,3;92;1,3;
2015-01-12;2,2;7,8;1,6;32;24,8;20,4;91,5;84;2;
2015-01-13;3,3;12,2;0;34;27,4;20,8;87,3;78;1,7;
2015-01-14;5,2;6,2;,3;31;24,4;21,4;94;87;2;
2015-01-15;2;6,1;36;28;22,7;19,8;88,3;79;2,3;
2015-01-16;2,8;6,9;0;31,5;23,7;19,2;90,8;80;1,7;
2015-01-17;2,3;4,6;12,4;30,5;24,7;21;92,8;86;1,7;
2015-01-18;1,9;6,7;2;29,5;23,3;21,2;94,3;88;1,3;
2015-01-19;1,8;12;7,9;32;26,2;20,2;88,3;82;1,3;
2015-01-20;3,4;2,3;18,7;28;22,2;19,4;95,3;88;2;
2015-01-21;1,3;12,3;2,2;26,5;21;17,2;87,3;81;3,7;
2015-01-22;4;12,5;0;27,5;21,2;16;84,3;80;4;
2015-01-23;5;9,5;0;30;22,9;16,6;85;74;2;
2015-01-24;3;8,2;1,1;30,5;22,1;18,8;90;80;2;
2015-01-25;3,2;12,1;15,3;30,5;23,7;16,8;90;84;1,3;
2015-01-26;3;11,8;0;31,5;25,9;20,2;89;80;1,3;
2015-01-27;3,5;9,6;0;32;24,8;21,6;89,3;76;1,7;
2015-01-28;2,9;8,2;16;29,5;24,4;21,2;90,3;80;1,7;
2015-01-29;2,1;1,4;16,4;23,5;20,1;18,8;93;90;2,3;
2015-01-30;1,5;11,4;6,3;26;20;15;84,3;75;3,3;
2015-01-31;3,8;7,4;0;28;21,7;16,4;88;82;2,7;
2015-02-01;2,6;11,6;,2;32,5;25,2;19,2;88,3;79;2,7;
2015-02-02;2,6;10,8;0;33;26,1;19,6;81,3;70;2,7;
2015-02-03;3,8;7,8;0;31,5;23,7;20,8;93,5;81;1,7;
2015-02-04;2,1;1,9;3,6;25,5;21,5;19,8;94,5;92;2,3;
2015-02-05;1,4;11,9;3,2;29;22,6;17,4;82,5;77;2,3;
2015-02-06;3,7;11,6;0;28,5;22,7;17,6;84,5;74;2,7;
2015-02-07;4;11,8;0;28;22;16,8;81;75;2;
2015-02-08;4,3;11,9;0;31,5;23,9;15,8;80,8;66;1,7;
2015-02-09;4,5;11,2;0;32,5;25,2;21;80,3;67;2,7;
2015-02-10;4,1;8,4;0;32,5;24,3;21;87;64;2;
2015-02-11;2,7;4,6;19,8;29;24,4;21;94;92;1,7;
2015-02-12;2;7,6;0;30;24,7;21;91,8;81;1,3;
2015-02-13;2,5;10,3;0;30,5;24,9;20,2;80,5;68;2;
2015-02-14;4,3;11,6;0;29;22,8;19,2;86,5;76;3,3;
2015-02-15;3,7;11,6;0;28,5;22,4;18;84,8;71;3,7;
2015-02-16;4;7,7;0;28;22;16,6;85,3;76;2,3;
2015-02-17;3,5;10,1;0;29,5;23,1;17,4;84,5;75;2,3;
2015-02-18;4;9,9;0;30;24;18,2;84,3;79;3;
2015-02-19;3,5;4,3;0;27,5;22,9;20,2;94,8;85;1,3;
2015-02-20;1,4;8,4;8,7;26,5;21,3;19,6;94;84;2,7;
2015-02-21;1,8;11,2;0;31;22,6;18,2;91,8;82;2,3;
2015-02-22;2,6;1;11;22,5;19,9;18,4;97,5;96;2;
2015-02-23;,5;3,2;91,3;25,5;21,3;17,4;93,8;89;1,3;
2015-02-24;1,1;8,1;6,8;29;22;18,8;92,3;84;2;
2015-02-25;1,8;7,5;7,4;29,5;24;17,6;88,5;87;1,3;
2015-02-26;2,8;9,5;0;32;24,8;19,6;89;78;2,3;
2015-02-27;3,2;5,4;0;29,5;24;20,4;88,3;79;2,3;
2015-02-28;2,3;11,4;0;28,5;22,4;17,6;84,8;74;2,7;
2015-03-01;4,4;3,8;0;29,5;23,9;17,4;89,8;80;1,3;
2015-03-02;2,6;6;0;29;23,8;20;90,3;80;1,7;
2015-03-03;3,7;11,1;0;32,5;24,7;19,8;86,5;77;2;
2015-03-04;3,8;,9;17,9;28,5;22,9;21,2;97;91;1,7;
2015-03-05;1,1;5,2;35;30;24,4;20,8;93,5;89;1,3;
2015-03-06;1,8;9,5;0;30;23,8;21;89;78;2,3;
2015-03-07;3,6;8,1;0;30,5;23,5;19,4;89,3;82;2,7;
2015-03-08;3,4;8,2;0;30,5;23,2;17;84,8;82;2;
2015-03-09;3,1;11,1;,9;31;23,9;18,6;80,5;71;2,3;
2015-03-10;4,2;10,1;0;29;22,8;18,8;88,3;80;2,3;
2015-03-11;3;8;1,1;28;21,8;17;86,8;77;2;
2015-03-12;3,8;9,3;0;29;21,4;16,6;85,3;73;2,3;
2015-03-13;4;11,1;0;32;23,5;16;81,3;75;2,7;
2015-03-14;4,7;7,6;0;32;24,5;19,6;85,8;79;2,3;
2015-03-15;4;7,3;,4;30;24;20;90,3;82;1,3;
2015-03-16;2,1;8,5;5,5;31;23,5;18,4;84,8;73;2,3;
2015-03-17;4,6;10,6;0;31,5;23;17,6;81,8;72;2,3;
2015-03-18;5,1;10,1;0;33;24,1;17,4;80,5;73;2;
2015-03-19;4,8;10;0;33;25,1;18,2;74,5;70;2;
2015-03-20;5,7;8,6;0;32,5;23,6;18,8;83,5;71;2;
2015-03-21;4,5;9,6;0;29;21,6;18,8;83,3;66;2,7;
2015-03-22;1,8;10,5;0;23,5;17;13;80,5;65;3,3;
2015-03-23;10,8;10,5;0;28;19,3;12;83,3;72;2,7;
2015-03-24;4,2;9,4;0;30,5;22,4;15,6;81;68;2,3;
2015-03-25;5;8,8;0;31,5;24,1;17,2;75,5;55;1,3;
2015-03-26;5,2;0;0;25,5;20,3;18,2;97;80;1,3;
2015-03-27;,6;1,2;18,1;24;19,3;17,2;93,3;87;2;
2015-03-28;1,7;,6;0;22,5;19,2;16,6;91;86;2,3;
2015-03-29;1,5;4,3;0;26,5;20,4;16,8;94,8;85;2;
2015-03-30;1,5;6,1;36,1;25;19,6;17;92,3;81;1,7;
2015-03-31;2,5;9,4;0;28;21;15,2;83,3;75;2;
2015-04-01;4,2;10,1;0;29;21,4;15,6;79,5;69;2;
2015-04-02;4,5;10,2;0;30,5;21,9;16;75,8;71;2;
2015-04-03;5,6;10,3;0;31,5;22,9;16;81;71;1;
2015-04-04;5,9;,7;0;29;21,2;18,4;89,3;76;2;
2015-04-05;2,5;,6;87;20;17,3;16,4;95;92;2;
2015-04-06;,5;8,7;31;23;17,5;14,4;87,3;64;3;
2015-04-07;3,1;9,9;0;24;16,4;11,8;84,5;69;2,7;
2015-04-08;4,9;9,9;0;27,5;19,7;12,8;88,3;75;2,3;
2015-04-09;3,8;10;0;29;21,6;15,2;86,3;81;2,3;
2015-04-10;4;10,4;0;30;21,9;16,2;73;64;1,7;
2015-04-11;4,8;10,3;0;31;22,4;15,8;75,3;61;2;
2015-04-12;4,9;8,9;0;28,5;21;16,2;80,8;63;2,3;
2015-04-13;3,8;7,8;0;30,5;21,9;16;79;62;2,7;
2015-04-14;3,7;1,5;0;24,5;20,5;18;95,5;81;1,7;
2015-04-15;1,1;4,6;,5;27,5;21,2;17,4;92,5;86;2;
2015-04-16;2;4,1;1;27,5;21,1;17,4;89;78;3;
2015-04-17;3,3;2,5;0;27,5;20,2;17,4;91;79;2,3;
2015-04-18;2;8,3;20,1;25,5;19,7;16,6;91;88;1,7;
2015-04-19;2;7;0;28;20,9;14,2;92;80;1,7;
2015-04-20;2,2;,6;36,2;23,5;20,2;18,4;100;95;1,7;
2015-04-21;,3;7,7;50,4;23,5;19;17,2;91,5;86;3,3;
2015-04-22;2,3;1,3;0;19,5;16,3;14;92,8;88;3,7;
2015-04-23;1,7;6,2;1,2;25,5;18,6;15,4;94;86;2,3;
2015-04-24;1,5;3,8;0;22,5;17,6;15,2;91,8;87;1;
2015-04-25;1,5;9,2;0;23,5;17,4;13,2;88,5;80;2,7;
2015-04-26;2,6;10,1;0;27,5;18,8;12,2;85,3;78;2;
2015-04-27;3,5;10,3;0;27;18,8;12,8;81,5;72;1,7;
2015-04-28;3,3;9,9;0;25;17,6;13,6;86,8;69;2,3;
2015-04-29;3,7;10,3;0;23,5;16,8;13;87,8;75;3,3;
2015-04-30;4,3;5,4;0;25;17,8;13,4;90;84;2;
2015-05-01;2;8,4;0;26,5;18,2;12,6;90,3;81;1;
2015-05-02;3,2;0;0;23;18,8;15,4;89;80;3,7;
2015-05-03;3,5;1,1;25,1;19;17,1;15,4;96,5;92;2,7;
2015-05-04;,8;10,3;9,5;19;11,7;8;85,3;78;2;
2015-05-05;2,8;9,8;0;21;12,8;6,6;85;72;2;
2015-05-06;3,4;9,6;0;24;14,4;8,8;86;79;2;
2015-05-07;3,6;8,3;0;17,5;11,9;8,4;86,5;79;3;
2015-05-08;3,5;2,6;0;22,5;15,1;9,4;93,8;85;1,7;
2015-05-09;2,4;4,6;0;23,5;16,7;11,2;94;88;1,5;
2015-05-10;1,6;,7;12;20;16,4;14,4;97;92;1;
2015-05-11;1,1;5,5;0;19;14,9;13,4;87;84;2,7;
2015-05-12;1,4;8,9;,2;20,5;14,8;11,6;91,3;81;3;
2015-05-13;2,5;5,8;0;22,5;16,3;11,4;91,8;86;1,7;
2015-05-14;2,4;5,2;0;23,5;17,5;13;92,5;87;1,3;
2015-05-15;2,4;7,8;0;26;19,2;14,8;90,5;80;1,7;
2015-05-16;2,9;0;2,6;20;17,3;16,2;98;93;1,3;
