Nome: PASSO FUNDO
Codigo Estacao: 83914
Latitude: -28.2286111
Longitude: -52.41194444
Altitude: 684.05
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1,3;1,7;61,2;22,7;20;18;94;93;3,5;
2015-01-02;,8;2,1;65;23,3;18,7;16,6;86,3;75;2,2;
2015-01-03;2;10,4;,4;27,4;21;14,3;70,8;59;2,3;
2015-01-04;4,8;11,1;0;28,4;22,5;17,1;62,8;48;2,2;
2015-01-05;7;10,3;0;29;23,4;18,6;71,3;61;4,1;
2015-01-06;4,6;12,5;0;30,5;24,7;19,8;67,8;57;2,3;
2015-01-07;5,4;7,1;0;29,8;24,2;20,7;78,5;62;3,2;
2015-01-08;3,2;4,1;9,4;29,8;23,1;19,6;85,8;64;2,6;
2015-01-09;3;8,7;2,8;30,2;22,9;19,4;83,3;63;3,9;
2015-01-10;4;2,9;23,2;29,2;22,2;19,5;89,3;80;3,2;
2015-01-11;2,5;6,3;29,2;29,6;22,5;18;84;61;4;
2015-01-12;3,2;6;4,4;30,6;24,2;20;78,5;66;3,2;
2015-01-13;4,3;5,9;0;31,5;24,4;19,9;70;52;4,2;
2015-01-14;5,5;7,9;0;31,5;22,8;19,3;81;59;5,4;
2015-01-15;3,5;1,5;14,6;25,5;21,5;19,7;84,8;72;2,4;
2015-01-16;2,4;4,5;9,4;30;22,8;18,3;82;60;3;
2015-01-17;3,1;,9;11,2;26,8;21,5;18,6;87,5;78;3,5;
2015-01-18;1,5;2,7;21,4;26,9;21,6;17,7;91,8;88;1,6;
