Nome: LAGOA VERMELHA
Codigo Estacao: 83916
Latitude: -28.22249999
Longitude: -51.51277777
Altitude: 833.73
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-02
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;,5;1,3;37;22,5;20,1;17,9;94,5;96;null;
2015-01-02;,7;3,4;41,5;23;18,8;16,9;91;78;null;
2015-01-03;1,8;10,4;3,3;27,7;20,5;14,4;70,5;53;null;
2015-01-04;3,7;9,8;0;29,4;22,6;17,3;60,5;45;null;
2015-01-05;6,6;9,5;0;28,5;23,1;17,7;69,8;57;null;
2015-01-06;4,5;11,3;0;31;24,9;19;67;52;null;
2015-01-07;4,7;7,3;0;31,8;24,4;20,6;78,8;60;null;
2015-01-08;3,4;2,7;0;29,7;21,8;18,6;86,8;64;null;
2015-01-09;1,9;6,1;3,9;31;22,6;18,3;81,3;56;null;
2015-01-10;2,9;5;13,1;29,1;21,7;18,1;90;74;null;
2015-01-11;1,6;6,8;14;29,5;21,9;17,4;87,3;62;null;
2015-01-12;2,5;6,5;4,6;30,4;23,8;18,4;77,8;59;null;
2015-01-13;3,3;8,3;0;32,3;22,6;18,6;78,5;47;null;
2015-01-14;4,7;8,3;20,9;31,3;22,2;17,6;81,3;60;null;
2015-01-15;2,6;2,5;9,7;27,5;21,1;18,5;91,8;86;null;
2015-01-16;1,7;7,3;5;30,3;22,9;17,5;78,5;54;null;
2015-01-17;1,9;1,9;4;28,6;21,2;18,3;93;88;null;
2015-01-18;,6;5,6;10,2;28,2;21,9;16,4;83,3;74;null;
2015-01-19;,8;9,8;,4;30;23,8;17,6;72,3;60;null;
2015-01-20;,9;0;0;29,5;21,5;19,1;91,3;75;null;
2015-01-21;,5;9,7;14,2;23,9;18,8;14,5;82;73;null;
2015-01-22;,7;9,2;0;27;19,1;12,6;67,8;54;null;
2015-01-23;,9;8,8;0;26,2;20;13,2;65,3;56;null;
2015-01-24;,9;7,7;0;29;21,5;15,6;69,3;56;null;
2015-01-25;,7;6,5;7,8;27,5;21,3;15,6;82;73;null;
2015-01-26;,6;11,3;1,3;29,5;23,3;16,9;72;57;null;
2015-01-27;3,4;5;0;29,5;22,8;18,6;80;65;null;
2015-01-28;2,6;5,6;0;28,5;22;19,2;89,5;77;null;
2015-01-29;2;,1;15,3;24,5;18,7;16,1;83,5;73;null;
2015-01-30;2,1;1,1;,2;20;16,8;13,5;90;84;null;
2015-01-31;1,2;5,9;,2;24,4;19,5;15,2;84,8;78;null;
2015-02-01;,8;5,7;1,5;26,1;19,8;16,6;89,3;87;null;
2015-02-02;,6;8,3;20,1;29,3;23,4;17,4;73,8;64;null;
2015-02-03;,8;9,9;2;30,2;21,5;16,6;78,8;54;null;
2015-02-04;,7;2;7,5;24,7;18,5;16,1;94,8;89;null;
