Nome: BOM JESUS
Codigo Estacao: 83919
Latitude: -28.66944443
Longitude: -50.44194444
Altitude: 1047.5
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-02
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1;0;10,6;21;19,9;17,8;89,3;83;3,6;
2015-01-02;1,4;1,5;32,6;20;17,2;16,2;94;91;3;
2015-01-03;,4;9,2;,4;25,4;17,6;12,6;86,5;62;1,7;
2015-01-04;2;10;0;26,6;19,6;15,2;73,5;50;1,2;
2015-01-05;3,6;10,8;0;28;20,7;14,2;78,3;67;1,5;
2015-01-06;3;10,3;0;30;23;17,2;75,8;59;2;
2015-01-07;3,8;7,6;0;30;23;19,2;85,5;70;1,4;
2015-01-08;2,8;3,5;,6;28;22;19;89,5;79;1,7;
2015-01-09;1,8;8;50,4;28,2;22;17,6;86;78;2,9;
2015-01-10;2,8;9,1;5,4;27,6;21,4;18;83;75;1,9;
2015-01-11;1,6;5,3;7,2;29;21,9;17,2;88,3;78;1,3;
2015-01-12;2,8;10,6;,6;29,2;23,5;18,4;78,5;62;1,7;
2015-01-13;3,8;8,9;1,6;30;24,1;19,4;74,5;61;2,1;
2015-01-14;3;7;3;29,6;21,2;18;83,5;57;3,7;
2015-01-15;3;,3;4,1;23,4;19,5;18;93,3;92;3,1;
2015-01-16;,9;7,1;8,5;28,6;21,7;16,4;81,8;62;1,6;
2015-01-17;2,5;2,1;,2;26,6;21;18,2;92,3;77;3,3;
2015-01-18;1,5;0;6;24,6;20,4;17,4;90,3;84;2,1;
2015-01-19;1,1;11,2;4,5;28;22,4;17,6;76,3;63;1,8;
2015-01-20;3;,5;,2;26;21,2;18,2;86;82;1,1;
2015-01-21;1,6;2,2;4,6;20,6;17,1;14;88,3;80;2,4;
2015-01-22;1,8;11,3;,6;22,4;16,6;12,8;80,3;67;3,4;
2015-01-23;3,2;11,2;0;24,6;17,4;11,8;81,3;69;2,4;
2015-01-24;1,8;8,9;0;27;19,6;13,8;76,3;47;1,3;
2015-01-25;2,8;8,7;,6;25,2;19,6;13,8;81,5;66;1,9;
2015-01-26;,8;11,6;0;29,6;22,2;16,2;77,5;57;1,1;
2015-01-27;4;7,8;26,8;29;21,4;18,4;81,3;64;1,1;
2015-01-28;2,4;5;2,8;26,8;20,7;15,8;87,8;75;1,5;
2015-01-29;2;,7;17,5;21,6;16,7;14;92,8;91;2,1;
2015-01-30;1;1,1;10,5;18,4;14,9;13;94;84;2,1;
2015-01-31;1,4;,4;1;22,6;17,2;12,6;89,5;84;1,8;
2015-02-01;1,2;4,9;,6;26;19,8;15,6;84,8;70;1,5;
2015-02-02;1;9,2;,9;28;21,8;16,2;79,8;66;1,3;
2015-02-03;2,8;7,8;0;27,6;19,6;16,2;83,5;65;,8;
2015-02-04;2,1;4;18,8;25,6;18,9;14,2;86,3;78;1,8;
2015-02-05;1,5;9,3;0;24,4;17,9;14,8;82,3;63;2,4;
2015-02-06;2,6;9,9;0;23,2;18,3;14,8;79,3;70;1,6;
2015-02-07;2,2;11,6;0;23,2;16,7;9,6;76,5;64;1,1;
2015-02-08;2,2;11,2;0;27;19,6;12,6;79;59;1,1;
2015-02-09;2,5;6,3;0;25,4;20,9;17,4;84,3;77;1,6;
2015-02-10;2,2;8,2;2,4;28,6;22;17,6;79,8;66;1,5;
2015-02-11;1,9;4,7;1,6;26,2;22;18,4;92,3;85;1,1;
2015-02-12;1,4;10,3;26,8;28;23,2;19,8;84,8;71;2,5;
