Nome: SAO JOAQUIM
Codigo Estacao: 83920
Latitude: -28.27555554
Longitude: -49.93472221
Altitude: 1400.07
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2017-05-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;,2;,9;11,4;21,3;18,1;14;90,3;87;2,7;
2015-01-02;1,5;0;9,8;20,6;16,4;13;92,5;89;2;
2015-01-03;,5;11;,2;24;16,7;10;82,3;54;1,3;
2015-01-04;2,2;11,3;,7;23,9;17,5;13;72,3;56;1,5;
2015-01-05;4,8;10,8;0;24;17,8;10;72;64;1,3;
2015-01-06;3;10,7;0;26,2;19,4;11,8;57;52;2,7;
2015-01-07;2,7;6,7;0;26,8;19,4;15,4;82,5;51;1,3;
2015-01-08;1,9;3,1;51,6;25,2;18,8;15;90,5;72;,7;
2015-01-09;1,4;8,2;54;25,6;20,8;14,6;69,8;63;1,3;
2015-01-10;2,6;7,9;12;24,8;18,8;13,8;78,3;63;1;
2015-01-11;1,6;8,8;17,1;26;20,4;14,2;82,3;54;1;
2015-01-12;2,8;6,6;,4;26,2;21,4;15;75,5;67;1,7;
2015-01-13;2,7;9,3;0;26,2;19,8;15,2;79,5;60;2;
2015-01-14;2,5;7,3;7,2;26,8;19,2;14,2;76;56;3;
2015-01-15;2,8;2,9;,5;23,6;17,9;14,4;91,5;83;1;
2015-01-16;1;8,2;6,3;25,8;19,6;14;86,5;67;1,7;
2015-01-17;3;1,8;0;24,6;18,8;14,8;90,5;74;1;
2015-01-18;1,2;6,6;18,5;25,2;19,1;13,2;80,3;68;1;
2015-01-19;1,8;6;2,2;25,6;20,5;15;72,3;62;1,3;
2015-01-20;2,2;1,8;0;24;18,6;14;89,5;76;,7;
2015-01-21;1,2;1,5;17,5;18;13,6;10;94,3;86;5;
2015-01-22;,8;11,3;,8;18,8;13,3;8;79;62;3,3;
2015-01-23;2,8;9,6;0;21;15,6;8;79,5;61;2;
2015-01-24;2,3;10,4;0;24;16,8;10;79,3;51;2,3;
2015-01-25;2,7;3,8;1,7;22;16,3;10;90,3;83;1,3;
2015-01-26;1,2;9,7;13,8;26,2;18,8;10;79;54;1,3;
2015-01-27;2,2;3;2,3;25;19;15;91,8;90;1,3;
2015-01-28;1,2;4;8,5;24,2;18,6;15;88,8;86;,7;
2015-01-29;1,6;3,6;1,8;22;14,6;9,8;91,8;91;2,3;
2015-01-30;,8;1,1;14,1;16,8;12,8;9,8;90,3;81;2,3;
2015-01-31;,8;4,1;0;20,8;15,2;9,4;88;72;3;
2015-02-01;1,1;5,6;1,2;21,8;16,8;11,6;87;69;1,3;
2015-02-02;1;8,1;6,3;24,2;17,7;13,4;80,8;68;1,7;
2015-02-03;2,9;7,5;0;23,8;17,8;12,8;77,8;65;2,7;
2015-02-04;1,4;4,1;0;23;17;12;88,3;75;2,3;
2015-02-05;1,8;9,2;37,8;20,2;15,6;11,6;82,8;63;3,3;
2015-02-06;1,9;6,2;,3;19,8;15,2;11,8;84,3;67;2,7;
2015-02-07;1,9;11,3;0;22;14,8;7,8;79,3;50;1,3;
2015-02-08;2,7;11,8;0;24;17,2;10;79;58;2;
2015-02-09;2,4;8,2;0;23;18,6;13;84,5;87;,7;
2015-02-10;1,8;8,4;15;25,9;20,2;14;77;61;1,7;
2015-02-11;3,4;1;0;24,5;19,8;16;90,5;80;1;
2015-02-12;,1;7,9;13,9;25,1;20,5;16;84;70;1,7;
2015-02-13;1,8;2,5;2,1;25,1;17,9;14;87;66;1,7;
2015-02-14;1,3;2,7;3;20,4;15,9;13;89,8;78;3;
2015-02-15;1,1;7,1;0;16,8;13,8;11;86;66;3,7;
2015-02-16;1,8;3,8;0;20,1;15,3;11;88;74;2,3;
2015-02-17;1,2;6;4,1;21,9;15,9;11;89,3;82;1,7;
2015-02-18;1,5;1;2,3;18,9;16,1;12;87,3;66;1,7;
2015-02-19;,4;7,3;19,5;24,7;17,9;14;86,5;63;1,7;
2015-02-20;,4;3,9;9,1;21;17;14;90,5;81;2;
2015-02-21;1,1;1,1;1,1;21,8;17,4;13,4;86,5;83;1,7;
2015-02-22;,6;,4;4,1;20,6;16,9;13;91,3;80;0;
2015-02-23;1,2;3,8;10,4;22,8;17,6;13;84,5;69;2;
2015-02-24;1,7;4;4,6;22;16,1;11,6;87;79;1;
2015-02-25;1,4;9,4;9,2;24,4;17,8;10,8;75;62;1,3;
2015-02-26;2,4;1,4;0;24,4;18,4;14,6;81,5;60;2;
2015-02-27;1,8;8,1;7,9;23,6;18;12,6;84;73;3;
2015-02-28;2,2;8,5;,5;22,4;15,2;11;84,5;65;2,3;
2015-03-01;1,8;8,9;0;20;14,2;8,4;69,8;67;1,7;
2015-03-02;2,2;9,2;0;21,8;16,3;11,2;65,8;59;2,3;
2015-03-03;2,8;9,4;0;24,2;18,3;12,6;62,8;59;1,7;
2015-03-04;1,1;9,7;0;25,2;18,1;12,6;60,3;57;2;
2015-03-05;2;1,1;40,4;21,8;17,7;14,4;82,8;59;,3;
2015-03-06;,7;8;20,6;23;17,2;13,2;89,8;72;2;
2015-03-07;1,4;7,5;0;23;16,2;10,6;78,5;55;1,7;
2015-03-08;2,8;9,2;0;22,4;16,6;10,4;67,3;62;1,7;
2015-03-09;1,9;8,6;0;22,5;16,7;12;76,8;47;2;
2015-03-10;1,9;0;0;17,7;15,3;12;96,5;92;3,3;
2015-03-11;,4;5;15,2;18,5;15,2;12,4;95;96;3;
2015-03-12;,8;9,2;1,2;22;15,2;10;83,5;58;1;
2015-03-13;2;8,4;0;24,5;17,1;11;84;60;,7;
