Nome: URUSSANGA
Codigo Estacao: 83923
Latitude: -28.532537
Longitude: -49.31521
Altitude: 40.5
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2017-09-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2;1,7;4,7;34,2;26,9;23,2;85,8;83;1;
2015-01-02;1,7;,2;1,8;26,9;23,1;21,4;89,3;83;,7;
2015-01-03;1,9;0;0;24,9;22,3;20,2;82,8;70;1;
2015-01-04;4,2;10,9;0;30,8;24;19,2;77,5;52;1,7;
2015-01-05;4,3;10,1;0;32,8;25,6;18,4;76,3;65;1,3;
2015-01-06;4,3;10,1;0;35;27,1;20,9;76,3;63;,7;
2015-01-07;2,7;5,6;0;35,7;28,1;23,3;85,5;69;1;
2015-01-08;2,6;6,1;8,6;34,5;27,1;23,2;82,8;63;2,3;
2015-01-09;2,7;6,2;20,4;33,3;27,2;22,4;79,8;74;2;
2015-01-10;3,5;6;27,5;34;27,8;23,5;81,3;68;1;
2015-01-11;3,2;10,2;1,4;34,2;28,1;23,4;87;76;,7;
2015-01-12;4,4;9,7;,5;38,3;29,7;24,9;73,5;46;1;
2015-01-13;2,3;4,9;0;32,4;27,2;24,8;88,8;80;,7;
2015-01-14;3,5;6,5;4;36,4;27,2;23,7;83;62;,7;
2015-01-15;1,5;,5;17,8;28,3;24,3;22,7;94;90;,7;
2015-01-16;2,7;7,5;15;32,6;26,6;21,9;84,8;68;,3;
2015-01-17;1,3;,6;,3;30,2;25,4;23,7;88,3;80;1;
2015-01-18;1,1;2,6;36,9;29,1;25,4;22,6;92,3;88;,7;
2015-01-19;2,7;6,5;19,9;33,2;26,1;22,9;88;70;1,7;
2015-01-20;1,9;4,8;5,3;31,6;25,8;22,7;93,8;83;,7;
2015-01-21;1,8;1,1;65,9;31,6;23,7;21,7;87,8;79;1;
2015-01-22;3,6;7,5;5,2;27,2;22,2;18,2;82;62;1,7;
2015-01-23;3,5;8,6;0;28,1;22,8;16,8;79,8;67;1,7;
2015-01-24;4,2;11,4;0;31,5;24,7;18,6;79,8;61;,7;
2015-01-25;2,3;4,4;0;31,4;25;22;85,8;65;1,7;
2015-01-26;3,9;9,3;4,7;34,5;27;20,8;79,8;61;1,7;
2015-01-27;2,7;5,2;0;34,9;27,2;23,6;83,5;63;1;
2015-01-28;2,7;5;1,5;35,8;27,5;23,8;83,8;62;,7;
2015-01-29;2,8;4;,9;33,8;24,7;21;90,8;88;1;
2015-01-30;1,4;0;27,2;25,2;21,2;19,4;91,3;88;,7;
2015-01-31;1,8;0;1,9;25,7;22,3;19,3;85,8;75;,3;
2015-02-01;1,7;6,8;0;30;24,3;19;90,5;80;,7;
2015-02-02;2,8;8,4;11,4;32,5;24,6;19,6;83;68;1;
2015-02-03;2,2;6,2;,8;31,8;23,9;20,1;88,3;77;1;
2015-02-04;1,4;4,7;3,8;28,6;23,7;19,8;89;81;1;
2015-02-05;2;7,4;21,7;29;23,4;20,7;88,8;73;1;
2015-02-06;3,6;10;14,4;27,6;23,5;21,1;80;64;1,3;
