Nome: URUGUAIANA
Codigo Estacao: 83927
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.41
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;1,8;0;0;31,4;23,2;19,8;95,5;81;1;
2015-01-02;3;10,3;36,2;25,9;20;14,4;62;56;1,7;
2015-01-03;6;11,7;0;28,8;23,2;15,6;55;40;1,3;
2015-01-04;3,5;11,8;0;30,8;24,1;16,4;54,8;43;1;
2015-01-05;7,5;10,8;0;32,8;26,5;20;56;44;1;
2015-01-06;1,6;11,5;0;35,4;28,4;24,1;61,5;52;1,7;
2015-01-07;3;0;22;26,9;23,6;20,4;94,3;60;1,3;
2015-01-08;3,4;2,6;24;31,8;25,7;20,4;89;80;1;
2015-01-09;2;0;0;31,6;27,9;22,8;71,3;82;1;
2015-01-10;1;0;,6;32,4;26,4;23;92,8;60;1,7;
2015-01-11;3;0;26,4;28,8;25,6;22,4;79,5;78;1;
2015-01-12;1;11,6;3;32,6;27,5;19,2;70,8;61;1;
2015-01-13;2;9,4;0;36;27,7;24,7;71,8;55;1,7;
2015-01-14;1,5;1,8;42,8;27,6;24,6;20,6;82,5;81;1;
2015-01-15;1;5,1;5,8;29,4;25,4;20,4;77,5;67;1;
2015-01-16;1,5;2,9;1;28,2;25;21,4;82,8;73;1;
2015-01-17;1;11,2;,4;33,2;28,2;21,2;65,8;55;1;
2015-01-18;2;7,1;0;33;26,6;23,3;71,8;60;1;
2015-01-19;2;7,8;23,2;34,4;24,1;20,8;87;57;1,3;
2015-01-20;1,5;0;21,4;28,2;24,8;20,4;76,5;63;1;
2015-01-21;2;11,2;0;29,4;24;18,2;62,5;54;1;
2015-01-22;2;11,9;0;29,8;24,4;17,4;61;51;1;
2015-01-23;4;8;0;32;25,7;18,2;66;56;1;
2015-01-24;5;11,5;0;33,2;28,4;22;73;55;1;
2015-01-25;1;11,4;0;34,4;29;21,4;58;44;1;
