Nome: SANTA MARIA
Codigo Estacao: 83936
Latitude: -29.72472221
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,8;0;0;26,6;22,2;19,6;87,8;67;2,5;
2015-01-02;1,5;7;23,8;26,6;21,4;18,8;75,5;55;1;
2015-01-03;2,7;12,1;0;28,8;22,2;15,8;73,8;52;1,2;
2015-01-04;3,6;12,3;0;30,8;23,4;15,8;72,8;45;1,5;
2015-01-05;3,8;12,2;0;32,8;26,2;17,6;68;59;1,7;
2015-01-06;4,8;10,8;,3;36,2;29,4;22;66,8;45;2,3;
2015-01-07;6,2;,8;0;31,6;26;23,2;87,3;78;1,6;
2015-01-08;1,8;,4;3,4;29;25,3;22,6;93,3;90;1,2;
2015-01-09;1;4,3;18,6;34;27,6;23;86,3;74;1,6;
2015-01-10;2,5;5,5;14,7;34,2;26,6;22,8;80,8;60;1,3;
2015-01-11;3;4,6;13;31,8;27,2;22,2;78,8;70;1,7;
2015-01-12;2,7;9,7;,1;33,4;28;23,8;76;58;1,2;
2015-01-13;3,5;11,3;0;37;28,9;24,6;63,3;38;3,4;
2015-01-14;6,1;0;19,8;26,6;24;20,6;86,5;77;2,2;
2015-01-15;1,7;7,5;8,8;29,2;24,1;21,6;79,8;62;3,3;
2015-01-16;3,2;,5;0;27,8;24,5;21,2;87,3;79;1,3;
2015-01-17;1,3;5,6;10,5;31,6;26,1;23;86,3;67;1,7;
2015-01-18;2,1;8;0;30,8;26,2;22,2;76,3;67;3,3;
2015-01-19;3,2;11,9;0;35,4;28,5;21,8;72,5;55;1,8;
2015-01-20;3,7;1,9;7,2;29,4;24,1;22,6;86,8;70;1,7;
2015-01-21;2,3;5,7;1,2;28,2;23,1;21,2;73,8;64;3,2;
2015-01-22;3,2;11,9;0;27,6;22,2;17;72,8;54;3,2;
2015-01-23;5,1;9,7;0;29,4;23,8;18,2;69;60;2,6;
2015-01-24;3,4;6,1;0;31,4;24,5;20;76,5;72;2,3;
2015-01-25;3,4;8,8;1,5;31;25,4;19,6;79;64;1;
2015-01-26;3,4;7,8;0;32,4;26,6;20,8;80,5;63;2;
2015-01-27;2,2;4,8;9;34;27;23,6;88,5;77;2,2;
2015-01-28;1,9;6,5;6;32,8;26,4;22,4;86;70;,8;
2015-01-29;2;4,7;33,8;27,2;22,7;21,2;88;73;3,9;
2015-01-30;2,5;11,6;3,4;27;21,1;15;72,5;56;2,3;
2015-01-31;3,6;8,4;0;27,6;22,3;17,6;77,5;64;2,7;
2015-02-01;3,3;9,7;0;31,2;25,4;20,6;83;72;2,8;
2015-02-02;2,3;10,3;0;32,2;26,5;22,2;80,8;66;1,6;
2015-02-03;2,9;11;0;32,2;26,6;22,6;77,5;60;2;
2015-02-04;3,5;8,8;0;30,2;26,2;22,8;75,3;66;3,3;
