Nome: CAXIAS DO SUL
Codigo Estacao: 83942
Latitude: -29.1961111
Longitude: -51.18638888
Altitude: 750.16
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;,5;,7;15,5;22,4;21,7;20,2;81,3;75;3;
2015-01-02;,4;3;42,5;22;17,9;16,6;89;84;1,3;
2015-01-03;,5;8,4;1,4;24,8;19,1;14,4;73,3;58;1;
2015-01-04;1,2;11,1;0;27,6;21,5;16,6;60,8;35;1;
2015-01-05;2,7;9,6;0;31,6;24,2;17,6;67,8;50;1;
2015-01-06;1,6;9,6;0;33,4;26;20,2;65,3;46;2,3;
2015-01-07;2;6,8;0;31,2;25;22,4;73,3;57;,7;
2015-01-08;1,4;4,4;0;29,6;23,7;21,2;85,5;68;2,3;
2015-01-09;1,2;7,3;7,6;31,8;23,4;20,2;78,3;52;3;
2015-01-10;4,7;9,2;31,3;29,4;24,4;20;79,3;69;1,7;
2015-01-11;3,8;5,4;,8;31,4;23,9;20,2;78;57;1,7;
2015-01-12;4,7;10,3;9,5;30,8;24,6;20,6;77,5;55;3;
2015-01-13;4,7;10,2;0;33,4;26,8;22;67,8;47;1,7;
2015-01-14;6,1;4,6;7;31,8;22,6;20;85,8;55;2,3;
2015-01-15;2,9;,8;7,9;24,2;20,1;18,6;93,5;91;1,7;
2015-01-16;1,6;5,2;,2;29;22,9;18,2;85,5;74;1,3;
2015-01-17;4,6;1;1,4;25,6;22,4;21,2;86,5;73;1;
2015-01-18;1,5;3;21,7;27;22,4;20;87;77;1;
2015-01-19;2,2;10,2;,2;29,2;24,3;20,4;72,5;58;,7;
2015-01-20;4;,1;,4;24,6;21,2;19,6;87,3;76;1,7;
2015-01-21;1,9;4,7;5,7;22,2;17,8;14,8;88;81;3,7;
2015-01-22;1,5;11,6;2,8;24,4;18;12,8;69,8;57;3;
