Nome: CAMBARA DO SUL
Codigo Estacao: 83946
Latitude: -29.04916666
Longitude: -50.14972221
Altitude: 1015.97
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,7;null;14,4;22,7;20,5;18;85,3;72;1;
2015-01-02;2,2;null;25,4;21,3;17,3;15;89;78;1,7;
2015-01-03;1,1;null;0;24,2;16,7;11,5;84;59;1;
2015-01-04;2,2;null;0;26,7;18,7;13,5;81,8;59;1;
2015-01-05;4;null;0;27,8;20,4;12,2;77,3;61;1;
2015-01-06;3,5;null;0;30,1;22,3;16,2;76,8;47;1;
2015-01-07;4;null;8;29,3;22,5;18,9;83,3;59;1;
2015-01-08;2,5;null;15,2;27,8;20,6;17,3;94;89;1;
2015-01-09;2,5;null;46,6;28,3;21,4;17,6;87,5;76;1;
2015-01-10;3,5;null;2,8;28,8;22,2;17,8;82,5;62;1,7;
2015-01-11;2,9;null;0;29;23,1;16,5;74,3;54;1;
2015-01-12;4,6;null;0;29,2;23,4;18,3;77;55;1,7;
2015-01-13;4,9;null;0;27,8;21,9;17,9;85;72;1;
2015-01-14;2,1;null;7,2;29,7;20,6;16,2;78;51;1;
2015-01-15;4;null;5,8;23,2;18,3;15,6;88,8;76;1;
2015-01-16;1,3;null;2;27,7;21,1;15,6;84,8;63;1;
2015-01-17;2,6;null;6,6;27,2;20,7;17,7;94,5;87;1;
