Nome: TORRES
Codigo Estacao: 83948
Latitude: -29.35027777
Longitude: -49.71666666
Altitude: 4.66
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2021-04-26
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,5;0;7,4;29,4;26,7;24,8;83,5;75;0;
2015-01-02;2,4;4,2;20,1;25,8;23,3;21,2;68,8;66;4;
2015-01-03;1,8;4,5;0;27;23,2;17,1;67,5;64;1;
2015-01-04;3,5;12,5;0;28,3;24;18,4;74,5;65;,7;
2015-01-05;3;11,8;0;28,3;24,6;18,8;85;81;5;
2015-01-06;2,9;11,8;0;29;26,2;22,9;85,8;78;4,3;
2015-01-07;2,6;6,7;3,3;31;26,4;23,9;92;80;1,7;
2015-01-08;1,6;5,8;19,6;29,6;26;23,7;92,8;81;1,3;
2015-01-09;,9;4,3;20,1;30,1;26;23,1;91;80;0;
2015-01-10;1,8;11,5;6,9;32,3;28,4;23,7;78,5;62;1,3;
2015-01-11;2,9;6,4;0;30,3;27,3;25,1;89,3;81;3,7;
2015-01-12;1,9;8,8;0;33,8;28,5;24,9;81,3;57;1,3;
2015-01-13;4;7,3;1,4;30,2;26,8;24,1;85,8;82;4,3;
2015-01-14;2,8;5,3;3,3;33;26,7;24;84,3;71;1,7;
2015-01-15;2,8;,6;4,2;29,3;25,3;22,5;86,8;88;2,3;
2015-01-16;2,4;6,2;2,2;30,5;26,3;22,1;84,5;77;1,3;
2015-01-17;2,2;2,1;0;30;26;24,2;91,8;84;2;
2015-01-18;1,3;2,4;10,5;28,7;25,2;22,5;89,3;86;,7;
2015-01-19;1,9;7,8;,9;30,4;26,3;22,5;88;76;0;
2015-01-20;1,6;,7;17;29,6;24,7;21,8;93,3;89;1,3;
2015-01-21;1,7;3;29,8;28,2;23,2;19,5;75,8;82;4;
2015-01-22;4,7;10,3;14,4;28;24,9;22,4;65;56;4,7;
2015-01-23;6;11;,1;27,6;24,4;20,3;67,8;65;1,7;
2015-01-24;4;12,2;0;28,8;24,9;19,6;75;66;1,3;
2015-01-25;3,7;8,5;0;31;25,9;22,6;80,3;65;,3;
2015-01-26;2,8;11,1;0;31;26,9;21,8;81;65;,7;
2015-01-27;2,7;6,9;0;31,5;27;24,1;85;73;0;
2015-01-28;1,9;7,2;,2;31,7;26,6;23,2;86,3;77;1;
2015-01-29;2,6;2;4,9;33;25,4;22,3;81,8;76;1,7;
2015-01-30;2,5;1,9;15,7;26,8;22,8;19;71,3;60;1,7;
2015-01-31;5,6;,4;0;26,7;22,8;21,1;86,8;74;3;
2015-02-01;2,4;8,9;7,7;28,6;24,5;19,1;81;79;3,7;
2015-02-02;3,2;10,2;0;29,1;25,7;21,4;80,8;75;4,3;
