Nome: BAGE
Codigo Estacao: 83980
Latitude: -31.30555555
Longitude: -54.11944443
Altitude: 245.66
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,6;2,6;0;28,3;22,9;19,2;88;76;2,3;
2015-01-02;1,9;10,2;33,8;24;19,1;14,2;65,8;57;3;
2015-01-03;3,4;11,6;0;27,7;21;13,4;56,8;43;1;
2015-01-04;5,5;12;0;29,5;23,6;14,7;54,3;46;1,3;
2015-01-05;5,2;11,9;0;32;25,4;18;52;40;3;
2015-01-06;9,1;8,2;0;33,5;25,1;21,7;79,5;50;3;
2015-01-07;4,1;0;8,6;23,6;22,3;20,8;90;88;,7;
2015-01-08;,6;3,4;18,6;28,6;24,5;19,8;80;67;1,3;
2015-01-09;2,6;4,3;0;31;25,7;22,1;88,3;81;2,3;
2015-01-10;2,5;5,3;2,2;31,3;25,5;23;78,8;58;0;
2015-01-11;2,5;,4;0;26,5;23,3;20,1;91,8;84;,3;
2015-01-12;1,3;10,9;24;31,2;25,7;20,2;73;57;,3;
2015-01-13;3,3;7,3;0;33;24,9;21,5;80,3;63;3,7;
2015-01-14;4,8;,1;23,8;24,3;23,3;21,3;85,3;81;2;
2015-01-15;1,2;4,5;3,1;26,3;22,5;19,8;75;60;3;
2015-01-16;4,5;0;0;24,4;22,2;19,9;89,8;79;3;
2015-01-17;1,2;10,2;2,1;29,3;24,4;20,8;76,8;59;2,3;
2015-01-18;3,6;10,7;0;29,2;24,2;17,9;70,5;60;1;
2015-01-19;3,9;10,7;1,1;33,2;24,8;20,8;76,3;53;1,7;
2015-01-20;4,3;,3;,2;25,1;21,3;19,9;80,3;75;5;
2015-01-21;2,9;10,6;,1;25,3;20,4;15,9;64,8;50;3,7;
2015-01-22;6,2;11,5;0;27,3;20,8;13,7;63,3;48;5;
2015-01-23;5,8;10,2;0;28,5;22,8;17,1;65,3;55;4,3;
2015-01-24;4,9;6,6;0;28,3;23,5;18,8;84;69;1;
2015-01-25;2,9;8,8;,5;29,3;24,6;18,8;70,3;63;1;
2015-01-26;3,4;10;0;32,1;26,5;20,8;74;58;,3;
2015-01-27;4,1;10,7;0;33,3;26,9;23;73,5;65;1,7;
2015-01-28;5,4;6,9;3;31,4;24,7;22,3;81;59;2,3;
2015-01-29;3,6;9;41,2;25,2;20,3;17,7;69,5;57;4,3;
2015-01-30;4,7;12;0;25,4;19,4;12,6;63,8;50;1,7;
2015-01-31;4,7;11,5;0;27,8;21,3;14,8;69,3;53;3,7;
2015-02-01;4,4;7,7;0;30,2;24,8;18,8;72,3;64;2,3;
2015-02-02;3,3;11,5;0;30,2;24,9;20,7;74,3;57;2,3;
2015-02-03;5,3;9,8;0;30,3;24,5;19,9;75,8;59;3;
2015-02-04;4,5;9,6;0;30,9;25;21,7;74,3;58;3,7;
2015-02-05;4,7;11,6;0;30,1;24,3;19,7;66,8;53;3,7;
2015-02-06;5,1;8,4;0;28,3;23,3;18,8;73,3;65;3;
2015-02-07;4,2;10,4;0;27,3;22,3;16,4;62,8;56;1,3;
2015-02-08;4,4;11,8;0;29,4;23,9;16,7;61,5;50;2;
2015-02-09;5,5;12,3;0;32,5;26;19,4;61;48;1,7;
2015-02-10;6,1;3,9;0;31,4;24,7;21,3;90,8;63;1,7;
2015-02-11;2;,1;31,8;22;20,2;19,1;90,3;89;3;
2015-02-12;,9;10,8;1,9;28,2;23,2;17,7;75,3;61;1,7;
2015-02-13;3,4;11;0;26,8;21,5;18,8;75,3;61;3,7;
2015-02-14;4,6;11,5;0;26,5;21,2;15,7;66;57;4,3;
2015-02-15;5,1;11,4;0;27,5;21,6;15,9;66;56;4,3;
2015-02-16;5,1;9,9;0;28,6;22,6;17,6;67,3;55;3,7;
2015-02-17;4,7;10,8;0;28,2;22,4;16,8;72;55;3;
2015-02-18;5;10,9;0;31,3;25;18,8;67;55;5;
2015-02-19;4,7;,4;0;26,6;21,8;19,8;87;65;3;
2015-02-20;1,3;8,4;15,8;26,3;20,8;16,8;76,3;62;2,3;
2015-02-21;2,9;8,7;0;28,2;22,7;17,7;74;59;2,3;
2015-02-22;3,8;10,5;0;30,4;24,8;20,8;75,5;55;3;
2015-02-23;3,7;6,7;0;29,3;24,2;20,6;80,8;63;1,7;
2015-02-24;2,5;10,4;0;30,6;25,3;19,7;71,5;56;1;
2015-02-25;4,2;5,2;0;30,6;23,7;21,5;83;55;1,3;
2015-02-26;2,8;,8;28,4;24;22,2;20,1;90,8;90;1;
2015-02-27;,8;7;8,8;26,9;23,2;19,9;74;67;3,7;
2015-02-28;3,4;11,3;,3;27,6;20,8;15,5;66;46;2,3;
2015-03-01;4,9;6,9;0;27,6;22,9;17,5;75,8;65;4,3;
2015-03-02;3,5;8,9;,3;30,4;25,3;20,8;76,3;57;3;
2015-03-03;4,9;10,5;0;32,6;26,8;22,3;67;54;3;
2015-03-04;5,8;5,1;3,5;28,8;25;22,8;87;70;2,7;
2015-03-05;2;8,4;,2;28,4;24,1;21,8;76,8;68;2,3;
2015-03-06;3,1;9,3;0;28,8;23,4;18,8;69;53;3;
2015-03-07;4,4;11,5;0;29,3;23,1;18,1;65,5;49;3,7;
2015-03-08;4,8;11,2;0;30,6;24;17,7;73,3;52;3;
2015-03-09;4,5;10,7;0;30,6;24,4;19,6;71,3;55;4,3;
2015-03-10;5,8;10,5;0;29,4;24;21,8;73,5;55;4,3;
2015-03-11;5,3;9,5;0;28,5;22,1;16,8;70;52;2;
2015-03-12;4,4;10;0;28,4;22,3;16,7;66,8;53;1,3;
2015-03-13;4,1;10,2;0;29,5;23,3;18,6;70,5;54;1;
2015-03-14;3,7;10,9;0;31,6;25,2;19,4;68;51;1;
2015-03-15;4,7;9,5;0;31,3;25;21,1;74;48;,7;
2015-03-16;4,4;10,6;0;30,4;24,3;18,9;65,8;46;1,7;
2015-03-17;5,8;9,9;0;29,1;22,8;18,8;66,5;48;2,3;
2015-03-18;5,2;10,9;0;29,6;22,1;15,7;64,5;46;1,7;
2015-03-19;5;10,7;0;32,1;24,7;17,7;66,5;52;2,3;
2015-03-20;6;6,5;0;31,6;24,4;20,5;68,8;55;2,3;
2015-03-21;4,7;6,4;0;23,4;19,5;18;57;45;3,7;
2015-03-22;5,3;7,6;0;20,3;15,2;9,7;61,5;52;2;
2015-03-23;3,5;9,1;0;24,5;17,7;9,6;64,8;50;,3;
2015-03-24;2,6;8,4;0;28,3;21,2;14,6;61,3;43;3;
2015-03-25;4,6;2,3;0;28,6;23,2;18,9;67,8;55;2,3;
2015-03-26;4,4;0;,2;24,2;18,5;15,9;65,8;60;1,7;
2015-03-27;2,9;10,1;0;23,8;18,3;14,6;60,8;45;1;
2015-03-28;3,6;3,6;0;24,6;19,1;14,3;69;49;1;
2015-03-29;3,4;4,8;0;26,5;20,5;13,9;70;51;2,3;
2015-03-30;3,3;2,5;22,1;24,5;20,2;17,7;85,8;71;1,7;
2015-03-31;1,3;7,1;1,2;26,2;20,2;16,5;64,8;51;,7;
2015-04-01;3,2;10,4;0;25,9;18,4;12,7;70;55;,3;
2015-04-02;3,3;10,4;0;28,6;20,4;14,6;60,5;41;1;
2015-04-03;5,8;10,5;0;30,5;21,9;15,8;57,3;43;1;
2015-04-04;6,7;8,6;0;29,3;23,9;18,7;68,5;51;,7;
2015-04-05;4,2;3,3;11,8;24,3;19,7;18,2;73,5;69;3,7;
2015-04-06;3,9;9,9;0;23;16,3;11,7;65,8;46;2,3;
2015-04-07;4,5;10,1;0;23,4;16,1;10;65,3;44;2,3;
2015-04-08;3,9;9,6;0;26,2;18,5;11,2;64,8;45;1;
2015-04-09;4,2;10,1;0;28;21;15,8;59;43;1,7;
2015-04-10;4,9;9,9;0;29,6;22;16,7;62,8;43;1,3;
2015-04-11;5,7;8,9;0;29,3;21,9;18;74,5;47;2,3;
2015-04-12;4,4;7,4;0;26,5;20,7;17;71,8;52;1,7;
2015-04-13;3,3;9,7;0;28,2;21;15,7;66,3;43;1,7;
2015-04-14;4,5;8,9;0;28,3;21,8;16,8;71,8;55;1;
2015-04-15;3,1;6,4;0;27,3;21;18,4;75,5;53;3;
2015-04-16;5,2;6,9;0;25,9;21;18,7;77,8;58;3,7;
2015-04-17;3,4;3,4;0;27;19,6;16,2;88,3;81;3,7;
2015-04-18;1,9;9,1;3,1;23,5;16,7;11,9;65;45;2,3;
2015-04-19;4,3;9,1;0;27,4;20,6;12,7;67;49;,7;
