Nome: RIO GRANDE
Codigo Estacao: 83995
Latitude: -32.078809
Longitude: -52.167725
Altitude: 4.89
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2015-01-18
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;0;31,5;25,1;22,6;85;66;1,4;
2015-01-02;null;null;70,2;25,7;20,3;16,4;64,8;50;3,8;
2015-01-03;null;null;0;27,2;21,7;14,4;56;40;2,1;
2015-01-04;null;null;0;30;24,2;19,5;66,8;47;3,4;
2015-01-05;null;null;0;29,2;24,7;21,4;76;66;4,1;
2015-01-06;null;null;0;32,6;26,2;23,6;80,3;64;3,1;
2015-01-07;null;null;19,8;27,6;24,2;21,4;84,5;72;3,8;
2015-01-08;null;null;19,2;28,2;25,2;21,4;77,3;72;2,1;
2015-01-09;null;null;0;31,2;null;null;79,5;58;1,7;
2015-01-10;null;null;28;31,6;26,9;23,1;70;58;5,1;
2015-01-11;null;null;0;32,2;27,9;25,3;72,8;64;1,4;
2015-01-12;null;null;5,6;32;26,9;21,6;69;50;1,7;
2015-01-13;null;null;0;30,5;25,3;23,6;78,3;60;3,8;
2015-01-14;null;null;29,8;26,6;24;21,9;80,3;75;2,1;
2015-01-15;null;null;0;26,6;24,2;22,4;65,3;62;4,8;
2015-01-16;null;null;0;27,4;24,2;22,4;82,3;66;3,4;
2015-01-17;null;null;8,6;29,7;24,6;22,3;76,8;65;3,4;
2015-01-18;null;null;0;27,1;23,8;20,4;68,5;60;2,7;

