Nome: SANTA VITORIA DO PALMAR
Codigo Estacao: 83997
Latitude: -33.53166666
Longitude: -53.35027777
Altitude: 24.01
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-02
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2;5,8;20,9;30,1;22,8;19,3;81;74;null;
2015-01-02;3,7;11,7;61,7;24,9;19,2;15,3;61,5;47;null;
2015-01-03;6,2;11,9;0;26,8;21,2;14,4;55,5;41;null;
2015-01-04;6,6;11,1;0;23,9;20;17;74;61;null;
2015-01-05;3;11,1;0;28,3;23,1;17,9;80;63;null;
2015-01-06;3;,2;0;28,9;24,4;21,8;80,3;64;null;
2015-01-07;2,8;1,9;,9;27,7;23,9;21,1;83,8;70;null;
2015-01-08;1,7;10,5;0;28,1;24,2;21,3;86,3;75;null;
2015-01-09;3;4,2;0;28,9;25,1;22;86,5;76;null;
2015-01-10;1,5;10,8;18,4;32,5;27,3;21,9;70,5;57;null;
2015-01-11;3,5;5;0;31,1;25,5;22,7;79;67;null;
2015-01-12;2,7;11,6;0;33,2;26,4;20,9;75,5;51;null;
2015-01-13;4,5;2,4;0;30,9;24,8;20,6;87,3;78;null;
2015-01-14;2,1;4,5;21,6;26,6;23,1;21,3;86,5;78;null;
2015-01-15;2,3;8,4;0;25,1;22;20,1;75;65;null;
2015-01-16;3,3;10,2;0;29,8;24,2;18,8;81,3;69;null;
2015-01-17;2,5;6,2;0;26,2;22,4;20,7;80,3;71;null;
2015-01-18;3,9;11,2;0;26,1;21,7;16,6;70,8;58;null;
2015-01-19;4,3;7,5;0;30,9;24,3;20,5;81;61;null;
2015-01-20;2,5;5,4;8,1;24,5;21,5;20,2;71,8;64;null;
2015-01-21;4,5;11,5;5;24,7;20,2;14,9;65;53;null;
2015-01-22;4,4;11,4;0;25,8;21,4;15,6;66,3;53;null;
